,addrcode,code
0,100101,A0101
1,100102,A0102
2,100103,A0103
3,100104,A0104
4,100105,A0105
5,100106,A0106
6,100107,A0107
7,100108,A0108
8,100109,A0109
9,100110,A0110
10,100111,A0111
11,100112,A0112
12,100201,A0201
13,100202,A0202
14,100203,A0203
15,100204,A0204
16,100301,A0301
17,100302,A0302
18,100303,A0303
19,100304,A0304
20,100305,A0305
21,100306,A0306
22,100307,A0307
23,100401,A0401
24,100402,A0402
25,100403,A0403
26,100404,A0404
27,100405,A0405
28,100502,A0502
29,100508,A0508
30,100601,A0601
31,100608,A0608
32,100701,A0701
33,100702,A0702
34,100703,A0703
35,100704,A0704
36,100801,A0801
37,100802,A0802
38,100803,A0803
39,100804,A0804
40,100805,A0805
41,101001,A1001
42,101002,A1002
43,101102,A1102
44,101103,A1103
45,101104,A1104
46,101105,A1105
47,101106,A1106
48,101203,A1203
49,101204,A1204
50,101301,A1301
51,101302,A1302
52,101303,A1303
53,101401,A1401
54,101501,A1501
55,101502,A1502
56,101503,A1503
57,101504,A1504
58,101505,A1505
59,101506,A1506
60,101507,A1507
61,101601,A1601
62,101602,A1602
63,101701,A1701
64,101702,A1702
65,101704,A1704
66,101801,A1801
67,101802,A1802
68,101803,A1803
69,101804,A1804
70,101901,A1901
71,101902,A1902
72,101904,A1904
73,101905,A1905
74,101907,A1907
75,102004,A2004
76,102005,A2005
77,102006,A2006
78,102007,A2007
79,102009,A2009
80,102105,A2105
81,102107,A2107
82,102201,A2201
83,102202,A2202
84,102206,A2206
85,102207,A2207
86,102208,A2208
87,102209,A2209
88,102210,A2210
89,102302,A2302
90,102303,A2303
91,102401,A2401
92,102402,A2402
93,102501,A2501
94,102502,A2502
95,102503,A2503
96,102504,A2504
97,102601,A2601
98,102701,A2701
99,102801,A2801
100,102802,A2802
101,102803,A2803
102,102902,A2902
103,103001,A3001
104,103002,A3002
105,103003,A3003
106,103004,A3004
107,103005,A3005
108,103101,A3101
109,103102,A3102
110,103103,A3103
111,103201,A3201
112,103203,A3203
113,103301,A3301
114,103302,A3302
115,103303,A3303
116,103401,A3401
117,103501,A3501
118,103502,A3502
119,103503,A3503
120,103504,A3504
121,103602,A3602
122,103604,A3604
123,103605,A3605
124,103701,A3701
125,103702,A3702
126,103703,A3703
127,103704,A3704
128,103801,A3801
129,103802,A3802
130,103901,A3901
131,103902,A3902
132,103903,A3903
133,104001,A4001
134,104003,A4003
135,104004,A4004
136,104101,A4101
137,104102,A4102
138,104201,A4201
139,104202,A4202
140,104203,A4203
141,104301,A4301
142,104302,A4302
143,104401,A4401
144,104501,A4501
145,104502,A4502
146,104503,A4503
147,104504,A4504
148,104601,A4601
149,104602,A4602
150,104603,A4603
151,104604,A4604
152,104605,A4605
153,104701,A4701
154,104801,A4801
155,104802,A4802
156,104901,A4901
157,104902,A4902
158,105001,A5001
159,800101,B0101
160,800102,B0102
161,800103,B0103
162,800106,B0106
163,800107,B0107
164,800108,B0108
165,800112,B0112
166,800113,B0113
167,800114,B0114
168,800115,B0115
169,800116,B0116
170,800118,B0118
171,800119,B0119
172,800120,B0120
173,800121,B0121
174,800122,B0122
175,800201,B0201
176,800202,B0202
177,800203,B0203
178,800204,B0204
179,800205,B0205
180,800301,B0301
181,800302,B0302
182,800303,B0303
183,800304,B0304
184,800305,B0305
185,800401,B0401
186,800403,B0403
187,800404,B0404
188,800405,B0405
189,800406,B0406
190,800407,B0407
191,800409,B0409
192,800410,B0410
193,800415,B0415
194,800416,B0416
195,800501,B0501
196,800502,B0502
197,800503,B0503
198,800504,B0504
199,800505,B0505
200,800601,B0601
201,800603,B0603
202,800604,B0604
203,800605,B0605
204,800606,B0606
205,800607,B0607
206,800610,B0610
207,800611,B0611
208,800612,B0612
209,800613,B0613
210,800701,B0701
211,800702,B0702
212,800703,B0703
213,800704,B0704
214,800705,B0705
215,800706,B0706
216,800707,B0707
217,800708,B0708
218,800709,B0709
219,800710,B0710
220,800711,B0711
221,800801,B0801
222,800802,B0802
223,800803,B0803
224,800804,B0804
225,800806,B0806
226,800807,B0807
227,800809,B0809
228,800810,B0810
229,800811,B0811
230,800813,B0813
231,800901,B0901
232,800902,B0902
233,800903,B0903
234,800904,B0904
235,800905,B0905
236,800906,B0906
237,800907,B0907
238,800908,B0908
239,800909,B0909
240,800910,B0910
241,800911,B0911
242,800912,B0912
243,800913,B0913
244,801001,B1001
245,801002,B1002
246,801003,B1003
247,801101,B1101
248,801102,B1102
249,801103,B1103
250,801104,B1104
251,801105,B1105
252,801106,B1106
253,801107,B1107
254,801202,B1202
255,801203,B1203
256,801204,B1204
257,801205,B1205
258,801206,B1206
259,801207,B1207
260,801208,B1208
261,801209,B1209
262,801210,B1210
263,801211,B1211
264,801212,B1212
265,801213,B1213
266,801214,B1214
267,801215,B1215
268,801216,B1216
269,801217,B1217
270,801218,B1218
271,801301,B1301
272,801303,B1303
273,801304,B1304
274,801305,B1305
275,801306,B1306
276,801401,B1401
277,801402,B1402
278,801403,B1403
279,801404,B1404
280,801405,B1405
281,801406,B1406
282,801407,B1407
283,801408,B1408
284,801409,B1409
285,801501,B1501
286,801502,B1502
287,801601,B1601
288,801602,B1602
289,801603,B1603
290,801604,B1604
291,801605,B1605
292,801606,B1606
293,801607,B1607
294,801608,B1608
295,801609,B1609
296,801610,B1610
297,801611,B1611
298,801701,B1701
299,801702,B1702
300,801703,B1703
301,801704,B1704
302,801801,B1801
303,801802,B1802
304,801803,B1803
305,801901,B1901
306,801902,B1902
307,801903,B1903
308,801904,B1904
309,801905,B1905
310,801906,B1906
311,802001,B2001
312,802002,B2002
313,802003,B2003
314,802004,B2004
315,802101,B2101
316,802102,B2102
317,802103,B2103
318,802104,B2104
