,addrcode,land_area,image_area,image_coverage
0,100101,14.11,16.16,100
1,100102,6.62,9.67,100
2,100103,1.97,3.32,100
3,100104,2.15,3.11,100
4,100105,1.39,3.46,100
5,100106,1.43,1.83,100
6,100107,4.55,7.41,100
7,100108,1.75,2.68,100
8,100109,3.15,3.81,100
9,100110,3.82,7.13,100
10,100111,4.18,5.36,100
11,100112,4.69,5.08,100
12,100201,21.97,20.11,91.53
13,100202,10.33,7.83,75.8
14,100203,17.47,16.51,94.5
15,100204,3.3,4.59,100
16,100301,371.49,70.22,18.9
17,100302,284.26,50.81,17.87
18,100303,286.75,36.91,12.87
19,100304,383.87,63.44,16.53
20,100305,203.27,50.95,25.07
21,100306,165.7,34.16,20.62
22,100307,309.06,36.84,11.92
23,100401,5.95,11.5,100
24,100402,14.07,23.43,100
25,100403,5.62,12.21,100
26,100404,4.47,5.22,100
27,100405,7.15,11.43,100
28,100502,167.57,161.75,96.53
29,100508,212.97,194.85,91.49
30,100601,109.29,154.06,100
31,100608,146.91,169.94,100
32,100701,11.5,19.62,100
33,100702,12.41,20.18,100
34,100703,19.53,25.12,100
35,100704,31.16,46.79,100
36,100801,5.76,10.16,100
37,100802,4.1,7.48,100
38,100803,5.41,8.54,100
39,100804,3.74,6.07,100
40,100805,4.24,7.62,100
41,101001,230.98,180.1,77.97
42,101002,336.68,69.66,20.69
43,101102,149.9,16.66,11.11
44,101103,163.3,88.07,53.93
45,101104,305.59,141.85,46.42
46,101105,258.47,87.09,33.69
47,101106,215.2,29.43,13.68
48,101203,67.96,74.88,100
49,101204,48.15,29.01,60.25
50,101301,4.62,5.65,100
51,101302,4.62,6.07,100
52,101303,3.69,3.81,100
53,101401,85.59,137.12,100
54,101501,6.97,8.33,100
55,101502,6.04,4.45,73.68
56,101503,9.53,9.1,95.49
57,101504,12.85,17.78,100
58,101505,13.94,13.83,99.21
59,101506,15.98,18.35,100
60,101507,13.27,10.09,76.04
61,101601,8.15,5.29,64.91
62,101602,50.34,32.46,64.48
63,101701,44.92,48.91,100
64,101702,56.76,92.31,100
65,101704,49.88,67.26,100
66,101801,8.48,9.17,100
67,101802,9.72,7.97,82
68,101803,21.21,14.4,67.89
69,101804,15.99,16.66,100
70,101901,11.54,4.66,40.38
71,101902,58.03,68.95,100
72,101904,47.51,33.8,71.14
73,101905,91.4,35.92,39.3
74,101907,39.12,18.21,46.55
75,102004,13.08,11.15,85.24
76,102005,21.41,17.64,82.39
77,102006,15.24,6.92,45.41
78,102007,36.72,29.5,80.34
79,102009,28.02,36.77,100
80,102105,677.63,93.23,13.76
81,102107,456.7,183.21,40.12
82,102201,57.8,38.96,67.4
83,102202,30.9,18.42,59.61
84,102206,13.57,7.48,55.12
85,102207,27.1,20.04,73.95
86,102208,25.04,17.08,68.21
87,102209,16.62,14.54,87.48
88,102210,7.11,4.66,65.54
89,102302,179.83,101.62,56.51
90,102303,156.35,100.14,64.05
91,102401,47.44,32.11,67.69
92,102402,67.07,46.51,69.35
93,102501,30.91,48.77,100
94,102502,28.77,15.24,52.97
95,102503,22.1,23.01,100
96,102504,27.88,26.32,94.4
97,102601,78.63,131.55,100
98,102701,94.09,100,100
99,102801,23.05,33.73,100
100,102802,16.72,18.42,100
101,102803,27.64,31.9,100
102,102902,59.84,77.98,100
103,103001,99.22,161.89,100
104,103002,26.3,29.64,100
105,103003,54.48,93.51,100
106,103004,51.6,57.94,100
107,103005,71.79,112,100
108,103101,19.43,12.35,63.56
109,103102,15.42,8.82,57.2
110,103103,42.33,40.86,96.53
111,103201,227.55,182.99,80.42
112,103203,151.65,103.46,68.22
113,103301,69.55,44.53,64.03
114,103302,18.05,22.37,100
115,103303,35.34,36.91,100
116,103401,223.91,252.01,100
117,103501,58.42,30.63,52.43
118,103502,26.21,18.21,69.48
119,103503,81.88,63.66,77.75
120,103504,48.61,33.87,69.68
121,103602,107.93,102.75,95.2
122,103604,99.34,118.07,100
123,103605,133.73,81.51,60.95
124,103701,23.14,28.02,100
125,103702,11.38,19.69,100
126,103703,9.07,14.89,100
127,103704,22.99,45.38,100
128,103801,138.68,200.07,100
129,103802,58.87,72.05,100
130,103901,20.25,23.36,100
131,103902,67.6,80.66,100
132,103903,32.84,43.05,100
133,104001,64.66,58.01,89.72
134,104003,146.97,75.87,51.62
135,104004,112.34,25.83,22.99
136,104101,155.78,185.11,100
137,104102,54.86,89.84,100
138,104201,153.38,101.62,66.25
139,104202,140.66,41.99,29.85
140,104203,111.23,84.12,75.63
141,104301,118.42,80.88,68.3
142,104302,117.33,155.89,100
143,104401,260.65,205.72,78.93
144,104501,45.64,81.72,100
145,104502,15.9,33.03,100
146,104503,33.55,9.74,29.03
147,104504,63.5,90.97,100
148,104601,268.08,72.41,27.01
149,104602,401.43,74.03,18.44
150,104603,186.92,125.69,67.24
151,104604,98.9,28.09,28.4
152,104605,161.16,40.51,25.14
153,104701,175.9,51.73,29.41
154,104801,185.52,68.24,36.78
155,104802,295.04,159.71,54.13
156,104901,103.69,45.66,44.04
157,104902,202.18,73.89,36.55
158,105001,332.92,214.54,64.44
,,,,
,mean,86.081384,53.217296,77.618428
,std,108.317657,54.141748,28.097067
