,addrcode,land_area,image_area,image/area
0,1001,49.81,69.02,1
1,1002,53.07,49.04,0.92
2,1003,2004.4,343.33,0.17
3,1004,37.26,63.79,1
4,1005,380.54,356.6,0.94
5,1006,256.2,324,1
6,1007,74.6,111.71,1
7,1008,23.25,39.87,1
8,1010,567.66,249.76,0.44
9,1011,1092.46,363.1,0.33
10,1012,116.11,103.89,0.89
11,1013,12.93,15.53,1
12,1014,85.59,137.12,1
13,1015,78.58,81.93,1
14,1016,58.49,37.75,0.65
15,1017,151.56,208.48,1
16,1018,55.4,48.2,0.87
17,1019,247.6,161.54,0.65
18,1020,114.47,101.98,0.89
19,1021,1134.33,276.44,0.24
20,1022,178.14,121.18,0.68
21,1023,336.18,201.76,0.6
22,1024,114.51,78.62,0.69
23,1025,109.66,113.34,1
24,1026,78.63,131.55,1
25,1027,94.09,100,1
26,1028,67.41,84.05,1
27,1029,59.84,77.98,1
28,1030,303.39,454.98,1
29,1031,77.18,62.03,0.8
30,1032,379.2,286.45,0.76
31,1033,122.94,103.81,0.84
32,1034,223.91,252.01,1
33,1035,215.12,146.37,0.68
34,1036,341,302.33,0.89
35,1037,66.58,107.98,1
36,1038,197.55,272.12,1
37,1039,120.69,147.07,1
38,1040,323.97,159.71,0.49
39,1041,210.64,274.95,1
40,1042,405.27,227.73,0.56
41,1043,235.75,236.77,1
42,1044,260.65,205.72,0.79
43,1045,158.59,215.46,1
44,1046,1116.49,340.73,0.31
45,1047,175.9,51.73,0.29
46,1048,480.56,227.95,0.47
47,1049,305.87,119.55,0.39
48,1050,332.92,214.54,0.64
