,addrcode,land_area,image_area,image_coverage
0,810103,1447.73,140.72,9.72
1,810105,1081.72,40.58,3.75
2,810106,1671.57,61.19,3.66
3,810111,1397.45,33.8,2.42
4,810115,648.91,46.44,7.16
5,810116,371.15,69.8,18.81
6,810117,640.17,59.07,9.23
7,810118,730.32,2.05,0.28
8,810201,1068.25,65.42,6.12
9,810202,1122.16,75.65,6.74
10,810203,1176.76,67.47,5.73
11,810204,1492.23,93.79,6.29
12,810205,1546.19,46.79,3.03
13,810206,1350.01,50.6,3.75
14,810303,900.98,79.25,8.8
15,810304,632.8,41.85,6.61
16,810305,305.97,45.24,14.79
17,810401,839.51,93.65,11.16
18,810402,1741.57,86.52,4.97
19,810403,1846.31,135.36,7.33
20,810404,1682.42,82.64,4.91
21,810405,1157.39,87.51,7.56
22,810406,1577.04,75.58,4.79
23,810407,1346.69,74.67,5.54
24,810501,796.77,77.98,9.79
25,810503,695.7,75.72,10.88
26,810504,969.48,74.52,7.69
27,810505,1007.23,30.2,3
28,810506,655.04,91.67,13.99
29,810507,651,69.94,10.74
30,810508,780.69,43.4,5.56
31,810509,413.63,54.62,13.21
32,810601,2161.03,160.76,7.44
33,810602,1012.55,66.41,6.56
34,810603,965.9,70.71,7.32
35,810604,692.87,86.87,12.54
36,810701,678.57,39.8,5.87
37,810702,514.84,50.32,9.77
38,810703,686.52,26.89,3.92
39,810704,688.63,60.76,8.82
40,810801,426,83.77,19.66
41,810803,971.2,74.95,7.72
42,810804,253.49,33.95,13.39
43,810805,624.97,74.74,11.96
44,810806,208.03,44.74,21.51
45,810807,573,93.23,16.27
46,810808,1078.45,85.39,7.92
,,,,
,mean,963.423191,68.659149,8.482553
,std,457.761069,29.102855,4.621053
