,addrcode,land_area,image_area,image_coverage
0,800101,78.86,82.43,100
1,800102,34.35,30.35,88.36
2,800103,20.57,29.15,100
3,800106,444,56.88,12.81
4,800107,311.29,74.74,24.01
5,800108,166.28,34.16,20.54
6,800112,278.96,40.37,14.47
7,800113,133.83,34.02,25.42
8,800114,70.99,18.91,26.64
9,800115,163.53,62.1,37.97
10,800116,601.41,62.24,10.35
11,800118,251.08,92.52,36.85
12,800119,435.23,49.61,11.4
13,800120,856.09,151.87,17.74
14,800121,421.14,60.55,14.38
15,800122,813.88,123.57,15.18
16,800201,496.59,33.87,6.82
17,800202,271.93,16.09,5.92
18,800203,151.89,29.01,19.1
19,800204,1070.58,52.29,4.88
20,800205,259.9,35.36,13.61
21,800301,778.28,10.8,1.39
22,800302,713.45,24.21,3.39
23,800303,319.41,23.01,7.2
24,800304,867.87,24.49,2.82
25,800305,466.89,54.69,11.71
26,800401,249.23,19.34,7.76
27,800403,958.06,39.1,4.08
28,800404,329.45,29.08,8.83
29,800405,277,27.59,9.96
30,800406,405.52,17.43,4.3
31,800407,280.68,7.69,2.74
32,800409,596.78,29.08,4.87
33,800410,443.74,36.42,8.21
34,800415,179.5,10.44,5.82
35,800416,235.53,32.67,13.87
36,800501,451.83,12.49,2.76
37,800502,1094.61,32.6,2.98
38,800503,1795.38,27.74,1.55
39,800504,820.52,21.45,2.61
40,800505,348.29,12.49,3.59
41,800601,189.03,30.35,16.06
42,800603,185.48,13.13,7.08
43,800604,89.32,7.34,8.22
44,800605,230.15,31.55,13.71
45,800606,231.95,32.82,14.15
46,800607,300.2,26.46,8.81
47,800610,248.25,37.83,15.24
48,800611,645.09,33.03,5.12
49,800612,380.97,43.4,11.39
50,800613,434.03,39.87,9.19
51,800701,652.12,74.17,11.37
52,800702,199.78,28.09,14.06
53,800703,248.06,33.38,13.46
54,800704,1615,53.99,3.34
55,800705,1140.22,33.59,2.95
56,800706,744.33,59.14,7.95
57,800707,544.06,47.42,8.72
58,800708,382.81,31.69,8.28
59,800709,358.01,48.27,13.48
60,800710,484.93,25.05,5.17
61,800711,473.39,42.27,8.93
62,800801,302.76,61.61,20.35
63,800802,378.29,60.69,16.04
64,800803,602.48,77.42,12.85
65,800804,238.24,31.55,13.24
66,800806,467.51,60.76,13
67,800807,341.44,28.23,8.27
68,800809,278.87,62.67,22.47
69,800810,275.56,31.83,11.55
70,800811,736.82,43.68,5.93
71,800813,194.28,29.5,15.18
72,800901,82.52,16.09,19.5
73,800902,229.68,57.16,24.89
74,800903,243.45,27.38,11.25
75,800904,417.26,34.79,8.34
76,800905,719.31,62.46,8.68
77,800906,811.66,25.62,3.16
78,800907,800.65,63.16,7.89
79,800908,748.05,47.92,6.41
80,800909,719.93,48.62,6.75
81,800910,1005.29,24.91,2.48
82,800911,1196.56,72.41,6.05
83,800912,278.05,40.09,14.42
84,800913,1047.3,74.6,7.12
85,801001,774.62,46.37,5.99
86,801002,506.8,30.13,5.95
87,801003,614.71,60.55,9.85
88,801101,653.21,57.87,8.86
89,801102,568.22,63.44,11.16
90,801103,734.26,61.89,8.43
91,801104,763.46,53.71,7.04
92,801105,965.39,71.49,7.41
93,801106,754.59,55.96,7.42
94,801107,1043.6,65.42,6.27
95,801202,523.13,57.73,11.04
96,801203,303.15,37.83,12.48
97,801204,333.84,32.96,9.87
