,addrcode,temperature
0,801304,27.1
1,801904,26.83
2,800905,27.84
3,800909,26.77
4,801701,27.5
5,801903,30.05
6,800611,29.93
7,801204,31.73
8,801101,31.14
9,801302,27.39
10,802003,31.59
11,801215,32.35
12,801206,32.42
13,801207,30.89
14,801217,26.91
15,802001,30.99
16,800305,29.51
17,801105,30.53
18,801212,32.05
19,801003,27.46
20,800302,25.35
21,801208,32.99
22,800911,26.23
23,801107,30.26
24,801213,26.87
25,800912,27.81
26,801218,31.61
27,801301,27.15
28,800906,24.08
29,801216,29.79
30,801001,25.88
31,801303,30.0
32,802304,30.93
33,801203,28.57
34,801104,30.77
35,801214,29.93
36,800407,33.31
37,800112,31.59
38,800304,28.5
39,800106,34.48
40,800405,30.87
41,800115,33.11
42,801801,29.33
43,800303,31.33
44,801106,28.52
45,801103,29.35
46,800122,33.86
47,802202,25.95
48,801210,31.19
49,801002,29.15
50,802004,31.73
51,802201,24.8
52,801102,29.52
53,800301,26.99
54,800101,37.51
55,800119,31.47
56,800416,31.93
57,800113,32.25
58,801202,33.13
59,810602,27.26
60,810601,26.12
61,800807,31.46
62,800204,29.35
63,800501,26.87
64,800120,34.82
65,810301,25.0
66,810603,28.41
67,800201,30.89
68,800205,33.21
69,800403,24.84
70,801209,28.33
71,800116,32.79
72,801803,28.72
73,800410,32.69
74,800406,28.68
75,800505,27.76
76,800504,28.89
77,800121,34.63
78,801802,29.03
79,800203,34.39
80,800404,30.49
81,800202,31.45
82,800806,29.75
83,802101,29.14
84,802103,29.76
85,800803,29.0
86,800503,27.82
87,800502,24.89
88,800801,32.39
89,802104,29.84
90,801403,29.48
91,801408,28.14
92,802102,27.81
93,801404,30.65
94,800802,29.97
95,801407,29.34
96,800811,30.2
97,801405,31.95
98,800813,31.98
99,800804,30.49
100,800409,27.08
101,801604,31.47
102,800704,31.09
103,801605,31.25
104,801602,31.41
105,801704,32.08
106,801702,29.89
107,801902,30.51
108,801703,33.07
109,801603,31.51
110,800910,27.85
111,801905,27.51
112,800701,30.51
113,800908,27.71
114,801503,28.96
115,801501,27.9
116,801502,28.49
117,801406,27.19
118,801409,27.6
119,801402,27.04
120,801610,28.75
121,800710,28.82
122,800702,30.21
123,800705,27.88
124,801609,30.36
125,800708,28.91
126,800707,30.85
127,800711,30.25
128,810304,28.26
129,810405,28.63
130,810803,27.98
131,810403,29.68
132,810302,27.59
133,810305,26.26
134,810303,27.12
135,810404,29.04
136,810106,24.85
137,810801,25.03
138,810115,26.54
139,810406,27.46
140,810805,24.8
141,810701,28.57
142,810702,29.48
143,810703,29.06
144,810117,27.02
145,810704,27.9
146,810402,29.29
147,810401,28.48
148,810806,28.35
149,810116,28.59
150,810118,26.49
151,810804,26.95
152,810807,26.48
153,810204,27.9
154,810203,29.41
155,810201,28.29
156,810111,27.43
157,810506,27.02
158,810508,27.43
159,810509,29.17
160,810501,27.15
161,810202,27.27
162,810502,26.27
163,810505,27.03
164,810504,28.7
165,810105,27.81
166,810407,26.05
167,810103,26.62
168,810206,25.03
169,810808,26.78
170,810507,24.56
171,810503,26.66
172,810205,27.23
173,810604,26.02
174,800904,29.21
175,801611,33.61
176,801608,30.09
177,800606,30.35
178,800913,28.03
179,800601,32.63
180,800903,29.39
181,801305,29.63
182,801306,29.75
183,800902,26.97
184,800605,29.87
185,800612,32.43
186,801906,27.59
187,800613,29.99
188,801606,31.09
189,800706,30.83
190,800907,30.21
191,801601,31.77
192,800603,
193,802301,
194,802303,
195,800607,
196,801201,
197,810102,
