,temperature,addrcode
0,,801304
1,,800603
2,,801904
3,,800905
4,,800909
5,,801701
6,,801903
7,,800611
8,,801204
9,,801101
10,,801302
11,,802003
12,,801215
13,,801206
14,,801207
15,,801217
16,,802001
17,,800305
18,,801105
19,,801212
20,,801003
21,,800302
22,,801208
23,,800911
24,,801107
25,,801213
26,,800912
27,,801218
28,,802301
29,,801301
30,,800906
31,,801216
32,,801001
33,,801303
34,,802304
35,,801203
36,,801104
37,,801214
38,,800407
39,,800112
40,,800304
41,,800106
42,,800405
43,,800115
44,,801801
45,,800303
46,,801106
47,,801103
48,,800122
49,,802202
50,,801210
51,,801002
52,,802004
53,,802201
54,,801102
55,,800301
56,,800101
57,,800119
58,,800416
59,,800113
60,,801202
61,,810602
62,,810601
63,,800807
64,,800204
65,,800501
66,,800120
67,,810301
68,,810603
69,,800201
70,,800205
71,,800403
72,,801209
73,,800116
74,,801803
75,,800410
76,,800406
77,,800505
78,,800504
79,,800121
80,,801802
81,,800203
82,,800404
83,,800202
84,,800806
85,,802101
86,,802103
87,,800803
88,,800503
89,,800502
90,,800801
91,,802104
92,,801403
93,,801408
94,,802102
95,,801404
96,,800802
97,,801407
98,,800811
99,,801405
100,,800813
101,,800804
102,,800409
103,,801604
104,,800704
105,,801605
106,,801602
107,,801704
108,,801702
109,,801902
110,,801703
111,,801603
112,,800910
113,,801905
114,,800701
115,,800908
116,,801503
117,,801501
118,,801502
119,,801406
120,,801409
121,,801402
122,,801610
123,,800710
124,,800702
125,,800705
126,,801609
127,,800708
128,,800707
129,,800711
130,,810304
131,,810405
132,,810803
133,,810403
134,,810302
135,,810305
136,,810303
137,,810404
138,,810106
139,,810801
140,,810115
141,,810406
142,,810805
143,,810701
144,,810702
145,,810703
146,,810117
147,,810704
148,,810402
149,,810401
150,,810806
151,,810116
152,,810118
153,,810804
154,,810807
155,,810204
156,,810203
157,,810201
158,,810111
159,,810506
160,,810508
161,,810509
162,,810501
163,,810202
164,,810502
165,,810505
166,,810504
167,,810105
168,,810407
169,,810103
170,,810206
171,,810808
172,,810507
173,,810503
174,,810205
175,,810604
176,,802303
177,,800904
178,,800607
179,,801611
180,,801608
181,,800606
182,,800913
183,,800601
184,,800903
185,,801305
186,,801306
187,,800902
188,,800605
189,,800612
190,,801906
191,,800613
192,,801606
193,,800706
194,,800907
195,,801601
196,,801201
197,,810102
