,addrcode,temperature
0,104101,38.69
1,100302,29.51
2,100301,28.97
3,100303,30.47
4,100304,29.85
5,103005,39.35
6,102105,30.78
7,102107,29.51
8,104902,31.87
9,100508,
10,100112,
11,104601,
12,100502,
13,100306,
14,104603,
15,100305,
16,101002,
17,104802,
18,101104,
19,102601,
20,100307,
21,103201,
22,103605,
23,104201,
24,101105,
25,101106,
26,101101,
27,104002,
28,102705,
29,103801,
30,100601,
31,102303,
32,104501,
33,104401,
34,101103,
35,101901,
36,104801,
37,101803,
38,103903,
39,102201,
40,102302,
41,105001,
42,102401,
43,104701,
44,102803,
45,104602,
