,addrcode,temperature
0,104605,37.81
1,104604,36.35
2,103704,38.75
3,100108,39.51
4,102005,39.51
5,100101,39.51
6,103701,38.75
7,100110,38.75
8,103702,38.75
9,100109,39.51
10,102004,39.51
11,101702,39.17
12,100805,38.75
13,104203,37.79
14,104202,37.83
15,104102,38.35
16,100111,38.75
17,100107,38.75
18,101904,39.23
19,101907,39.23
20,103703,38.75
21,103001,39.43
22,103002,39.43
23,104302,39.19
24,103802,40.01
25,102902,38.95
26,103604,39.43
27,101601,40.25
28,100801,39.09
29,102208,38.07
30,103902,39.37
31,101302,39.09
32,104502,39.85
33,104503,39.85
34,101903,39.23
35,101602,40.25
36,103004,39.43
37,102704,40.01
38,100308,37.69
39,102901,38.95
40,101801,40.25
41,100401,39.09
42,100204,38.75
43,103602,39.43
44,100203,38.75
45,100608,39.85
46,102007,39.51
47,100405,39.09
48,100404,39.09
49,101001,37.99
50,103003,39.43
51,102701,39.17
52,102502,38.95
53,101704,39.17
54,101802,39.09
55,101502,40.25
56,102206,40.25
57,103302,39.37
58,100702,39.09
59,100703,39.09
60,100704,39.09
61,103901,39.37
62,100102,40.25
63,102209,40.25
64,100403,39.09
65,102202,38.07
66,100402,39.09
67,100206,38.75
68,101902,39.51
69,102501,39.51
70,101401,38.75
71,103102,39.09
72,103203,38.97
73,101701,39.17
74,102503,39.51
75,101506,40.25
76,104001,38.19
77,104004,37.89
78,103501,38.19
79,100905,38.13
80,103103,38.13
81,102210,40.25
82,102207,38.07
83,100104,38.75
84,103301,39.37
85,102009,39.51
86,100202,38.75
87,102504,39.51
88,100201,38.75
89,101905,39.23
90,101102,36.81
91,102006,39.51
92,100701,39.09
93,104003,37.09
94,100802,39.09
95,100103,40.25
96,103401,38.35
97,101501,40.25
98,101303,39.09
99,102802,39.09
100,101507,40.25
101,101301,39.09
102,102801,39.09
103,100803,38.75
104,100105,39.51
105,100804,38.75
106,100106,38.75
107,103303,39.37
108,101505,40.25
109,103101,39.25
110,103202,38.97
111,103504,39.25
112,101204,38.13
113,102402,39.25
114,103503,39.25
115,101504,40.25
116,101203,38.13
117,101804,39.09
118,101503,40.25
119,103502,40.25
120,104301,39.19
121,104504,39.85
122,104901,38.15
