TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
801304,1,2,0.005,15363,15600,237,15481.5,118.5,30963.0,2,15363,15363,15363
800603,2,1,0.0025,15450,15450,0,15450.0,0.0,15450.0,1,15450,15450,15450
801904,3,2,0.005,15452,15530,78,15491.0,39.0,30982.0,2,15452,15452,15452
800905,4,4,0.01,15341,15413,72,15369.25,28.0390352901,61477.0,4,15341,15341,15349
800909,5,1,0.0025,15371,15371,0,15371.0,0.0,15371.0,1,15371,15371,15371
801701,6,3,0.0075,15232,15335,103,15289.6666667,42.9444085097,45869.0,3,15232,15232,15302
801903,7,1,0.0025,15451,15451,0,15451.0,0.0,15451.0,1,15451,15451,15451
800611,8,2,0.005,15382,15450,68,15416.0,34.0,30832.0,2,15382,15382,15382
801204,9,1,0.0025,15370,15370,0,15370.0,0.0,15370.0,1,15370,15370,15370
801101,10,2,0.005,15238,15258,20,15248.0,10.0,30496.0,2,15238,15238,15238
801302,11,4,0.01,15141,15494,353,15364.0,133.189714318,61456.0,4,15141,15141,15409
802003,12,1,0.0025,15532,15532,0,15532.0,0.0,15532.0,1,15532,15532,15532
801215,13,1,0.0025,15478,15478,0,15478.0,0.0,15478.0,1,15478,15478,15478
801206,14,2,0.005,15351,15382,31,15366.5,15.5,30733.0,2,15351,15351,15351
801207,15,1,0.0025,15370,15370,0,15370.0,0.0,15370.0,1,15370,15370,15370
801217,16,1,0.0025,15447,15447,0,15447.0,0.0,15447.0,1,15447,15447,15447
802001,17,1,0.0025,15500,15500,0,15500.0,0.0,15500.0,1,15500,15500,15500
800305,18,2,0.005,15343,15541,198,15442.0,99.0,30884.0,2,15343,15343,15343
801105,19,4,0.01,15125,15281,156,15196.0,66.268393673,60784.0,4,15125,15125,15138
801212,20,1,0.0025,15302,15302,0,15302.0,0.0,15302.0,1,15302,15302,15302
801003,21,2,0.005,15190,15265,75,15227.5,37.5,30455.0,2,15190,15190,15190
800302,22,3,0.0075,15155,15266,111,15227.0,50.9705797495,45681.0,3,15155,15155,15260
801208,23,1,0.0025,15458,15458,0,15458.0,0.0,15458.0,1,15458,15458,15458
800911,24,4,0.01,15198,15345,147,15277.5,58.9766903107,61110.0,4,15198,15198,15245
801107,25,3,0.0075,15077,15289,212,15209.3333333,94.2207809113,45628.0,3,15077,15077,15262
801213,26,1,0.0025,15365,15365,0,15365.0,0.0,15365.0,1,15365,15365,15365
800912,27,1,0.0025,15213,15213,0,15213.0,0.0,15213.0,1,15213,15213,15213
801218,28,1,0.0025,15405,15405,0,15405.0,0.0,15405.0,1,15405,15405,15405
802301,29,1,0.0025,15282,15282,0,15282.0,0.0,15282.0,1,15282,15282,15282
801301,30,5,0.0125,15392,15521,129,15445.6,58.0641025076,77228.0,5,15392,15392,15402
800906,31,3,0.0075,15170,15370,200,15249.6666667,86.5653253652,45749.0,3,15170,15170,15209
801216,32,1,0.0025,15420,15420,0,15420.0,0.0,15420.0,1,15420,15420,15420
801001,33,2,0.005,15166,15274,108,15220.0,54.0,30440.0,2,15166,15166,15166
