SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
100508,1,1,0.0025,15521,15521,0,15521.0,0.0,15521.0,1,15521,15521,15521
100112,2,1,0.0025,15260,15260,0,15260.0,0.0,15260.0,1,15260,15260,15260
104601,3,1,0.0025,15229,15229,0,15229.0,0.0,15229.0,1,15229,15229,15229
104101,4,1,0.0025,15605,15605,0,15605.0,0.0,15605.0,1,15605,15605,15605
100302,5,2,0.005,15212,15267,55,15239.5,27.5,30479.0,2,15212,15212,15212
100502,6,1,0.0025,15608,15608,0,15608.0,0.0,15608.0,1,15608,15608,15608
100306,7,1,0.0025,15248,15248,0,15248.0,0.0,15248.0,1,15248,15248,15248
104603,8,1,0.0025,15564,15564,0,15564.0,0.0,15564.0,1,15564,15564,15564
100305,10,1,0.0025,15316,15316,0,15316.0,0.0,15316.0,1,15316,15316,15316
100303,12,1,0.0025,15231,15231,0,15231.0,0.0,15231.0,1,15231,15231,15231
104802,13,1,0.0025,15236,15236,0,15236.0,0.0,15236.0,1,15236,15236,15236
101104,14,1,0.0025,15232,15232,0,15232.0,0.0,15232.0,1,15232,15232,15232
102601,15,1,0.0025,15616,15616,0,15616.0,0.0,15616.0,1,15616,15616,15616
100307,16,1,0.0025,15316,15316,0,15316.0,0.0,15316.0,1,15316,15316,15316
103605,18,1,0.0025,15481,15481,0,15481.0,0.0,15481.0,1,15481,15481,15481
100304,19,2,0.005,15229,15281,52,15255.0,26.0,30510.0,2,15229,15229,15229
104201,20,1,0.0025,15489,15489,0,15489.0,0.0,15489.0,1,15489,15489,15489
101105,21,1,0.0025,15232,15232,0,15232.0,0.0,15232.0,1,15232,15232,15232
104002,24,1,0.0025,15598,15598,0,15598.0,0.0,15598.0,1,15598,15598,15598
102705,25,1,0.0025,15564,15564,0,15564.0,0.0,15564.0,1,15564,15564,15564
103801,26,1,0.0025,15634,15634,0,15634.0,0.0,15634.0,1,15634,15634,15634
103005,27,1,0.0025,15692,15692,0,15692.0,0.0,15692.0,1,15692,15692,15692
100601,28,1,0.0025,15667,15667,0,15667.0,0.0,15667.0,1,15667,15667,15667
102303,29,1,0.0025,15472,15472,0,15472.0,0.0,15472.0,1,15472,15472,15472
104501,30,1,0.0025,15667,15667,0,15667.0,0.0,15667.0,1,15667,15667,15667
104401,31,1,0.0025,15667,15667,0,15667.0,0.0,15667.0,1,15667,15667,15667
102105,32,3,0.0075,14991,15614,623,15326.3333333,256.56231645,45979.0,3,14991,14991,15374
101103,33,1,0.0025,15253,15253,0,15253.0,0.0,15253.0,1,15253,15253,15253
101901,34,1,0.0025,15257,15257,0,15257.0,0.0,15257.0,1,15257,15257,15257
104801,35,1,0.0025,15513,15513,0,15513.0,0.0,15513.0,1,15513,15513,15513
102107,36,1,0.0025,15337,15337,0,15337.0,0.0,15337.0,1,15337,15337,15337
101803,37,1,0.0025,15605,15605,0,15605.0,0.0,15605.0,1,15605,15605,15605
103903,38,1,0.0025,15589,15589,0,15589.0,0.0,15589.0,1,15589,15589,15589
102201,39,1,0.0025,15640,15640,0,15640.0,0.0,15640.0,1,15640,15640,15640
102302,40,1,0.0025,15614,15614,0,15614.0,0.0,15614.0,1,15614,15614,15614
105001,41,1,0.0025,15614,15614,0,15614.0,0.0,15614.0,1,15614,15614,15614
102803,44,1,0.0025,15589,15589,0,15589.0,0.0,15589.0,1,15589,15589,15589
104902,45,1,0.0025,15374,15374,0,15374.0,0.0,15374.0,1,15374,15374,15374
104602,46,2,0.005,15223,15262,39,15242.5,19.5,30485.0,2,15223,15223,15223
