,addrcode,rainfall
0,801904,84.17
1,800905,64.79
2,801701,63.29
3,800611,89.92
4,801204,101.62
5,801101,83.6
6,801302,97.52
7,800305,84.89
8,801105,75.78
9,801212,95.94
10,800302,95.48
11,801205,99.32
12,800911,82.34
13,801107,59.83
14,802302,98.23
15,800912,69.29
16,801218,99.0
17,802304,80.13
18,800407,65.11
19,802203,104.64
20,800118,85.21
21,800112,84.54
22,800106,105.37
23,801801,53.8
24,801106,61.99
25,802202,69.17
26,802004,84.13
27,802201,92.7
28,800301,75.16
29,810601,50.52
30,800120,99.41
31,810603,48.33
32,800205,72.78
33,800410,92.93
34,800406,54.55
35,800505,85.81
36,800504,96.32
37,800202,73.74
38,802101,77.92
39,800803,78.59
40,800503,76.28
41,800801,83.44
42,802104,73.52
43,801408,100.2
44,802102,82.02
45,801407,81.95
46,801405,81.59
47,800804,72.85
48,800409,68.56
49,800704,123.48
50,801702,64.85
51,801703,84.5
52,801603,117.2
53,800910,83.67
54,801905,89.49
55,800908,108.42
56,801501,87.87
57,801502,79.86
58,801406,90.21
59,801402,94.86
60,800705,79.26
61,801609,119.38
62,800708,71.9
63,800711,127.18
64,810405,46.56
65,810803,46.75
66,810403,46.1
67,810305,48.51
68,810303,42.31
69,810404,47.66
70,810115,57.11
71,810406,68.07
72,810702,53.31
73,810703,57.63
74,810117,84.21
75,810704,73.56
76,810402,48.28
77,810401,43.34
78,810118,50.26
79,810807,68.6
80,810204,68.65
81,810201,67.67
82,810111,52.95
83,810506,62.48
84,810501,76.66
85,810202,64.99
86,810502,62.62
87,810505,48.68
88,810504,50.55
89,810105,49.59
90,810407,63.18
91,810103,54.17
92,810206,56.11
93,810808,89.19
94,810503,63.17
95,810205,50.47
96,802303,139.96
97,801608,99.8
98,800606,92.23
99,800903,80.72
100,801305,91.2
101,800706,103.6
