,addrcode,rainfall
0,100508,17.31
1,104604,19.79
2,103704,15.24
3,100108,24.96
4,102005,24.96
5,100101,24.96
6,103701,15.24
7,100112,24.96
8,100110,15.24
9,103702,15.24
10,100109,24.96
11,102004,24.96
12,101702,15.24
13,100805,15.24
14,104601,19.79
15,104203,17.31
16,104202,17.31
17,104101,14.83
18,100302,25.44
19,100502,17.31
20,100306,25.44
21,104102,14.83
22,100111,15.24
23,100107,15.24
24,101904,24.96
25,101907,24.96
26,104603,19.79
27,103703,15.24
28,100305,25.44
29,103002,14.83
30,104302,17.31
31,101002,19.79
32,103802,17.31
33,102902,14.83
34,100303,21.1
35,103604,13.89
36,101601,24.96
37,100801,15.24
38,102208,24.96
39,101302,15.24
40,104502,16.46
41,104802,16.02
42,102601,15.24
43,104503,16.46
44,101903,24.96
45,100307,26.11
46,103004,14.83
47,102704,17.31
48,102901,14.83
49,101801,24.96
50,103201,16.46
51,100401,15.24
52,100204,15.24
53,103605,17.56
54,104201,17.56
55,100203,15.24
56,100608,16.46
57,101105,26.11
58,102007,24.96
59,101106,26.11
60,100405,15.24
61,101101,18.08
62,100404,15.24
63,104002,16.02
64,102705,17.31
65,103801,17.31
66,101001,19.79
67,103003,14.83
68,103005,14.83
69,100601,16.46
70,102701,16.46
71,102502,14.83
72,101704,15.24
73,102303,16.02
74,101802,15.24
75,101502,24.96
76,102206,24.96
77,103302,15.24
78,100702,15.24
79,100703,15.24
80,100704,15.24
81,103901,15.24
82,100102,24.96
83,102209,24.96
84,100403,15.24
85,104501,15.24
86,102202,24.96
87,100402,15.24
88,100206,15.24
89,101902,24.96
90,102501,24.96
91,101401,15.24
92,103102,15.24
93,103203,17.98
94,101701,15.24
95,102503,24.96
96,102105,16.28
97,101506,24.96
98,104001,12.83
99,104004,11.79
100,103501,12.83
101,100905,17.98
102,103103,16.08
103,102210,24.96
104,102207,24.96
105,100104,15.24
106,103301,15.24
107,102009,24.96
108,100202,15.24
109,102504,24.96
110,101103,18.08
111,100201,15.24
112,101901,24.96
113,101905,24.96
114,101102,18.08
115,102006,24.96
116,104801,16.02
117,100701,15.24
118,100802,15.24
119,100103,24.96
120,103401,16.46
121,101501,24.96
122,101303,15.24
123,102107,12.83
124,102802,15.24
125,101507,24.96
126,101803,15.24
127,101301,15.24
128,102801,15.24
129,100803,15.24
130,100105,24.96
131,100804,15.24
132,100106,15.24
133,103903,15.24
134,103303,15.24
135,102201,24.96
136,101505,24.96
137,103101,12.83
138,103202,17.98
139,103504,12.83
140,102302,11.79
141,101204,16.08
142,102402,12.83
143,103503,12.83
144,102401,16.08
145,104701,17.98
146,101504,24.96
147,101203,16.08
148,101804,15.24
149,101503,24.96
150,102803,15.24
151,103502,24.96
152,104902,12.83
153,104602,19.79
154,104504,16.46
