,addrcode,rainfall
0,801403,36.16
1,801404,35.54
2,800802,36.13
3,801503,24.99
4,801409,31.03
5,801401,31.03
6,801304,50.36
7,800603,54.23
8,800909,57.99
9,801903,51.79
10,802003,53.74
11,801215,54.52
12,801206,58.54
13,801207,57.25
14,801217,54.52
15,802001,53.74
16,801003,53.5
17,801208,58.03
18,801213,57.25
19,802301,56.46
20,801301,50.36
21,800906,51.07
22,801216,54.52
23,801001,52.27
24,801303,53.8
25,801203,57.25
26,801104,57.28
27,801211,57.25
28,800102,50.4
29,801214,58.03
30,800103,50.4
31,800401,53.0
32,800304,53.91
33,800108,50.4
34,800405,53.63
35,800115,50.4
36,800303,50.72
37,801103,56.07
38,800114,53.74
39,802002,53.74
40,800122,58.1
41,801210,58.03
42,801002,54.37
43,801102,57.58
44,800101,50.4
45,800119,58.1
46,800416,53.0
47,800113,53.74
48,801202,58.03
49,810602,83.25
50,800807,40.3
51,800204,40.95
52,800501,41.57
53,800415,44.96
54,800810,40.3
55,810301,78.13
56,800201,40.3
57,800403,48.79
58,801209,52.64
59,800116,50.72
60,801803,54.48
61,800107,51.46
62,800121,47.01
63,801802,53.63
64,800203,40.3
65,800404,51.02
66,800806,35.99
67,802103,36.89
68,800502,38.7
69,800811,35.99
70,800813,37.61
71,800809,36.89
72,800709,54.42
73,801901,55.64
74,801604,75.06
75,800703,66.89
76,801605,74.48
77,801602,73.45
78,801704,76.52
79,801902,55.64
80,800701,73.34
81,801610,74.48
82,800710,69.69
83,800702,73.34
84,800707,86.08
85,810304,78.54
86,810802,84.12
87,810302,79.47
88,810106,77.02
89,810801,76.2
90,810101,76.2
91,810805,66.41
92,810701,61.05
93,810806,80.52
94,810116,78.79
95,810804,76.2
96,810203,57.97
97,810508,80.11
98,810509,79.65
99,810507,80.9
100,810604,82.19
101,800610,56.79
102,800904,51.69
103,800901,51.69
104,800607,54.23
105,800604,54.23
106,801611,56.79
107,800913,52.99
108,800601,54.23
109,801306,51.79
110,800902,51.69
111,800605,54.23
112,800612,61.23
113,801607,56.79
114,801906,54.42
115,800613,60.8
116,801606,62.31
117,800907,58.58
118,801601,62.31
