POINT_BANG,X,Y,P_RAIN24_2
0,100.650034127,13.865927928,30.9353733063
1,100.745101685,13.8529962881,29.4431381226
2,100.547002765,13.7545254811,26.4935112
3,100.497556366,13.7595788722,25.5571460724
4,100.475634063,13.7521615498,25.5571460724
5,100.492151394,13.7512280636,25.5571460724
6,100.529770716,13.7630430098,26.4935112
7,100.499228357,13.7679029825,25.5571460724
8,100.503045965,13.761822636,26.4935112
9,100.538408182,13.7573163195,26.4935112
10,100.494662802,13.761895874,25.5571460724
11,100.481251675,13.7588328289,25.5571460724
12,100.585996523,13.7515581026,26.4935112
13,100.510667602,13.7588747831,26.4935112
14,100.708169637,13.8911411594,29.4431381226
15,100.629576885,13.8976550732,30.9353733063
16,100.672300751,13.8963130805,30.9353733063
17,100.563893467,13.8827841602,28.6248607635
18,100.872021917,13.8720997756,31.6165733337
19,100.605776678,13.8678984281,30.9353733063
20,100.811679778,13.8732427011,31.6165733337
21,100.5800601,13.8714663258,28.6248607635
22,100.505483589,13.764769074,26.4935112
23,100.501439816,13.757277497,26.4935112
24,100.441472717,13.7522748199,25.5571460724
25,100.418633297,13.7506263367,25.5571460724
26,100.706384042,13.8442969932,29.4431381226
27,100.527961506,13.7522245241,26.4935112
28,100.828575304,13.8388436557,31.6165733337
29,100.583669608,13.8421016037,28.6248607635
30,100.668300128,13.8243118787,30.9353733063
31,100.774460621,13.8122749002,29.4431381226
32,100.60812621,13.8392281244,30.9353733063
33,100.526686536,13.829422278,28.6248607635
34,100.822299625,13.9135716162,29.0165729523
35,100.579764321,13.9169673853,25.1112556458
36,100.486477187,13.7427943514,25.5571460724
37,100.511837693,13.7437205042,26.4935112
38,100.423065678,13.7380094564,25.5571460724
39,100.510977362,13.7382068339,26.4935112
40,100.600737579,13.7934808191,30.4930496216
41,100.372648064,13.7856977068,17.6203079224
42,100.563266751,13.775071483,26.4935112
43,100.620595798,13.7881933823,30.4930496216
44,100.428539617,13.7861848561,25.5571460724
45,100.836667625,13.7977538507,38.0564880371
46,100.565745619,13.8085226659,28.6248607635
47,100.638646785,13.8112652613,30.9353733063
48,100.53021961,13.8106105983,28.6248607635
49,100.498881145,13.7327783523,25.5571460724
50,100.679827921,13.7174530162,30.4930496216
51,100.520240658,13.7336035808,26.4935112
52,100.517383748,13.7574561632,26.4935112
53,100.609121981,13.9200704078,27.3888607025
54,100.652272341,13.9214167064,27.3888607025
55,100.520598024,13.767802731,26.4935112
56,100.643832442,13.7551040065,30.4930496216
57,100.82440238,13.7237646609,38.0564880371
58,100.463129537,13.7598434125,25.5571460724
59,100.853805065,13.7274620425,38.0564880371
60,100.523239584,13.7294329607,26.4935112
61,100.749717361,13.722808283,32.01587677
62,100.514435465,13.7246085607,26.4935112
63,100.397434355,13.7199086637,17.6203079224
64,100.645313807,13.8287250195,30.9353733063
65,100.600568279,13.8138021185,30.9353733063
66,100.723055462,13.8022867906,29.4431381226
67,100.581233511,13.8193746013,28.6248607635
68,100.552654141,13.8152995128,28.6248607635
69,100.635093523,13.7884470736,30.4930496216
70,100.660654297,13.7936094857,30.4930496216
71,100.508703275,13.8001458031,28.6248607635
72,100.585425012,13.7846089658,26.4935112
73,100.351082261,13.7141059285,17.6203079224
74,100.505093404,13.731164719,26.4935112
75,100.489966851,13.7305525625,25.5571460724
76,100.451837222,13.7285695496,25.5571460724
77,100.570753548,13.7228534241,26.4935112
78,100.526549121,13.7417642048,26.4935112
79,100.534862613,13.7403758155,26.4935112
80,100.545509766,13.7362756101,26.4935112
81,100.56093748,13.7429474334,26.4935112
