OLD_TB_IDN,TB_EN,addrcode,X,Y
801304,Khuan Koei,801304,99.89960688,8.140442075
800603,Tha Khanan,800603,100.1646799,8.140450256
801904,Thung Pho,801904,99.83340489,8.106093868
800905,Na Mai Phai,800905,99.58494735,8.113388415
800909,Thi Wang,800909,99.66948325,8.09858318
801701,Bang Khan,801701,99.45708365,8.081680125
801903,Khuan Nong Kwa,801903,99.93494544,8.10339005
800611,Karaket,800611,100.1538475,8.073202844
801204,Chamao,801204,100.0538089,8.275125245
801101,Tha Yang,801101,99.34643399,8.305003464
801302,Hin Tok,801302,99.84629258,8.254388833
802003,Thai Samphao,802003,99.90853033,8.302005192
801215,Ban Phoeng,801215,100.2270602,8.293778521
801206,Ko Thuat,801206,100.0890705,8.280662246
801207,Ban Mai,801207,100.1495461,8.27814401
801217,Pak Phraek,801217,100.212689,8.246094696
802001,Na Phru,802001,99.91094711,8.335221206
800305,Khun Thale,800305,99.84435658,8.343847724
801105,Prik,801105,99.43512191,8.2859663
801212,Bang Phra,801212,100.2308801,8.327700317
801003,Kaeo Saen,801003,99.52796602,8.281905878
800302,Lan Saka,800302,99.77092648,8.305119262
801205,Khlong Krabue,801205,100.1460633,8.314830747
801208,Hu Long,801208,100.1839754,8.313981862
800911,Tham Yai,800911,99.74220335,8.164266073
801107,Krung Yan,801107,99.4031808,8.186979052
802302,Don Tro,802302,100.0392961,8.213472798
801213,Bang Taphong,801213,100.1529192,8.231651664
800912,Na Pho,800912,99.57626411,8.208419551
801218,Khanap Nak,801218,100.2636619,8.207797052
802301,Chian Khao,802301,100.0812893,8.176902482
801301,Ron Phibun,801301,99.82473553,8.174732045
800906,Na Luang Sen,800906,99.70127667,8.243119924
801216,Tha Phaya,801216,100.2561361,8.262585136
801001,Na Bon,801001,99.61186436,8.250967238
801303,Sao Thong,801303,99.92362386,8.252201823
802304,Thang Phun,802304,99.98165996,8.232508214
801203,Pa Rakam,801203,100.1204881,8.244253076
801104,Kurae,801104,99.33663197,8.193789195
801211,Bang Sala,801211,100.1849467,8.245971451
800102,Tha Wang,800102,99.96135385,8.449091312
801214,Pak Phanang Fang Tawan Ok,801214,100.1996197,8.397059752
800407,Na Kacha,800407,99.45979734,8.418808402
802203,Suan Khan,802203,99.63045633,8.411082639
800103,Khlang,800103,99.96636058,8.434290469
800118,Pho Sadet,800118,99.92376569,8.427134947
800401,Chawang,800401,99.50427977,8.390905785
800112,Kamphaeng Sao,800112,99.86728099,8.39943493
800304,Kamlon,800304,99.75371864,8.454468348
800106,Tha Rai,800108,99.91393194,8.472077978
800106,Tha Rai,800106,100.0423678,8.427507959
800405,Mai Riang,800405,99.47679868,8.458349311
800115,Na Khian,800115,99.91938319,8.452270633
801801,Tham Phannara,801801,99.37290178,8.414092079
800303,Tha Di,800303,99.81920945,8.414087526
801106,Bang Rup,801106,99.27890348,8.399694511
801103,Thung Yai,801103,99.42860454,8.365589879
800114,Mamuang Song Ton,800114,99.95260692,8.398476227
802002,Na San,802002,99.91794462,8.371220224
800122,Tha Ruea,800122,100.0123412,8.32542449
802202,Lak Chang,802202,99.55144551,8.345291077
801210,Pak Phanang Fang Tawan Tok,801210,100.1652842,8.359816675
801002,Thung Song,801002,99.48677364,8.2551682
802004,Chang Sai,802004,99.96629754,8.31093759
802201,Chang Klang,802201,99.64461822,8.342730238
801102,Thung Sang,801102,99.34184704,8.371597729
800301,Khao Kaeo,800301,99.74209613,8.374326033
800101,Nai Mueang,800101,99.97185228,8.407504691
800119,Bang Chak,800119,100.0605965,8.376365676
800416,Chan Di,800416,99.55385545,8.390489351
800113,Chai Montri,800113,99.91245516,8.399467238
801202,Khlong Noi,801202,100.1082993,8.358240603
810602,Khao Khen,810602,98.80336365,8.563155132
810601,Plai Phraya,810601,98.88189776,8.546154939
800807,Mo Khlan,800807,99.88472525,8.588963212
800204,Thon Hong,800204,99.77605354,8.580095461
800501,Phipun,800501,99.65180993,8.557824494
800120,Pak Phun,800120,99.9724623,8.528563424
800415,Na Khliang,800415,99.50047715,8.53269426
800810,Don Tako,800810,99.88396857,8.561567677
810301,Ko Lanta Yai,810301,99.07576459,7.524608059
810603,Khao To,810603,98.747341,8.60414344
800201,Phrom Lok,800201,99.80094691,8.504202121
800205,Na Riang,800205,99.88457061,8.510087444
800403,La-Ai,800403,99.63362461,8.465824194
801209,Laem Talumphuk,801209,100.1813107,8.47360584
800116,Tha Ngio,800116,99.86113645,8.466376363
801803,Dusit,801803,99.34733126,8.465664478
800107,Pak Nakhon,800107,100.0123076,8.443200427
800410,Sai Ra,800410,99.5483873,8.447741101
800406,Kapiat,800406,99.46374612,8.517745762
800505,Khuan Klang,800505,99.54911117,8.531256916
800504,Yang Khom,800504,99.70079634,8.52021018
800121,Tha Sak,800121,100.0323355,8.51013126
801802,Khlong Se,801802,99.41858009,8.490968253
800203,In Khiri,800203,99.8997571,8.539249209
800404,Na Wae,800404,99.5206528,8.485707088
800202,Ban Ko,800202,99.81349863,8.538713103
800806,Sa Kaeo,800806,99.87077471,8.749966426
802101,Nopphitam,802101,99.73750273,8.749936684
802103,Karo,802103,99.82732537,8.665806191
800803,Tha Khuen,800803,99.89660012,8.715196518
800503,Khao Phra,800503,99.61471869,8.634433571
800502,Kathun,800502,99.52514459,8.632944369
800801,Tha Sala,800801,99.92559514,8.668911301
802104,Na Reng,802104,99.74950494,8.656676393
801403,Chalong,801403,99.78434957,8.898950235
801408,Khao Noi,801408,99.74169518,8.933858547
802102,Krung Ching,802102,99.62132049,8.800340252
801404,Sao Phao,801404,99.89092727,8.893018422
800802,Klai,800802,99.90192682,8.812226498
801407,Theppharat,801407,99.78561761,8.857008588
800811,Taling Chan,800811,99.82139324,8.783214116
801405,Plian,801405,99.83093502,8.841736543
800813,Pho Thong,800813,99.9217687,8.616722512
800809,Thai Buri,800809,99.87922467,8.664989458
800804,Hua Taphan,800804,99.88926576,8.628011461
800409,Huai Prik,800409,99.46365659,8.586908469
800709,Khuan Nong Hong,800709,99.88499075,8.009152596
801901,Ban Khuan Mut,801901,99.90954511,8.035119087
801604,Laem,801604,100.191795,7.969517298
800704,Khreng,800704,100.1039205,7.953584903
800703,Tha Pracha,800703,99.96016042,7.973494155
801605,Khao Phang Krai,801605,100.2691183,7.975750874
801602,Na Saton,801602,100.3223456,7.96735644
801704,Ban Nikhom,801704,99.50650496,7.932531622
801702,Ban Lamnao,801702,99.45537148,7.972768558
801902,Ban Cha-Uat,801902,99.9329973,8.058499773
801703,Wang Hin,801703,99.55436263,7.984282742
801603,Sai Khao,801603,100.2260247,8.039724422
800910,Namtok,800910,99.77236147,7.957271509
801905,Na Mo Bun,801905,99.84860457,8.037609457
800701,Cha-Uat,800701,100.0198075,7.995773367
800908,Kapang,800908,99.68981756,8.028289411
801503,Thong Nian,801503,99.81437264,9.279884712
801501,Khanom,801501,99.85618993,9.15565671
801502,Khuan Thong,801502,99.7813073,9.17874541
801406,Si Khit,801406,99.78635718,9.022829227
801409,Thung Sai,801409,99.86063156,9.071861177
801402,Thung Prang,801402,99.87624019,8.957518308
801401,Sichon,801401,99.8778721,9.010303022
801610,Ram Kaeo,801610,100.2910039,7.933049091
800710,Khao Phra Thong,800710,99.87991459,7.980228375
800702,Tha Samet,800702,100.0007475,7.945760969
800705,Wang Ang,800705,99.83664659,7.926165362
801609,Khuan Chalik,801609,100.2093983,7.911030588
800708,Ko Khan,800708,99.93492932,7.909865959
800707,Khon Hat,800707,100.0397142,7.872785188
800711,Nang Long,800711,100.0109845,7.910249524
810304,Khlong Yang,810304,99.08855457,7.806936143
810802,Ko Si Boya,810802,98.96297251,7.83620064
810405,Huai Nam Khao,810405,99.12578563,7.86623332
810803,Khlong Khanan,810803,99.03046742,7.959768049
810403,Khlong Phon,810403,99.20356333,7.794211899
810302,Ko Lanta Noi,810302,99.08651527,7.64591919
810305,Sala Dan,810305,99.0496244,7.602816591
810303,Ko Klang,810303,99.06290144,7.751405311
810404,Sai Khao,810404,99.24080797,7.710556179
810106,Khao Thong,810106,98.74244825,8.140799308
810801,Nuea Khlong,810801,98.9914739,8.08126193
810115,Sai Thai,810115,98.87224915,8.063640631
810101,,810101,98.90644809,8.089490249
810406,Phru Din Na,810406,99.21255535,8.056696183
810805,Khok Yang,810805,99.08673848,8.08954257
810701,Lam Thap,810701,99.30230735,8.092526506
810702,Din Udom,810702,99.35813691,8.100177802
810703,Thung Sai Thong,810703,99.28965558,8.049988596
810117,Nong Thale,810117,98.78523776,8.088175923
810704,Din Daeng,810704,99.37269535,8.011451929
810402,Khlong Thom Nuea,810402,99.26307533,7.930025048
810401,Khlong Thom Tai,810401,99.17189676,7.933098986
810806,Taling Chan,810806,98.97123234,7.966997499
810116,Ao Nang,810116,98.83205824,8.052260767
810118,Khlong Prasong,810118,98.91834306,8.012737003
810804,Khlong Khamao,810804,98.97619659,8.03557493
810807,Pakasai,810807,99.06162981,8.014958462
810204,Phru Tiao,810204,99.13133095,8.257023423
810203,Sin Pun,810203,99.24947367,8.275141233
810201,Khao Phanom,810201,99.0445092,8.227061961
810111,Thap Prik,810111,98.88597326,8.203140523
810506,Ao Luek Nuea,810506,98.79410891,8.414360311
810508,Khlong Ya,810508,98.89137646,8.387687977
810509,Ban Klang,810509,98.79512492,8.358784308
810501,Ao Luek Tai,810501,98.70653755,8.38574207
810202,Khao Din,810202,99.11366433,8.34262189
810502,Laem Sak,810502,98.65021973,8.30382433
810505,Ao Luek Noi,810505,98.71559925,8.268310911
810504,Khlong Hin,810504,98.83854596,8.31105485
810105,Khao Khram,810105,98.79290038,8.233108954
810407,Phela,810407,99.1388094,8.074589919
810103,Krabi Noi,810103,98.95919554,8.175543472
810206,Khok Han,810206,99.25157685,8.188082595
810808,Huai Yung,810808,99.06588492,8.151527127
810507,Khao Yai,810507,98.71928358,8.459182676
810503,Na Nuea,810503,98.70694349,8.530296123
