SCODE_BMA,BMA_CODE,X,Y
100101,100101,100.492151,13.751228
100102,100102,100.499016,13.74397
100103,100103,100.499158,13.749947
100104,100104,100.503378,13.751117
100105,100105,100.497081,13.753965
100106,100106,100.500224,13.753416
100107,100107,100.50144,13.757277
100108,100108,100.497556,13.759579
100109,100109,100.494663,13.761896
100110,100110,100.503046,13.761823
100111,100111,100.505484,13.764769
100112,100112,100.499228,13.767903
100201,100201,100.512323,13.772861
100202,100202,100.504815,13.778113
100203,100203,100.520598,13.767803
100204,100204,100.517384,13.757456
100206,100206,100.522622,13.789072
100301,100301,100.891816,13.825817
100302,100302,100.872022,13.8721
100303,100303,100.8223,13.913572
100304,100304,100.879173,13.917958
100305,100305,100.828575,13.838844
100306,100306,100.81168,13.873243
100307,100307,100.836668,13.797754
100308,100308,100.878661,13.776713
100401,100401,100.520241,13.733604
100402,100402,100.5291,13.72392
100403,100403,100.525426,13.726699
100404,100404,100.514435,13.724609
100405,100405,100.52324,13.729433
100502,100502,100.605777,13.867898
100508,100508,100.650034,13.865928
100601,100601,100.635094,13.788447
100608,100608,100.643832,13.755104
100701,100701,100.519718,13.744539
100702,100702,100.526549,13.741764
100703,100703,100.534863,13.740376
100704,100704,100.54551,13.736276
100801,100801,100.511838,13.743721
100802,100802,100.512103,13.748552
100803,100803,100.513553,13.75333
100804,100804,100.506768,13.751659
100805,100805,100.510668,13.758875
100905,100905,100.611847,13.695262
101001,101001,100.723055,13.802287
101002,101002,100.774461,13.812275
101101,101101,100.749717,13.722808
101102,101102,100.724758,13.751706
101103,101103,100.754459,13.752342
101104,101104,100.80082,13.767155
101105,101105,100.824402,13.723765
101106,101106,100.853805,13.727462
101203,101203,100.54414,13.697035
101204,101204,100.533443,13.679155
101301,101301,100.504445,13.740601
101302,101302,100.510977,13.738207
101303,101303,100.513536,13.734356
101401,101401,100.544958,13.781887
101501,101501,100.493059,13.736918
101502,101502,100.489967,13.730553
101503,101503,100.486129,13.722682
101504,101504,100.484612,13.713523
101505,101505,100.473383,13.715062
101506,101506,100.484049,13.700439
101507,101507,100.491743,13.70903
101601,101601,100.486477,13.742794
101602,101602,100.474552,13.733897
101701,101701,100.576835,13.768695
101702,101702,100.585997,13.751558
101704,101704,100.585425,13.784609
101801,101801,100.498881,13.732778
101802,101802,100.505093,13.731165
101803,101803,100.500845,13.71438
101804,101804,100.504628,13.723565
101901,101901,100.455598,13.759668
101902,101902,100.45159,13.790887
101903,101903,100.42854,13.786185
101904,101904,100.441473,13.752275
101905,101905,100.428372,13.767151
101907,101907,100.418633,13.750626
102004,102004,100.481252,13.758833
102005,102005,100.475634,13.752162
102006,102006,100.466588,13.772666
102007,102007,100.46313,13.759843
102009,102009,100.477539,13.772164
102105,102105,100.437753,13.573445
102107,102107,100.412962,13.621308
102201,102201,100.442999,13.714039
102202,102202,100.435248,13.723513
102206,102206,100.451837,13.72857
102207,102207,100.445117,13.73658
102208,102208,100.423066,13.738009
102209,102209,100.463279,13.721753
102210,102210,100.459862,13.733081
102302,102302,100.358748,13.679636
102303,102303,100.351082,13.714106
102401,102401,100.510129,13.671544
102402,102402,100.492041,13.674913
102501,102501,100.492535,13.790006
102502,102502,100.508703,13.800146
102503,102503,100.48106,13.783389
102504,102504,100.49248,13.774323
102601,102601,100.563267,13.775071
102701,102701,100.660654,13.793609
102704,102704,100.638647,13.811265
102705,102705,100.645314,13.828725
102801,102801,100.526142,13.708529
102802,102802,100.514452,13.714469
102803,102803,100.541358,13.717589
102901,102901,100.53022,13.810611
102902,102902,100.526687,13.829422
103001,103001,100.561361,13.843158
103002,103002,100.58367,13.842102
103003,103003,100.581234,13.819375
103004,103004,100.565746,13.808523
103005,103005,100.552654,13.8153
103101,103101,100.497436,13.695996
103102,103102,100.508032,13.70533
103103,103103,100.515161,13.693997
103201,103201,100.679828,13.717453
103202,103202,100.65582,13.686862
103203,103203,100.689162,13.680817
103301,103301,100.56019,13.721917
103302,103302,100.570754,13.722853
103303,103303,100.595281,13.707005
103401,103401,100.628077,13.726156
103501,103501,100.449476,13.697454
103502,103502,100.462095,13.709282
103503,103503,100.46801,13.671058
103504,103504,100.467796,13.692914
103602,103602,100.587176,13.939249
103604,103604,100.579764,13.916967
103605,103605,100.609122,13.92007
103701,103701,100.529771,13.763043
103702,103702,100.538408,13.757316
103703,103703,100.527962,13.752225
103704,103704,100.547003,13.754525
103801,103801,100.600568,13.813802
103802,103802,100.608126,13.839228
103901,103901,100.560937,13.742947
103902,103902,100.58588,13.736077
103903,103903,100.59632,13.719121
104001,104001,100.416504,13.696434
104002,104002,100.397434,13.719909
104003,104003,100.384528,13.740611
104004,104004,100.393566,13.691948
104101,104101,100.563893,13.882784
104102,104102,100.58006,13.871466
104201,104201,100.652272,13.921417
104202,104202,100.672301,13.896313
104203,104203,100.629577,13.897655
104301,104301,100.686534,13.817881
104302,104302,100.6683,13.824312
104401,104401,100.69152,13.762634
104501,104501,100.598854,13.779784
104502,104502,100.600738,13.793481
104503,104503,100.620596,13.788193
104504,104504,100.613777,13.768548
104601,104601,100.70817,13.891141
104602,104602,100.760119,13.898819
104603,104603,100.706384,13.844297
104604,104604,100.745102,13.852996
104605,104605,100.773134,13.851202
104701,104701,100.618442,13.667701
104801,104801,100.348443,13.758188
104802,104802,100.372648,13.785698
104901,104901,100.493107,13.649536
104902,104902,100.497608,13.617557
105001,105001,100.389956,13.655758
