,addrcode,rainfall,Week,Year
0,801403,19.87,24,2017
1,801404,18.64,24,2017
2,800802,16.77,24,2017
4,801409,27.75,24,2017
5,801401,27.75,24,2017
6,801304,20.36,24,2017
7,800603,5.64,24,2017
8,800909,9.53,24,2017
9,801903,12.46,24,2017
10,802003,7.78,24,2017
11,801215,3.8,24,2017
12,801206,5.7,24,2017
13,801207,4.58,24,2017
14,801217,3.8,24,2017
15,802001,7.78,24,2017
16,801003,9.59,24,2017
17,801208,4.0,24,2017
18,801213,4.58,24,2017
19,802301,7.26,24,2017
20,801301,20.36,24,2017
21,800906,9.34,24,2017
22,801216,3.8,24,2017
23,801001,8.57,24,2017
24,801303,9.5,24,2017
25,801203,4.58,24,2017
26,801104,13.68,24,2017
27,801211,4.58,24,2017
28,800102,10.4,24,2017
29,801214,4.0,24,2017
30,800103,10.4,24,2017
31,800401,9.32,24,2017
32,800304,11.09,24,2017
33,800108,10.4,24,2017
34,800405,19.24,24,2017
35,800115,10.4,24,2017
36,800303,11.1,24,2017
37,801103,13.14,24,2017
38,800114,7.78,24,2017
39,802002,7.78,24,2017
40,800122,5.28,24,2017
41,801210,4.0,24,2017
42,801002,12.44,24,2017
43,801102,12.28,24,2017
44,800101,10.4,24,2017
45,800119,5.28,24,2017
46,800416,9.32,24,2017
47,800113,7.78,24,2017
48,801202,4.0,24,2017
49,810602,23.84,24,2017
50,800807,17.82,24,2017
51,800204,18.14,24,2017
52,800501,18.65,24,2017
53,800415,21.52,24,2017
54,800810,17.82,24,2017
56,800201,17.82,24,2017
57,800403,11.69,24,2017
58,801209,5.8,24,2017
59,800116,11.1,24,2017
60,801803,16.22,24,2017
61,800107,8.29,24,2017
62,800121,11.86,24,2017
63,801802,19.24,24,2017
64,800203,17.82,24,2017
65,800404,13.25,24,2017
66,800806,19.2,24,2017
67,802103,18.8,24,2017
68,800502,26.41,24,2017
69,800811,19.2,24,2017
70,800813,18.58,24,2017
71,800809,18.8,24,2017
72,800709,18.49,24,2017
73,801901,16.08,24,2017
74,801604,7.68,24,2017
75,800703,12.0,24,2017
76,801605,7.08,24,2017
77,801602,6.6,24,2017
78,801704,9.25,24,2017
79,801902,16.08,24,2017
80,800701,8.37,24,2017
81,801610,7.08,24,2017
82,800710,15.22,24,2017
83,800702,8.37,24,2017
84,800707,9.17,24,2017
85,810304,15.63,24,2017
88,810106,9.34,24,2017
89,810801,10.1,24,2017
91,810805,11.72,24,2017
92,810701,14.63,24,2017
93,810806,12.21,24,2017
94,810116,9.45,24,2017
95,810804,10.1,24,2017
96,810203,13.57,24,2017
97,810508,10.58,24,2017
98,810509,12.18,24,2017
99,810507,18.22,24,2017
100,810604,16.24,24,2017
101,800610,4.49,24,2017
102,800904,8.52,24,2017
103,800901,8.52,24,2017
104,800607,5.64,24,2017
105,800604,5.64,24,2017
106,801611,4.49,24,2017
107,800913,9.23,24,2017
108,800601,5.64,24,2017
109,801306,12.46,24,2017
110,800902,8.52,24,2017
111,800605,5.64,24,2017
112,800612,6.71,24,2017
113,801607,4.49,24,2017
114,801906,18.49,24,2017
115,800613,9.38,24,2017
116,801606,5.96,24,2017
117,800907,9.39,24,2017
118,801601,5.96,24,2017
119,801904,48.79,50,2015
120,800905,56.98,50,2015
121,801701,27.75,50,2015
122,800611,81.05,50,2015
123,801204,142.16,50,2015
124,801101,19.0,50,2015
126,800305,44.95,50,2015
127,801105,44.79,50,2015
128,801212,79.23,50,2015
129,800302,43.92,50,2015
130,801205,69.29,50,2015
131,800911,43.52,50,2015
132,801107,23.39,50,2015
133,802302,139.54,50,2015
134,800912,70.99,50,2015
135,801218,54.73,50,2015
136,802304,103.67,50,2015
137,800407,51.23,50,2015
138,802203,117.92,50,2015
139,800118,68.15,50,2015
140,800112,53.26,50,2015
141,800106,85.04,50,2015
142,801801,53.59,50,2015
143,801106,24.13,50,2015
144,802202,50.99,50,2015
145,802004,52.71,50,2015
146,802201,51.25,50,2015
147,800301,52.05,50,2015
148,810601,15.18,50,2015
149,800120,83.61,50,2015
150,810603,16.69,50,2015
151,800205,61.93,50,2015
152,800410,102.82,50,2015
153,800406,41.34,50,2015
154,800505,168.37,50,2015
155,800504,103.16,50,2015
156,800202,60.35,50,2015
157,802101,61.34,50,2015
158,800803,76.97,50,2015
159,800503,81.66,50,2015
160,800801,79.3,50,2015
161,802104,65.94,50,2015
162,801408,152.1,50,2015
163,802102,68.05,50,2015
164,801407,59.77,50,2015
165,801405,64.06,50,2015
166,800804,67.44,50,2015
