,addrcode,Year,Month,rainfall
0,1001,2014,3,119.75416666666668
1,1001,2014,4,66.72833333333334
2,1001,2014,5,52.785
3,1001,2014,6,231.25416666666672
4,1001,2014,7,45.608333333333334
5,1001,2014,8,172.04916666666665
6,1001,2014,9,280.89
7,1001,2014,10,289.97416666666663
8,1001,2014,11,46.850833333333334
9,1001,2014,12,29.709999999999997
10,1001,2015,1,55.70083333333333
11,1001,2015,2,0.4516666666666667
12,1001,2015,3,24.441666666666663
13,1001,2015,4,17.557499999999997
14,1001,2015,5,131.14499999999998
15,1001,2015,6,297.84833333333336
16,1001,2015,7,212.92583333333334
17,1001,2015,8,228.99416666666667
18,1001,2015,9,382.3108333333333
19,1001,2015,10,304.0441666666667
20,1001,2015,11,73.73416666666667
21,1001,2015,12,2.5966666666666662
22,1001,2016,1,47.455
23,1001,2016,2,0.0
24,1001,2016,3,97.79249999999999
25,1001,2016,4,75.54249999999999
26,1001,2016,5,373.85666666666674
27,1001,2016,6,170.12416666666667
28,1001,2016,7,255.69583333333335
29,1001,2016,8,245.84583333333333
30,1001,2016,9,280.87499999999994
31,1001,2016,10,305.1991666666666
32,1001,2016,11,45.06666666666666
33,1001,2016,12,35.0825
34,1001,2017,1,87.59916666666666
35,1001,2017,2,68.13916666666665
36,1001,2017,3,69.85000000000001
37,1001,2017,4,220.0675
38,1001,2017,5,130.19416666666663
39,1001,2017,6,75.88083333333333
40,1001,2017,7,155.28
41,1001,2017,8,195.97416666666663
42,1001,2017,9,199.00333333333333
43,1001,2017,10,149.875
44,1001,2017,11,17.069999999999997
45,1001,2017,12,3.345833333333333
52,1002,2014,3,103.16999999999999
53,1002,2014,4,58.2
54,1002,2014,5,51.13999999999999
55,1002,2014,6,237.35
56,1002,2014,7,48.28
57,1002,2014,8,176.36
58,1002,2014,9,275.78
59,1002,2014,10,288.86
60,1002,2014,11,43.87
61,1002,2014,12,23.970000000000002
62,1002,2015,1,44.32000000000001
63,1002,2015,2,0.37
64,1002,2015,3,27.369999999999997
65,1002,2015,4,18.87
66,1002,2015,5,136.85
67,1002,2015,6,308.99
68,1002,2015,7,214.17999999999998
69,1002,2015,8,263.02
70,1002,2015,9,389.9
71,1002,2015,10,294.81
72,1002,2015,11,78.92
73,1002,2015,12,1.57
74,1002,2016,1,43.36
75,1002,2016,2,0.0
76,1002,2016,3,87.94
77,1002,2016,4,73.53
78,1002,2016,5,367.44
79,1002,2016,6,186.79
80,1002,2016,7,263.39
81,1002,2016,8,250.88
82,1002,2016,9,288.61
83,1002,2016,10,321.19999999999993
84,1002,2016,11,41.309999999999995
85,1002,2016,12,37.900000000000006
86,1002,2017,1,86.94
87,1002,2017,2,64.12
88,1002,2017,3,61.45
89,1002,2017,4,223.83
90,1002,2017,5,132.16000000000003
91,1002,2017,6,78.5
92,1002,2017,7,160.39000000000001
93,1002,2017,8,212.92
94,1002,2017,9,193.24
95,1002,2017,10,143.4
96,1002,2017,11,14.34
97,1002,2017,12,1.59
104,1003,2014,3,106.11
105,1003,2014,4,61.817499999999995
106,1003,2014,5,57.362500000000004
107,1003,2014,6,177.91750000000002
108,1003,2014,7,52.56999999999999
109,1003,2014,8,203.84000000000003
110,1003,2014,9,262.1925
111,1003,2014,10,265.1525
112,1003,2014,11,34.6525
113,1003,2014,12,16.2325
114,1003,2015,1,58.10999999999999
115,1003,2015,2,0.095
116,1003,2015,3,12.985
117,1003,2015,4,17.13
118,1003,2015,5,124.02750000000002
119,1003,2015,6,279.9625
120,1003,2015,7,229.97
121,1003,2015,8,217.31250000000003
122,1003,2015,9,366.11249999999995
123,1003,2015,10,267.8775
124,1003,2015,11,46.535
125,1003,2015,12,2.245
126,1003,2016,1,35.362500000000004
127,1003,2016,2,0.0
128,1003,2016,3,77.575
129,1003,2016,4,53.98
130,1003,2016,5,365.605
131,1003,2016,6,183.76749999999998
132,1003,2016,7,289.6825
133,1003,2016,8,242.0525
134,1003,2016,9,258.0425
135,1003,2016,10,270.42999999999995
136,1003,2016,11,24.6775
137,1003,2016,12,15.97
138,1003,2017,1,100.79250000000002
139,1003,2017,2,57.765
140,1003,2017,3,64.7375
141,1003,2017,4,212.42000000000002
142,1003,2017,5,154.755
143,1003,2017,6,82.34750000000001
144,1003,2017,7,159.8675
145,1003,2017,8,201.47750000000002
146,1003,2017,9,182.8825
147,1003,2017,10,138.5975
148,1003,2017,11,7.380000000000003
149,1003,2017,12,4.455000000000001
156,1004,2014,3,103.16999999999999
157,1004,2014,4,58.2
158,1004,2014,5,51.13999999999999
159,1004,2014,6,237.35
160,1004,2014,7,48.28
161,1004,2014,8,176.36
162,1004,2014,9,275.78
163,1004,2014,10,288.86
164,1004,2014,11,43.87
165,1004,2014,12,23.970000000000002
166,1004,2015,1,44.32000000000001
167,1004,2015,2,0.37
168,1004,2015,3,27.369999999999997
169,1004,2015,4,18.87
170,1004,2015,5,136.85
171,1004,2015,6,308.99
172,1004,2015,7,214.17999999999998
173,1004,2015,8,263.02
174,1004,2015,9,389.9
175,1004,2015,10,294.81
176,1004,2015,11,78.92
177,1004,2015,12,1.57
178,1004,2016,1,43.36
179,1004,2016,2,0.0
180,1004,2016,3,87.94
181,1004,2016,4,73.53
182,1004,2016,5,367.44
183,1004,2016,6,186.79
184,1004,2016,7,263.39
185,1004,2016,8,250.88
186,1004,2016,9,288.61
187,1004,2016,10,321.19999999999993
188,1004,2016,11,41.309999999999995
189,1004,2016,12,37.900000000000006
190,1004,2017,1,86.94
191,1004,2017,2,64.12
192,1004,2017,3,61.45
