Week,Year,addrcode,rainfall
24,2017,801403,19.87
24,2017,801404,18.64
24,2017,800802,16.77
24,2017,801409,27.75
24,2017,801401,27.75
24,2017,801304,20.36
24,2017,800603,5.64
24,2017,800909,9.53
24,2017,801903,12.46
24,2017,802003,7.78
24,2017,801215,3.8
24,2017,801206,5.7
24,2017,801207,4.58
24,2017,801217,3.8
24,2017,802001,7.78
24,2017,801003,9.59
24,2017,801208,4
24,2017,801213,4.58
24,2017,802301,7.26
24,2017,801301,20.36
24,2017,800906,9.34
24,2017,801216,3.8
24,2017,801001,8.57
24,2017,801303,9.5
24,2017,801203,4.58
24,2017,801104,13.68
24,2017,801211,4.58
24,2017,800102,10.4
24,2017,801214,4
24,2017,800103,10.4
24,2017,800401,9.32
24,2017,800304,11.09
24,2017,800108,10.4
24,2017,800405,19.24
24,2017,800115,10.4
24,2017,800303,11.1
24,2017,801103,13.14
24,2017,800114,7.78
24,2017,802002,7.78
24,2017,800122,5.28
24,2017,801210,4
24,2017,801002,12.44
24,2017,801102,12.28
24,2017,800101,10.4
24,2017,800119,5.28
24,2017,800416,9.32
24,2017,800113,7.78
24,2017,801202,4
24,2017,810602,23.84
24,2017,800807,17.82
24,2017,800204,18.14
24,2017,800501,18.65
24,2017,800415,21.52
24,2017,800810,17.82
24,2017,800201,17.82
24,2017,800403,11.69
24,2017,801209,5.8
24,2017,800116,11.1
24,2017,801803,16.22
24,2017,800107,8.29
24,2017,800121,11.86
24,2017,801802,19.24
24,2017,800203,17.82
24,2017,800404,13.25
24,2017,800806,19.2
24,2017,802103,18.8
24,2017,800502,26.41
24,2017,800811,19.2
24,2017,800813,18.58
24,2017,800809,18.8
24,2017,800709,18.49
24,2017,801901,16.08
24,2017,801604,7.68
24,2017,800703,12
24,2017,801605,7.08
24,2017,801602,6.6
24,2017,801704,9.25
24,2017,801902,16.08
24,2017,800701,8.37
24,2017,801610,7.08
24,2017,800710,15.22
24,2017,800702,8.37
24,2017,800707,9.17
24,2017,810304,15.63
24,2017,810106,9.34
24,2017,810801,10.1
24,2017,810805,11.72
24,2017,810701,14.63
24,2017,810806,12.21
24,2017,810116,9.45
24,2017,810804,10.1
24,2017,810203,13.57
24,2017,810508,10.58
24,2017,810509,12.18
24,2017,810507,18.22
24,2017,810604,16.24
24,2017,800610,4.49
