,addrcode,Year,Month,rainfall
0,100101,2014,3,131.60000000000002
1,100101,2014,4,72.82000000000001
2,100101,2014,5,53.96
3,100101,2014,6,226.89999999999998
4,100101,2014,7,43.7
5,100101,2014,8,168.97000000000003
6,100101,2014,9,284.54
7,100101,2014,10,290.77
8,100101,2014,11,48.980000000000004
9,100101,2014,12,33.81
10,100101,2015,1,63.83
11,100101,2015,2,0.51
12,100101,2015,3,22.35
13,100101,2015,4,16.62
14,100101,2015,5,127.07000000000001
15,100101,2015,6,289.89
16,100101,2015,7,212.03
17,100101,2015,8,204.69
18,100101,2015,9,376.89
19,100101,2015,10,310.64
20,100101,2015,11,70.03
21,100101,2015,12,3.33
22,100101,2016,1,50.379999999999995
23,100101,2016,2,0.0
24,100101,2016,3,104.83
25,100101,2016,4,76.98
26,100101,2016,5,378.44
27,100101,2016,6,158.22
28,100101,2016,7,250.2
29,100101,2016,8,242.24999999999997
30,100101,2016,9,275.35
31,100101,2016,10,293.77000000000004
32,100101,2016,11,47.75
33,100101,2016,12,33.07
34,100101,2017,1,88.07
35,100101,2017,2,71.00999999999999
36,100101,2017,3,75.85000000000001
37,100101,2017,4,217.38
38,100101,2017,5,128.79
39,100101,2017,6,74.00999999999999
40,100101,2017,7,151.63
41,100101,2017,8,183.87
42,100101,2017,9,203.12
43,100101,2017,10,154.5
44,100101,2017,11,19.02
45,100101,2017,12,4.6
52,100102,2014,3,131.60000000000002
53,100102,2014,4,72.82000000000001
54,100102,2014,5,53.96
55,100102,2014,6,226.89999999999998
56,100102,2014,7,43.7
57,100102,2014,8,168.97000000000003
58,100102,2014,9,284.54
59,100102,2014,10,290.77
60,100102,2014,11,48.980000000000004
61,100102,2014,12,33.81
62,100102,2015,1,63.83
63,100102,2015,2,0.51
64,100102,2015,3,22.35
65,100102,2015,4,16.62
66,100102,2015,5,127.07000000000001
67,100102,2015,6,289.89
68,100102,2015,7,212.03
69,100102,2015,8,204.69
70,100102,2015,9,376.89
71,100102,2015,10,310.64
72,100102,2015,11,70.03
73,100102,2015,12,3.33
74,100102,2016,1,50.379999999999995
75,100102,2016,2,0.0
76,100102,2016,3,104.83
77,100102,2016,4,76.98
78,100102,2016,5,378.44
79,100102,2016,6,158.22
80,100102,2016,7,250.2
81,100102,2016,8,242.24999999999997
82,100102,2016,9,275.35
83,100102,2016,10,293.77000000000004
84,100102,2016,11,47.75
85,100102,2016,12,33.07
86,100102,2017,1,88.07
87,100102,2017,2,71.00999999999999
88,100102,2017,3,75.85000000000001
89,100102,2017,4,217.38
90,100102,2017,5,128.79
91,100102,2017,6,74.00999999999999
92,100102,2017,7,151.63
93,100102,2017,8,183.87
94,100102,2017,9,203.12
95,100102,2017,10,154.5
96,100102,2017,11,19.02
97,100102,2017,12,4.6
104,100103,2014,3,131.60000000000002
105,100103,2014,4,72.82000000000001
106,100103,2014,5,53.96
107,100103,2014,6,226.89999999999998
108,100103,2014,7,43.7
109,100103,2014,8,168.97000000000003
110,100103,2014,9,284.54
111,100103,2014,10,290.77
112,100103,2014,11,48.980000000000004
113,100103,2014,12,33.81
114,100103,2015,1,63.83
115,100103,2015,2,0.51
116,100103,2015,3,22.35
117,100103,2015,4,16.62
118,100103,2015,5,127.07000000000001
119,100103,2015,6,289.89
120,100103,2015,7,212.03
121,100103,2015,8,204.69
122,100103,2015,9,376.89
123,100103,2015,10,310.64
124,100103,2015,11,70.03
125,100103,2015,12,3.33
126,100103,2016,1,50.379999999999995
127,100103,2016,2,0.0
128,100103,2016,3,104.83
129,100103,2016,4,76.98
130,100103,2016,5,378.44
131,100103,2016,6,158.22
132,100103,2016,7,250.2
133,100103,2016,8,242.24999999999997
134,100103,2016,9,275.35
135,100103,2016,10,293.77000000000004
136,100103,2016,11,47.75
137,100103,2016,12,33.07
138,100103,2017,1,88.07
139,100103,2017,2,71.00999999999999
140,100103,2017,3,75.85000000000001
141,100103,2017,4,217.38
142,100103,2017,5,128.79
143,100103,2017,6,74.00999999999999
144,100103,2017,7,151.63
145,100103,2017,8,183.87
146,100103,2017,9,203.12
147,100103,2017,10,154.5
148,100103,2017,11,19.02
149,100103,2017,12,4.6
156,100104,2014,3,103.16999999999999
157,100104,2014,4,58.2
158,100104,2014,5,51.14
159,100104,2014,6,237.35
160,100104,2014,7,48.28
161,100104,2014,8,176.36
162,100104,2014,9,275.78
163,100104,2014,10,288.86
164,100104,2014,11,43.87
165,100104,2014,12,23.970000000000002
166,100104,2015,1,44.32
167,100104,2015,2,0.37
168,100104,2015,3,27.369999999999997
169,100104,2015,4,18.87
170,100104,2015,5,136.85
171,100104,2015,6,308.99
172,100104,2015,7,214.17999999999998
173,100104,2015,8,263.02
174,100104,2015,9,389.90000000000003
175,100104,2015,10,294.81000000000006
176,100104,2015,11,78.92
177,100104,2015,12,1.57
178,100104,2016,1,43.36
179,100104,2016,2,0.0
180,100104,2016,3,87.94
181,100104,2016,4,73.52999999999999
182,100104,2016,5,367.44
183,100104,2016,6,186.79000000000002
184,100104,2016,7,263.39000000000004
185,100104,2016,8,250.88000000000002
186,100104,2016,9,288.61
187,100104,2016,10,321.19999999999993
188,100104,2016,11,41.309999999999995
189,100104,2016,12,37.900000000000006
190,100104,2017,1,86.94000000000001
191,100104,2017,2,64.12
192,100104,2017,3,61.45
193,100104,2017,4,223.82999999999998
194,100104,2017,5,132.16000000000003
195,100104,2017,6,78.5
196,100104,2017,7,160.39
197,100104,2017,8,212.92000000000002
198,100104,2017,9,193.24
199,100104,2017,10,143.4
200,100104,2017,11,14.34
201,100104,2017,12,1.59
208,100105,2014,3,131.60000000000002
209,100105,2014,4,72.82000000000001
210,100105,2014,5,53.96
211,100105,2014,6,226.89999999999998
212,100105,2014,7,43.7
213,100105,2014,8,168.97000000000003
214,100105,2014,9,284.54
215,100105,2014,10,290.77
216,100105,2014,11,48.980000000000004
217,100105,2014,12,33.81
218,100105,2015,1,63.83
219,100105,2015,2,0.51
220,100105,2015,3,22.35
221,100105,2015,4,16.62
222,100105,2015,5,127.07000000000001
223,100105,2015,6,289.89
224,100105,2015,7,212.03
225,100105,2015,8,204.69
226,100105,2015,9,376.89
227,100105,2015,10,310.64
228,100105,2015,11,70.03
229,100105,2015,12,3.33
230,100105,2016,1,50.379999999999995
231,100105,2016,2,0.0
232,100105,2016,3,104.83
233,100105,2016,4,76.98
234,100105,2016,5,378.44
235,100105,2016,6,158.22
236,100105,2016,7,250.2
237,100105,2016,8,242.24999999999997
238,100105,2016,9,275.35
239,100105,2016,10,293.77000000000004
240,100105,2016,11,47.75
241,100105,2016,12,33.07
242,100105,2017,1,88.07
243,100105,2017,2,71.00999999999999
244,100105,2017,3,75.85000000000001
245,100105,2017,4,217.38
246,100105,2017,5,128.79
247,100105,2017,6,74.00999999999999
248,100105,2017,7,151.63
249,100105,2017,8,183.87
250,100105,2017,9,203.12
251,100105,2017,10,154.5
252,100105,2017,11,19.02
253,100105,2017,12,4.6
260,100106,2014,3,103.16999999999999
261,100106,2014,4,58.2
262,100106,2014,5,51.14
263,100106,2014,6,237.35
264,100106,2014,7,48.28
265,100106,2014,8,176.36
266,100106,2014,9,275.78
267,100106,2014,10,288.86
268,100106,2014,11,43.87
269,100106,2014,12,23.970000000000002
270,100106,2015,1,44.32
271,100106,2015,2,0.37
272,100106,2015,3,27.369999999999997
273,100106,2015,4,18.87
274,100106,2015,5,136.85
275,100106,2015,6,308.99
276,100106,2015,7,214.17999999999998
277,100106,2015,8,263.02
278,100106,2015,9,389.90000000000003
279,100106,2015,10,294.81000000000006
280,100106,2015,11,78.92
281,100106,2015,12,1.57
282,100106,2016,1,43.36
283,100106,2016,2,0.0
284,100106,2016,3,87.94
285,100106,2016,4,73.52999999999999
286,100106,2016,5,367.44
287,100106,2016,6,186.79000000000002
288,100106,2016,7,263.39000000000004
289,100106,2016,8,250.88000000000002
290,100106,2016,9,288.61
291,100106,2016,10,321.19999999999993
292,100106,2016,11,41.309999999999995
293,100106,2016,12,37.900000000000006
294,100106,2017,1,86.94000000000001
295,100106,2017,2,64.12
296,100106,2017,3,61.45
297,100106,2017,4,223.82999999999998
298,100106,2017,5,132.16000000000003
299,100106,2017,6,78.5
300,100106,2017,7,160.39
301,100106,2017,8,212.92000000000002
302,100106,2017,9,193.24
303,100106,2017,10,143.4
304,100106,2017,11,14.34
305,100106,2017,12,1.59
312,100107,2014,3,103.16999999999999
313,100107,2014,4,58.2
314,100107,2014,5,51.14
315,100107,2014,6,237.35
316,100107,2014,7,48.28
317,100107,2014,8,176.36
318,100107,2014,9,275.78
319,100107,2014,10,288.86
320,100107,2014,11,43.87
321,100107,2014,12,23.970000000000002
322,100107,2015,1,44.32
323,100107,2015,2,0.37
324,100107,2015,3,27.369999999999997
325,100107,2015,4,18.87
326,100107,2015,5,136.85
327,100107,2015,6,308.99
328,100107,2015,7,214.17999999999998
329,100107,2015,8,263.02
330,100107,2015,9,389.90000000000003
331,100107,2015,10,294.81000000000006
332,100107,2015,11,78.92
333,100107,2015,12,1.57
334,100107,2016,1,43.36
335,100107,2016,2,0.0
336,100107,2016,3,87.94
337,100107,2016,4,73.52999999999999
338,100107,2016,5,367.44
339,100107,2016,6,186.79000000000002
340,100107,2016,7,263.39000000000004
341,100107,2016,8,250.88000000000002
342,100107,2016,9,288.61
343,100107,2016,10,321.19999999999993
344,100107,2016,11,41.309999999999995
345,100107,2016,12,37.900000000000006
346,100107,2017,1,86.94000000000001
347,100107,2017,2,64.12
348,100107,2017,3,61.45
349,100107,2017,4,223.82999999999998
350,100107,2017,5,132.16000000000003
