,Week,Year,addrcode,temperature
0,1,2017,800101,26.32
1,1,2017,800102,24.645
2,1,2017,800103,24.645
3,1,2017,800106,24.745
4,1,2017,800107,23.945
5,1,2017,800108,26.85
6,1,2017,800112,28.16
7,1,2017,800113,27.015
8,1,2017,800114,26.32
9,1,2017,800115,28.635
10,1,2017,800116,27.315
11,1,2017,800118,28.635
12,1,2017,800119,25.735
13,1,2017,800120,25.71
14,1,2017,800121,24.245000000000005
15,1,2017,800122,26.195
16,1,2017,800201,26.640000000000004
17,1,2017,800202,27.31
18,1,2017,800203,26.294999999999995
19,1,2017,800204,25.84
20,1,2017,800205,27.954999999999995
21,1,2017,800301,26.565
22,1,2017,800302,26.09
23,1,2017,800303,27.72
24,1,2017,800304,26.22
25,1,2017,800305,26.535
26,1,2017,800401,27.915
27,1,2017,800403,23.89
28,1,2017,800404,27.040000000000006
29,1,2017,800405,27.495
30,1,2017,800406,27.11500000000001
31,1,2017,800407,27.680000000000003
32,1,2017,800409,25.79500000000001
33,1,2017,800410,27.835000000000004
34,1,2017,800415,25.33
35,1,2017,800416,27.85
36,1,2017,800501,24.345
37,1,2017,800502,24.905000000000005
38,1,2017,800503,25.12
39,1,2017,800504,24.28
40,1,2017,800505,25.23
41,1,2017,800601,25.155
42,1,2017,800603,24.235000000000007
43,1,2017,800604,24.145
44,1,2017,800605,24.475
45,1,2017,800606,24.145
46,1,2017,800607,24.55
47,1,2017,800610,24.475
48,1,2017,800611,25.31
49,1,2017,800612,26.1
50,1,2017,800613,25.28
51,1,2017,800701,26.559999999999995
52,1,2017,800702,26.9
53,1,2017,800703,26.915
54,1,2017,800704,24.415
55,1,2017,800705,25.935
56,1,2017,800706,25.885
57,1,2017,800707,24.66
58,1,2017,800708,27.815
59,1,2017,800709,28.76
60,1,2017,800710,28.78
61,1,2017,800711,28.395
62,1,2017,800801,26.64
63,1,2017,800802,23.72
64,1,2017,800803,26.015000000000004
65,1,2017,800804,24.26
66,1,2017,800806,26.955000000000005
67,1,2017,800807,27.455
68,1,2017,800809,26.48
69,1,2017,800810,27.595
70,1,2017,800811,25.35
71,1,2017,800813,23.865
72,1,2017,800901,27.905
73,1,2017,800902,27.31
74,1,2017,800903,28.04
75,1,2017,800904,28.435
76,1,2017,800905,27.73
77,1,2017,800906,27.115
78,1,2017,800907,28.12
79,1,2017,800908,27.15
80,1,2017,800909,26.995000000000005
81,1,2017,800910,25.475
82,1,2017,800911,26.379999999999995
83,1,2017,800912,28.1
84,1,2017,800913,27.795000000000005
85,1,2017,801001,27.630000000000006
86,1,2017,801002,28.065
87,1,2017,801003,28.075
88,1,2017,801101,27.77
89,1,2017,801102,26.465
90,1,2017,801103,27.975
91,1,2017,801104,26.674999999999994
92,1,2017,801105,28.635
93,1,2017,801106,25.54
94,1,2017,801107,26.32
95,1,2017,801202,25.4
96,1,2017,801203,26.84
97,1,2017,801204,26.45000000000001
98,1,2017,801205,25.195
99,1,2017,801206,26.385
100,1,2017,801207,24.955
101,1,2017,801208,24.295
102,1,2017,801209,22.0
103,1,2017,801210,25.03
104,1,2017,801211,23.819999999999997
105,1,2017,801212,24.135
106,1,2017,801213,23.819999999999997
107,1,2017,801214,23.72
108,1,2017,801215,22.504999999999995
109,1,2017,801216,23.465
110,1,2017,801217,23.465
111,1,2017,801218,24.105
112,1,2017,801301,26.94
113,1,2017,801303,25.2
114,1,2017,801304,25.615
115,1,2017,801305,25.575
116,1,2017,801306,25.65
117,1,2017,801401,24.245
118,1,2017,801402,25.28
119,1,2017,801403,26.035
120,1,2017,801404,23.88
121,1,2017,801405,23.09
122,1,2017,801406,25.370000000000005
123,1,2017,801407,23.805
124,1,2017,801408,22.84
125,1,2017,801409,23.86
126,1,2017,801501,20.13
127,1,2017,801502,25.3
128,1,2017,801601,27.24
129,1,2017,801602,24.97
130,1,2017,801603,27.860000000000007
131,1,2017,801604,25.165
132,1,2017,801605,27.19
133,1,2017,801606,27.37
134,1,2017,801607,24.505000000000006
135,1,2017,801608,24.505000000000006
136,1,2017,801609,22.85
137,1,2017,801610,24.985
138,1,2017,801611,24.24
139,1,2017,801701,27.525
140,1,2017,801702,27.255
141,1,2017,801703,26.2
142,1,2017,801704,27.485
143,1,2017,801801,26.68
144,1,2017,801802,27.495
145,1,2017,801803,26.865
146,1,2017,801901,26.59
147,1,2017,801902,26.59
148,1,2017,801903,27.03
149,1,2017,801904,27.115
150,1,2017,801905,28.04500000000001
151,1,2017,801906,27.145
152,1,2017,802001,25.7
153,1,2017,802002,27.015
154,1,2017,802003,25.685
155,1,2017,802004,25.89
156,1,2017,802101,25.315
157,1,2017,802102,22.680000000000003
158,1,2017,802103,26.895
159,1,2017,802104,25.24
160,1,2017,802201,25.97
161,1,2017,802202,27.81
162,1,2017,802203,24.525
163,1,2017,802301,25.62
164,1,2017,802302,26.45000000000001
165,1,2017,802303,25.45
166,1,2017,802304,25.695
1503,10,2017,800101,30.99125
1504,10,2017,800102,30.5975
1505,10,2017,800103,30.5975
1506,10,2017,800106,30.2625
1507,10,2017,800107,30.047500000000007
1508,10,2017,800108,30.7875
1509,10,2017,800112,30.141250000000007
1510,10,2017,800113,30.817499999999995
1511,10,2017,800114,30.99125
1512,10,2017,800115,32.53625
1513,10,2017,800116,30.41625
1514,10,2017,800118,32.53625
1515,10,2017,800119,29.15625
1516,10,2017,800120,29.34625
1517,10,2017,800121,28.89625
1518,10,2017,800122,30.86125
1519,10,2017,800201,28.83625
1520,10,2017,800202,30.90375
1521,10,2017,800203,29.57125
1522,10,2017,800204,28.26625
1523,10,2017,800205,30.90875
1524,10,2017,800301,27.88375
1525,10,2017,800302,27.04750000000001
1526,10,2017,800303,30.398750000000003
1527,10,2017,800304,27.2825
1528,10,2017,800305,29.354999999999997
