ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
1,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/1/2017,91.00,ความชื้นสัมพัทธ์
2,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/1/2017,17.00,ความเร็วลมสุงสุด
3,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/1/2017,0.00,ปริมาณฝน
4,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/5/2017,81.00,ความชื้นสัมพัทธ์
5,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/5/2017,14.00,ความเร็วลมสุงสุด
6,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/5/2017,0.00,ปริมาณฝน
7,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/11/2017,95.00,ความชื้นสัมพัทธ์
8,552201,นครศรีธรรมราช,นครศรีธรรมราช,1/11/2017,0.00,ปริมาณฝน
9,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2017,79.00,ความชื้นสัมพัทธ์
10,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2017,10.00,ความเร็วลมสุงสุด
11,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/2/2017,0.00,ปริมาณฝน
12,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2017,87.00,ความชื้นสัมพัทธ์
13,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2017,9.00,ความเร็วลมสุงสุด
14,552201,นครศรีธรรมราช,นครศรีธรรมราช,2/4/2017,0.00,ปริมาณฝน
15,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2017,78.00,ความชื้นสัมพัทธ์
16,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2017,17.00,ความเร็วลมสุงสุด
17,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/3/2017,0.00,ปริมาณฝน
18,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2017,94.00,ความชื้นสัมพัทธ์
19,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2017,16.00,ความเร็วลมสุงสุด
20,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/4/2017,0.00,ปริมาณฝน
21,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/5/2017,78.00,ความชื้นสัมพัทธ์
22,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/5/2017,10.00,ความเร็วลมสุงสุด
23,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/5/2017,0.00,ปริมาณฝน
24,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/7/2017,80.00,ความชื้นสัมพัทธ์
25,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/7/2017,0.00,ปริมาณฝน
26,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/8/2017,83.00,ความชื้นสัมพัทธ์
27,552201,นครศรีธรรมราช,นครศรีธรรมราช,3/8/2017,0.00,ปริมาณฝน
28,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2017,94.00,ความชื้นสัมพัทธ์
29,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2017,17.00,ความเร็วลมสุงสุด
30,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/1/2017,30.90,ปริมาณฝน
31,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/8/2017,87.00,ความชื้นสัมพัทธ์
32,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/8/2017,10.30,ปริมาณฝน
33,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/9/2017,82.00,ความชื้นสัมพัทธ์
34,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/9/2017,0.00,ปริมาณฝน
35,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/10/2017,88.00,ความชื้นสัมพัทธ์
36,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/10/2017,18.10,ปริมาณฝน
37,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/11/2017,84.00,ความชื้นสัมพัทธ์
38,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/11/2017,0.00,ปริมาณฝน
39,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/12/2017,97.00,ความชื้นสัมพัทธ์
40,552201,นครศรีธรรมราช,นครศรีธรรมราช,4/12/2017,60.70,ปริมาณฝน
41,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/4/2017,97.00,ความชื้นสัมพัทธ์
42,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/4/2017,15.00,ความเร็วลมสุงสุด
43,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/4/2017,0.00,ปริมาณฝน
44,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/5/2017,83.00,ความชื้นสัมพัทธ์
45,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/5/2017,16.00,ความเร็วลมสุงสุด
46,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/5/2017,0.00,ปริมาณฝน
47,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/7/2017,81.00,ความชื้นสัมพัทธ์
48,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/7/2017,0.00,ปริมาณฝน
49,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/12/2017,97.00,ความชื้นสัมพัทธ์
50,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/12/2017,0.00,ปริมาณฝน
51,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/7/2017,85.00,ความชื้นสัมพัทธ์
52,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/7/2017,1.60,ปริมาณฝน
53,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/8/2017,82.00,ความชื้นสัมพัทธ์
54,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/8/2017,37.20,ปริมาณฝน
55,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/10/2017,83.00,ความชื้นสัมพัทธ์
56,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/10/2017,0.00,ปริมาณฝน
57,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/12/2017,92.00,ความชื้นสัมพัทธ์
58,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/12/2017,24.60,ปริมาณฝน
