,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,1001,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
1,1002,9.882,2.281,27.746,1.9,0.95,59.863,7.317,0.095,110.034
2,1003,3.564,0.21,11.995,0.134,0.757,13.563,3.022,0.031,33.277
3,1004,33.816,18.25,127.214,12.077,4.294,287.171,38.379,3.757,524.96
4,1005,40.495,3.416,114.101,2.234,6.885,201.398,21.732,0.736,390.997
5,1006,44.536,6.089,172.443,4.879,7.026,313.505,29.235,1.21,578.923
6,1007,17.292,7.239,60.858,6.434,2.413,159.517,28.016,2.145,283.914
7,1008,25.806,19.785,161.72,19.785,5.161,393.978,75.699,2.151,704.086
8,1010,14.04,1.233,59.701,0.987,3.981,79.872,11.486,0.211,171.511
9,1011,2.679,0.327,19.435,0.394,1.231,16.002,6.908,0.059,47.033
10,1012,21.015,3.876,62.269,2.412,2.928,121.178,18.345,0.517,232.538
11,1013,44.857,19.335,126.063,15.468,2.32,276.875,37.896,5.414,528.229
12,1014,31.546,5.842,72.555,4.44,2.687,195.35,24.886,1.986,339.292
13,1015,18.071,10.562,107.025,6.236,5.854,210.232,24.815,1.273,384.067
14,1016,10.087,3.932,46.504,2.223,3.761,136.434,9.232,1.368,213.541
15,1017,43.415,4.751,119.952,4.091,5.278,256.334,36.223,1.518,471.562
16,1018,18.773,9.567,92.058,3.791,6.498,184.838,23.466,0.542,339.531
17,1019,7.404,0.963,29.346,0.783,1.505,55.622,8.789,0.12,104.533
18,1020,25.159,2.883,81.768,3.32,4.281,195.772,19.743,0.699,333.625
19,1021,5.378,0.626,22.639,0.52,1.269,28.396,5.06,0.15,64.038
20,1022,17.402,4.772,105.872,2.414,6.456,176.996,20.321,0.786,335.017
21,1023,16.598,2.29,81.236,1.547,8.269,133.678,16.152,0.357,260.129
22,1024,19.998,2.62,79.032,2.183,4.541,123.919,17.029,0.611,249.935
23,1025,21.156,3.648,75.05,3.739,6.383,175.178,20.244,0.638,306.037
24,1026,84.7,15.897,236.678,9.03,9.92,403.917,48.455,2.544,811.141
25,1027,13.799,2.208,59.568,0.644,2.714,108.648,11.178,0.322,199.08
26,1028,27.889,9.197,104.881,5.637,4.747,277.407,35.01,1.78,466.548
27,1029,21.805,2.423,72.013,1.337,3.091,129.908,14.286,0.334,245.196
28,1030,31.313,5.57,108.211,3.988,5.867,233.297,30.588,0.824,419.658
29,1031,34.854,5.96,94.066,4.146,3.11,199.015,26.561,1.166,368.878
30,1032,15.797,1.103,44.164,0.922,2.807,65.735,8.961,0.18,139.67
31,1033,24.809,3.498,50.919,5.206,2.522,140.963,16.268,1.301,245.486
32,1034,30.861,3.484,114.868,2.858,4.779,209.191,21.214,0.849,388.102
33,1035,20.128,3.765,121.653,3.393,4.742,201.887,21.476,0.697,377.743
34,1036,28.182,3.548,118.123,2.082,10.381,210.352,18.504,0.616,391.789
35,1037,24.482,13.668,78.552,10.213,2.704,175.879,31.841,2.704,340.042
36,1038,45.204,4.252,157.277,3.746,9.668,387.598,30.878,1.367,639.99
37,1039,39.274,6.711,87.497,5.137,3.149,195.791,21.46,2.403,361.422
38,1040,8.949,1.147,46.071,1.079,3.44,69.927,8.791,0.315,139.719
39,1041,37.315,4.368,129.652,3.75,9.732,266.901,25.684,0.76,478.162
40,1042,25.119,1.999,80.934,1.332,9.105,130.752,14.731,0.469,264.441
41,1043,33.51,2.63,114.401,1.909,6.193,193.637,19.555,0.594,372.428
42,1044,13.39,1.803,82.87,1.113,6.944,185.843,15.692,0.46,308.114
43,1045,57.948,5.738,185.068,3.468,7.314,263.321,40.356,1.009,564.222
44,1046,5.84,0.582,33.041,0.466,2.257,41.899,6.458,0.063,90.605
45,1047,8.584,0.853,28.994,0.625,1.137,38.999,8.755,0.398,88.346
46,1048,8.99,0.354,26.656,0.458,1.935,39.121,9.905,0.125,87.544
47,1049,12.227,1.079,57.148,0.785,1.7,83.107,8.337,0.294,164.678
48,1050,15.619,2.884,116.124,2.223,4.926,127.178,18.052,0.39,287.396
