,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,8001,4.611,0.224,16.424,0.317,0.699,14.409,2.468,0.039,39.191
1,8002,1.297,0.053,3.674,0.031,0.049,3.679,0.533,0.009,9.325
2,8003,0.648,0.016,2.2,0.013,0.099,1.484,0.238,0.003,4.701
3,8004,1.282,0.038,4.063,0.096,0.167,2.998,0.581,0.003,9.228
4,8005,0.257,0.029,2.06,0.031,0.071,1.31,0.244,0.016,4.017
5,8006,0.794,0.031,3.026,0.051,0.361,2.651,0.835,0.007,7.756
6,8007,0.583,0.069,4.033,0.063,0.126,2.135,0.779,0.009,7.797
7,8008,1.226,0.058,4.835,0.071,0.147,3.936,1.106,0.013,11.391
8,8009,1.13,0.052,4.339,0.07,0.107,3.052,1.051,0.005,9.805
9,8010,1.007,0.037,6.139,0.063,0.1,2.226,0.902,0.0,10.474
10,8011,0.724,0.044,6.949,0.091,0.142,2.056,0.536,0.002,10.544
11,8012,0.938,0.101,6.203,0.085,0.851,4.162,1.165,0.017,13.521
12,8013,0.393,0.028,1.067,0.013,0.138,1.68,0.508,0.005,3.832
13,8014,1.119,0.021,1.37,0.022,0.142,1.647,0.532,0.005,4.857
14,8015,0.605,0.032,4.619,0.028,0.193,2.237,0.598,0.004,8.317
15,8016,0.311,0.045,3.479,0.058,0.316,2.375,0.637,0.005,7.226
16,8017,0.147,0.007,1.704,0.026,0.317,1.597,0.567,0.012,4.377
17,8018,0.447,0.037,2.272,0.012,0.112,1.453,1.186,0.0,5.518
18,8019,1.275,0.057,3.967,0.081,0.114,3.135,1.984,0.0,10.612
19,8020,1.537,0.074,10.209,0.125,0.625,6.399,2.192,0.022,21.183
20,8021,0.372,0.027,0.647,0.011,0.042,0.675,0.185,0.002,1.961
21,8022,0.153,0.02,2.089,0.032,0.052,0.848,0.177,0.0,3.37
22,8023,0.303,0.067,2.909,0.048,0.57,3.224,1.594,0.012,8.727
