,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,8001,2343,114,8346,161,355,7322,1254,20,19915
1,8002,292,12,827,7,11,828,120,2,2099
2,8003,204,5,692,4,31,467,75,1,1479
3,8004,507,15,1607,38,66,1186,230,1,3650
4,8005,116,13,929,14,32,591,110,7,1812
5,8006,233,9,888,15,106,778,245,2,2276
6,8007,399,47,2760,43,86,1461,533,6,5335
7,8008,468,22,1845,27,56,1502,422,5,4347
8,8009,938,43,3601,58,89,2533,872,4,8138
9,8010,191,7,1164,12,19,422,171,0,1986
10,8011,397,24,3810,50,78,1127,294,1,5781
11,8012,454,49,3003,41,412,2015,564,8,6546
12,8013,154,11,418,5,54,658,199,2,1501
13,8014,703,13,861,14,89,1035,334,3,3052
14,8015,172,9,1313,8,55,636,170,1,2364
15,8016,124,18,1387,23,126,947,254,2,2881
16,8017,63,3,730,11,136,684,243,5,1875
17,8018,72,6,366,2,18,234,191,0,889
18,8019,268,12,834,17,24,659,417,0,2231
19,8020,209,10,1388,17,85,870,298,3,2880
20,8021,245,18,427,7,28,445,122,1,1293
21,8022,38,5,520,8,13,211,44,0,839
22,8023,50,11,480,8,94,532,263,2,1440
