,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,1001,167,87,509,73,22,1543,101,25,2527
1,1002,104,24,292,20,10,630,77,1,1158
2,1003,796,47,2679,30,169,3029,675,7,7432
3,1004,126,68,474,45,16,1070,143,14,1956
4,1005,1541,130,4342,85,262,7664,827,28,14879
5,1006,1141,156,4418,125,180,8032,749,31,14832
6,1007,129,54,454,48,18,1190,209,16,2118
7,1008,60,46,376,46,12,916,176,5,1637
8,1010,797,70,3389,56,226,4534,652,12,9736
9,1011,320,39,2321,47,147,1911,825,7,5617
10,1012,244,45,723,28,34,1407,213,6,2700
11,1013,58,25,163,20,3,358,49,7,683
12,1014,270,50,621,38,23,1672,213,17,2904
13,1015,142,83,841,49,46,1652,195,10,3018
14,1016,59,23,272,13,22,798,54,8,1249
15,1017,658,72,1818,62,80,3885,549,23,7147
16,1018,104,53,510,21,36,1024,130,3,1881
17,1019,246,32,975,26,50,1848,292,4,3473
18,1020,288,33,936,38,49,2241,226,8,3819
19,1021,610,71,2568,59,144,3221,574,17,7264
20,1022,310,85,1886,43,115,3153,362,14,5968
21,1023,558,77,2731,52,278,4494,543,12,8745
22,1024,229,30,905,25,52,1419,195,7,2862
23,1025,232,40,823,41,70,1921,222,7,3356
24,1026,666,125,1861,71,78,3176,381,20,6378
25,1027,300,48,1295,14,59,2362,243,7,4328
26,1028,188,62,707,38,32,1870,236,12,3145
27,1029,261,29,862,16,37,1555,171,4,2935
28,1030,950,169,3283,121,178,7078,928,25,12732
29,1031,269,46,726,32,24,1536,205,9,2847
30,1032,788,55,2203,46,140,3279,447,9,6967
31,1033,305,43,626,64,31,1733,200,16,3018
32,1034,691,78,2572,64,107,4684,475,19,8690
33,1035,433,81,2617,73,102,4343,462,15,8126
34,1036,961,121,4028,71,354,7173,631,21,13360
35,1037,163,91,523,68,18,1171,212,18,2264
36,1038,893,84,3107,74,191,7657,610,27,12643
37,1039,474,81,1056,62,38,2363,259,29,4362
38,1040,398,51,2049,48,153,3110,391,14,6214
39,1041,786,92,2731,79,205,5622,541,16,10072
40,1042,1018,81,3280,54,369,5299,597,19,10717
41,1043,790,62,2697,45,146,4565,461,14,8780
42,1044,349,47,2160,29,181,4844,409,12,8031
43,1045,919,91,2935,55,116,4176,640,16,8948
44,1046,652,65,3689,52,252,4678,721,7,10116
45,1047,151,15,510,11,20,686,154,7,1554
46,1048,432,17,1281,22,93,1880,476,6,4207
47,1049,374,33,1748,24,52,2542,255,9,5037
48,1050,520,96,3866,74,164,4234,601,13,9568
