,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,800204,1.373,0.009,2.933,0.019,0.0,1.653,0.346,0.0,6.333
1,800807,1.113,0.059,5.389,0.029,0.029,4.305,0.937,0.029,11.891
2,800120,1.495,0.187,9.193,0.234,0.549,10.595,1.752,0.023,24.028
3,800501,0.775,0.0,2.368,0.044,0.0,1.594,0.177,0.0,4.958
4,800810,0.544,0.0,1.234,0.0,0.0,3.738,0.581,0.036,6.133
5,800415,3.621,0.0,6.072,0.223,0.334,4.29,0.947,0.0,15.487
6,800505,0.172,0.057,2.096,0.115,0.23,2.929,0.345,0.0,5.943
7,800406,1.948,0.049,2.984,0.099,0.099,1.603,0.493,0.0,7.275
8,800121,3.633,0.142,8.216,0.119,1.187,11.16,2.375,0.024,26.856
9,800504,0.268,0.0,2.657,0.024,0.097,1.987,0.329,0.012,5.375
10,800203,0.658,0.263,3.029,0.0,0.132,10.995,1.448,0.066,16.591
11,801802,0.057,0.019,0.344,0.0,0.076,0.497,0.172,0.0,1.165
12,800202,2.39,0.037,5.737,0.074,0.037,5.59,0.257,0.0,14.121
13,800404,0.88,0.061,7.376,0.243,0.243,4.432,1.093,0.0,14.327
14,800205,0.462,0.154,3.424,0.0,0.077,7.311,0.846,0.038,12.312
15,800201,1.168,0.04,4.47,0.06,0.121,2.86,0.644,0.0,9.364
16,801209,2.259,0.221,7.928,0.31,1.196,2.835,0.974,0.133,15.856
17,800403,0.084,0.01,1.367,0.021,0.084,1.451,0.177,0.0,3.194
18,801803,0.437,0.034,2.705,0.017,0.101,1.697,1.546,0.0,6.536
19,800116,0.748,0.017,8.497,0.083,0.166,4.622,0.915,0.017,15.065
20,800410,0.766,0.045,5.048,0.068,0.316,3.899,0.744,0.023,10.907
21,800107,15.516,0.257,11.95,0.257,1.606,21.523,3.566,0.032,54.708
22,800108,6.375,0.0,26.401,0.601,0.301,13.712,2.045,0.0,49.435
23,800304,0.369,0.023,1.694,0.012,0.069,1.36,0.127,0.012,3.664
24,800405,2.635,0.072,4.26,0.108,0.361,4.116,0.505,0.0,12.058
25,800106,1.779,0.023,4.617,0.135,0.293,4.685,0.856,0.0,12.387
26,801801,0.874,0.061,3.799,0.02,0.163,2.174,1.828,0.0,8.919
27,800115,3.363,0.183,51.122,1.101,0.734,17.734,2.691,0.0,76.928
28,801106,0.742,0.0,1.71,0.093,0.053,1.418,0.265,0.013,4.294
29,800303,1.91,0.031,7.326,0.031,0.125,3.913,0.595,0.0,13.932
30,801214,2.629,0.044,5.569,0.118,0.532,4.535,0.812,0.03,14.268
31,800102,41.339,4.658,144.978,5.822,6.114,190.393,27.074,0.582,420.961
32,802203,0.516,0.045,4.735,0.045,0.157,2.513,0.269,0.0,8.28
33,800407,0.463,0.036,1.71,0.0,0.071,0.855,0.392,0.0,3.527
34,800118,7.169,0.199,43.612,0.677,0.478,28.676,5.735,0.08,86.626
35,800103,82.645,7.292,249.878,5.348,7.778,276.616,42.295,1.458,673.311
36,800112,4.911,0.072,17.565,0.143,0.036,6.739,1.506,0.036,31.008
37,800401,2.407,0.08,6.861,0.08,0.16,4.775,0.722,0.0,15.086
38,801102,2.253,0.07,3.749,0.141,0.141,2.2,0.422,0.0,8.975
39,802201,0.0,0.0,0.077,0.0,0.0,0.006,0.006,0.0,0.088
40,800101,46.919,3.551,120.213,2.029,2.917,164.469,20.796,0.634,361.527
41,800301,0.039,0.0,0.141,0.0,0.0,0.116,0.013,0.0,0.308
42,800416,4.161,0.085,9.043,0.255,0.085,9.128,1.528,0.0,24.286
43,800119,1.126,0.138,3.791,0.046,0.873,4.457,0.965,0.023,11.419
44,801202,0.115,0.115,6.366,0.019,0.554,3.479,1.376,0.0,12.024
45,800113,3.362,0.0,32.354,0.224,0.523,10.162,2.541,0.0,49.167
46,800114,7.748,0.282,12.255,0.0,2.254,17.89,3.662,0.0,44.091
47,801103,0.422,0.041,5.611,0.041,0.054,1.362,0.858,0.0,8.389
48,800122,1.794,0.061,7.618,0.197,0.418,4.743,1.106,0.012,15.948
49,802002,1.807,0.151,16.225,0.113,1.205,7.228,2.522,0.038,29.288
50,801210,1.106,0.452,22.221,0.101,1.357,14.026,2.966,0.0,42.23
51,802202,0.43,0.086,8.483,0.172,0.172,2.809,0.888,0.0,13.04
52,802004,0.122,0.052,6.058,0.052,0.104,2.847,0.868,0.0,10.102
53,801002,0.375,0.039,15.351,0.118,0.158,3.078,1.105,0.0,20.225
54,800305,0.857,0.043,4.562,0.043,0.343,2.87,0.835,0.0,9.553
55,802001,2.557,0.098,20.307,0.197,0.738,11.555,4.425,0.049,39.925
56,801212,6.283,0.319,19.942,0.319,2.959,9.743,2.959,0.137,42.661
57,801105,0.601,0.062,9.53,0.093,0.197,2.735,0.984,0.0,14.202
58,800302,0.953,0.0,1.219,0.0,0.07,1.135,0.07,0.0,3.448
59,801003,0.862,0.081,3.855,0.049,0.049,2.212,1.09,0.0,8.199
60,801208,0.087,0.087,2.904,0.0,0.52,2.947,0.78,0.0,7.325
61,801205,0.469,0.043,11.054,0.085,1.323,6.999,3.073,0.0,23.046
62,801101,1.271,0.077,13.962,0.199,0.199,3.49,0.704,0.0,19.902
63,801204,0.09,0.03,0.929,0.03,0.3,1.318,0.569,0.0,3.265
