,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,100508,39.348,2.066,97.15,2.207,5.869,175.799,20.989,0.704,344.133
1,104605,5.088,0.372,19.484,0.248,2.668,18.677,3.909,0.0,50.447
2,104604,4.449,0.708,23.761,0.202,0.607,26.997,5.157,0.0,61.881
3,103704,27.403,10.874,82.21,8.264,2.61,150.935,34.798,1.74,318.834
4,100108,17.143,17.143,102.857,45.714,5.714,268.571,0.0,0.0,457.143
5,102005,26.623,4.671,87.809,6.539,2.335,167.679,22.419,1.401,319.477
6,100101,32.601,4.961,31.184,7.796,1.417,102.764,9.922,8.505,199.15
7,103701,10.372,7.779,40.622,3.889,0.864,96.37,14.693,2.593,177.182
8,100112,19.19,14.925,102.345,4.264,0.0,330.49,21.322,0.0,492.537
9,100110,52.356,47.12,230.366,23.56,10.471,667.539,36.649,5.236,1073.298
10,103702,41.301,20.211,124.78,16.696,4.394,323.374,51.845,7.03,589.631
11,100109,12.698,6.349,79.365,3.175,6.349,190.476,22.222,0.0,320.635
12,102004,21.407,2.294,40.52,4.587,3.823,162.844,14.526,0.0,250.0
13,101702,26.956,4.052,64.13,4.052,4.405,168.957,35.941,0.529,309.02
14,100805,33.019,21.226,120.283,21.226,4.717,377.358,33.019,0.0,610.849
15,104601,5.633,0.261,28.126,0.112,0.97,26.82,5.26,0.0,67.181
16,104203,41.805,3.506,124.157,1.978,14.564,197.249,20.408,0.629,404.297
17,104202,4.692,0.355,9.811,0.071,0.711,10.948,3.981,0.071,30.641
18,104101,38.773,4.75,127.873,2.953,9.308,284.119,23.816,0.642,492.233
19,100302,4.046,0.07,7.563,0.0,0.493,5.98,2.251,0.0,20.404
20,100502,41.953,5.132,135.645,2.268,8.176,233.932,22.677,0.776,450.558
21,100306,5.854,0.422,13.881,0.181,1.267,22.511,2.112,0.121,46.349
22,104102,33.175,3.281,134.707,6.015,10.937,218.009,30.988,1.094,438.206
23,100111,33.493,16.746,90.909,7.177,2.392,291.866,23.923,0.0,466.507
24,100107,41.758,24.176,112.088,24.176,8.791,472.527,21.978,10.989,716.484
25,101904,10.735,1.894,39.992,0.842,3.157,79.773,11.787,0.21,148.39
26,101907,6.135,1.278,22.239,0.0,3.067,25.818,8.691,0.0,67.229
27,104603,14.873,1.765,112.294,2.14,7.597,150.867,15.461,0.321,305.318
28,103703,31.974,27.563,108.049,23.153,5.513,256.891,42.999,0.0,496.141
29,100301,4.495,0.215,17.982,0.242,0.727,20.27,5.007,0.054,48.992
30,100305,9.593,0.836,41.177,0.541,2.46,53.082,10.577,0.098,118.365
31,103001,37.492,5.846,109.151,4.031,6.35,285.225,32.856,1.109,482.06
32,103002,33.08,4.943,106.464,5.703,5.323,228.517,25.856,0.38,410.266
33,104302,41.251,2.898,143.527,1.96,6.137,238.302,25.825,0.852,460.752
34,101002,4.782,0.208,12.386,0.208,1.337,10.96,5.762,0.0,35.642
35,103802,45.864,2.548,140.819,1.529,12.06,381.519,28.028,0.679,613.046
36,102902,43.616,4.846,144.051,2.674,6.183,259.86,28.576,0.668,490.475
37,100303,2.267,0.105,5.58,0.07,0.663,4.673,0.628,0.0,13.984
38,103604,43.084,6.141,219.952,3.423,18.824,381.719,34.931,0.805,708.879
39,101601,14.724,3.681,23.313,0.0,4.908,184.049,7.362,6.135,244.172
40,100801,31.25,20.833,154.514,32.986,3.472,284.722,145.833,6.944,680.556
41,102208,16.374,3.594,99.84,1.198,6.39,144.569,12.78,0.0,284.744
42,103902,42.308,5.769,83.284,3.994,2.071,189.793,20.71,2.367,350.296
43,101302,54.113,21.645,173.16,17.316,0.0,387.446,47.619,4.329,705.628
44,104502,96.226,10.692,328.931,6.289,13.208,534.591,84.906,3.774,1078.616
45,104802,9.185,0.441,28.369,0.475,2.068,44.13,11.592,0.169,96.428
46,101104,3.73,0.72,39.105,0.589,2.422,29.419,6.905,0.098,82.987
47,102601,84.7,15.897,236.678,9.03,9.92,403.917,48.455,2.544,811.141
48,104503,0.894,0.0,1.192,0.0,0.0,2.683,0.894,0.0,5.663
49,101602,9.337,3.973,50.258,2.582,3.576,128.725,9.535,0.596,208.582
50,100307,0.841,0.162,2.621,0.032,0.226,2.233,2.75,0.0,8.866
51,103004,17.442,2.326,80.62,0.969,2.519,153.488,19.186,0.388,276.938
52,101801,7.075,16.509,130.896,2.358,16.509,314.858,33.019,1.179,522.406
53,103201,22.72,1.626,59.811,1.274,4.087,96.594,10.943,0.352,197.407
54,100401,40.336,30.252,164.706,13.445,3.361,329.412,43.697,1.681,626.891
55,100204,27.273,15.152,184.848,15.152,3.03,160.606,27.273,0.0,433.333
56,103605,7.777,1.196,20.639,0.823,1.196,41.502,7.627,0.224,80.984
57,103602,39.748,4.077,145.187,2.409,13.991,261.836,16.863,0.927,485.037
58,100304,3.413,0.13,12.713,0.104,0.808,11.749,1.876,0.026,30.818
59,104201,31.751,2.412,114.813,2.021,12.844,192.398,20.472,0.717,377.429
60,100203,12.021,2.862,35.489,2.29,1.145,123.641,10.876,0.0,188.323
61,100608,38.391,5.105,157.375,4.084,5.377,292.084,27.704,1.021,531.142
62,101105,2.979,0.348,18.764,0.503,1.432,20.041,5.03,0.116,49.213
63,102007,30.773,3.268,113.834,2.179,6.264,261.983,20.969,0.817,440.087
64,101106,1.487,0.139,4.74,0.093,0.372,3.485,1.998,0.0,12.314
65,100405,26.573,26.573,125.874,5.594,4.196,358.042,36.364,2.797,586.014
66,100404,35.794,13.423,174.497,17.897,15.66,351.23,55.928,6.711,671.141
67,103801,44.924,4.975,164.263,4.687,8.653,390.179,32.088,1.658,651.428
68,101001,27.535,2.728,128.669,2.121,7.836,180.319,19.829,0.52,369.556
69,103003,45.521,6.424,179.148,4.222,10.463,334.985,41.483,1.285,623.532
70,103005,21.312,7.104,73.548,5.293,4.318,143.474,29.113,0.557,284.719
71,100601,52.795,7.411,192.698,5.947,9.241,342.3,31.293,1.464,643.151
72,102701,31.884,5.101,137.634,1.488,6.271,251.036,25.826,0.744,459.985
73,102502,12.165,1.738,27.459,1.39,2.781,65.693,9.037,0.0,120.264
74,101704,61.748,3.007,165.597,2.606,6.215,344.026,31.275,2.807,617.281
75,102303,17.205,3.134,88.136,1.791,9.082,140.454,18.74,0.448,278.989
76,101802,19.547,12.346,122.428,8.23,5.144,205.761,37.037,1.029,411.523
77,101502,9.934,6.623,79.47,1.656,4.967,122.517,16.556,0.0,241.722
78,102206,13.265,0.737,54.532,1.474,3.685,114.223,14.738,0.737,203.39
79,103302,56.51,4.986,92.521,11.634,4.986,263.712,21.607,3.324,459.28
80,100702,15.31,12.087,72.522,6.446,1.612,159.549,55.6,2.417,325.544
81,100703,6.144,3.584,27.138,2.56,1.024,102.919,12.289,3.072,158.73
82,100704,20.539,8.023,57.766,7.702,1.605,151.155,17.009,1.605,265.404
83,103901,29.136,8.889,66.667,6.914,4.444,215.309,18.765,4.444,354.568
84,100102,18.127,12.085,93.656,3.021,4.532,246.224,16.616,6.042,400.302
85,102209,24.067,9.025,93.261,4.212,3.61,186.522,30.084,0.0,350.782
86,100403,48.043,26.69,129.893,8.897,1.779,300.712,48.043,5.338,569.395
87,104501,53.681,2.848,197.634,2.41,8.326,281.113,54.777,1.096,601.884
88,102202,8.738,5.502,82.524,0.971,3.56,146.278,15.21,0.647,263.43
89,100402,28.429,7.107,95.949,14.215,2.132,207.534,27.719,3.554,386.638
90,101902,11.89,0.517,54.972,1.551,1.379,103.912,19.473,0.345,194.038
91,104401,13.39,1.803,82.87,1.113,6.944,185.843,15.692,0.46,308.114
92,102501,36.558,3.235,110.32,4.529,9.706,259.786,33.97,0.647,458.751
93,101401,31.546,5.842,72.555,4.44,2.687,195.35,24.886,1.986,339.292
94,103102,10.376,7.134,62.257,3.243,1.297,160.83,28.534,0.0,273.671
95,103203,17.87,1.187,55.523,1.121,3.099,71.283,13.056,0.066,163.205
96,101701,43.856,7.569,139.804,5.788,5.343,269.368,42.075,1.336,515.138
97,102503,16.29,4.977,98.643,4.977,6.335,208.597,19.457,0.905,360.181
98,102105,3.763,0.236,12.16,0.236,0.384,12.588,2.715,0.074,32.156
99,101506,18.148,6.884,75.094,6.884,4.38,197.747,31.289,0.0,340.426
100,104001,23.662,4.021,174.606,4.64,9.589,278.843,30.158,1.083,526.601
101,104004,1.335,0.0,2.759,0.178,0.089,5.875,2.314,0.0,12.551
102,103501,17.631,3.595,108.011,2.739,4.108,184.868,21.226,0.856,343.033
103,103103,55.044,6.378,121.899,5.197,4.252,249.232,34.963,1.654,478.62
104,102210,25.316,7.032,84.388,1.406,7.032,233.474,25.316,1.406,385.373
105,102207,16.236,4.428,140.59,2.583,10.701,236.162,26.568,1.107,438.376
106,100104,55.814,18.605,134.884,13.953,4.651,362.791,23.256,0.0,613.953
107,103301,9.49,3.019,32.495,4.313,0.719,79.799,10.927,1.15,141.912
108,102009,25.696,2.498,81.014,3.212,4.283,192.363,26.053,0.714,335.832
109,100202,29.042,6.776,86.157,6.776,0.968,160.697,24.201,0.0,314.618
110,102504,17.217,5.022,66.356,4.304,6.456,167.862,17.217,1.076,285.509
111,101103,5.083,0.184,27.679,0.857,1.47,22.045,24.985,0.061,82.364
112,100201,20.027,3.186,36.413,1.821,2.731,88.757,10.924,0.455,164.315
113,101901,20.797,4.333,158.579,5.199,6.066,331.889,32.062,0.867,559.792
114,101905,8.534,1.094,21.444,0.766,0.875,41.794,5.689,0.0,80.197
115,101102,0.934,0.133,5.804,0.0,0.267,3.936,2.201,0.0,13.276
