,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,100508,0.887,0.047,2.19,0.05,0.132,3.964,0.473,0.016,7.759
1,104605,0.501,0.037,1.92,0.024,0.263,1.84,0.385,0.0,4.971
2,104604,0.373,0.059,1.991,0.017,0.051,2.262,0.432,0.0,5.184
3,103704,0.39,0.155,1.169,0.118,0.037,2.146,0.495,0.025,4.534
4,100108,0.12,0.12,0.721,0.321,0.04,1.883,0.0,0.0,3.205
5,102005,0.181,0.032,0.598,0.045,0.016,1.143,0.153,0.01,2.177
6,100101,1.238,0.188,1.184,0.296,0.054,3.903,0.377,0.323,7.564
7,103701,0.11,0.083,0.432,0.041,0.009,1.024,0.156,0.028,1.883
8,100112,0.312,0.243,1.664,0.069,0.0,5.374,0.347,0.0,8.01
9,100110,0.294,0.264,1.292,0.132,0.059,3.744,0.206,0.029,6.02
10,103702,0.533,0.261,1.61,0.215,0.057,4.171,0.669,0.091,7.606
11,100109,0.204,0.102,1.276,0.051,0.102,3.063,0.357,0.0,5.156
12,102004,0.22,0.024,0.416,0.047,0.039,1.671,0.149,0.0,2.566
13,101702,0.914,0.137,2.174,0.137,0.149,5.727,1.218,0.018,10.474
14,100805,0.2,0.129,0.729,0.129,0.029,2.286,0.2,0.0,3.701
15,104601,0.277,0.013,1.383,0.006,0.048,1.319,0.259,0.0,3.305
16,104203,0.545,0.046,1.618,0.026,0.19,2.571,0.266,0.008,5.269
17,104202,0.183,0.014,0.384,0.003,0.028,0.428,0.156,0.003,1.198
18,104101,0.797,0.098,2.629,0.061,0.191,5.84,0.49,0.013,10.118
19,100302,0.562,0.01,1.051,0.0,0.068,0.831,0.313,0.0,2.834
20,100502,0.756,0.092,2.444,0.041,0.147,4.215,0.409,0.014,8.118
21,100306,0.558,0.04,1.322,0.017,0.121,2.145,0.201,0.011,4.416
22,104102,0.655,0.065,2.659,0.119,0.216,4.303,0.612,0.022,8.649
23,100111,0.304,0.152,0.826,0.065,0.022,2.652,0.217,0.0,4.239
24,100107,0.389,0.225,1.044,0.225,0.082,4.401,0.205,0.102,6.673
25,101904,0.369,0.065,1.375,0.029,0.109,2.743,0.405,0.007,5.103
26,101907,0.207,0.043,0.751,0.0,0.104,0.872,0.293,0.0,2.269
27,104603,0.349,0.041,2.632,0.05,0.178,3.536,0.362,0.008,7.156
28,103703,0.199,0.172,0.672,0.144,0.034,1.598,0.268,0.0,3.087
29,100301,0.454,0.022,1.816,0.024,0.073,2.047,0.506,0.005,4.949
