,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,810503,0.46,0.014,4.413,0.144,0.129,1.495,0.546,0.014,7.216
1,810507,1.229,0.031,3.886,0.046,0.246,2.243,0.845,0.0,8.525
2,810604,1.256,0.014,2.309,0.072,0.505,2.526,0.447,0.029,7.159
3,810205,0.213,0.006,1.701,0.013,0.136,0.724,0.181,0.0,2.975
4,810508,0.615,0.013,2.741,0.026,0.231,1.832,0.461,0.0,5.918
5,810506,2.076,0.015,5.603,0.183,0.55,3.603,1.572,0.031,13.633
6,810501,1.945,0.075,7.217,0.126,0.414,5.51,1.355,0.025,16.667
7,810509,0.435,0.048,5.391,0.024,0.242,2.055,1.475,0.0,9.67
8,810202,0.873,0.018,5.044,0.071,0.41,2.7,0.713,0.0,9.829
9,810504,0.784,0.031,4.064,0.041,0.268,1.96,1.083,0.01,8.242
10,810505,0.635,0.03,3.634,0.05,0.258,1.469,0.347,0.01,6.433
11,810203,0.408,0.0,2.158,0.042,0.272,2.209,0.51,0.008,5.609
12,810204,0.161,0.007,1.682,0.02,0.094,1.106,0.456,0.0,3.525
13,810111,0.086,0.007,0.487,0.014,0.029,0.222,0.193,0.007,1.045
14,810201,0.459,0.0,1.741,0.047,0.122,0.805,0.281,0.009,3.464
15,810105,0.018,0.0,0.351,0.009,0.028,0.148,0.148,0.0,0.703
16,810103,0.221,0.055,3.854,0.048,0.152,2.355,0.477,0.014,7.177
17,810206,0.207,0.0,0.578,0.007,0.148,0.711,0.185,0.0,1.837
18,810808,0.371,0.028,2.494,0.102,0.111,2.012,0.742,0.019,5.879
19,810106,0.126,0.024,0.918,0.012,0.114,0.828,0.348,0.006,2.376
20,810407,0.252,0.022,2.606,0.015,0.059,0.958,0.46,0.0,4.374
21,810406,0.304,0.019,2.612,0.019,0.108,0.85,0.349,0.013,4.274
22,810805,0.256,0.016,10.24,0.016,0.048,2.704,0.896,0.0,14.177
23,810702,0.311,0.019,0.991,0.0,0.155,2.02,0.408,0.019,3.924
24,810701,1.341,0.029,4.848,0.029,0.221,2.682,0.811,0.015,9.977
25,810117,0.203,0.031,1.781,0.078,0.266,2.406,0.515,0.0,5.28
26,810703,0.991,0.015,3.904,0.044,0.175,1.806,0.67,0.0,7.604
27,810801,3.146,0.258,19.366,0.587,0.728,10.399,3.052,0.047,37.582
28,810115,0.247,0.015,2.635,0.031,0.154,1.495,0.632,0.015,5.224
29,810116,0.189,0.027,2.182,0.081,0.162,2.694,0.62,0.054,6.008
30,810118,0.0,0.014,0.219,0.0,0.027,0.219,0.068,0.0,0.548
31,810807,0.716,0.052,15.55,0.122,0.087,4.014,1.449,0.0,21.99
32,810804,3.038,0.316,21.145,0.237,0.631,8.797,2.091,0.0,36.254
33,810704,0.363,0.131,6.869,0.102,0.465,4.966,1.104,0.029,14.028
34,810803,0.741,0.041,6.168,0.082,0.206,1.843,0.525,0.01,9.617
35,810402,0.034,0.0,0.752,0.017,0.144,0.643,0.281,0.006,1.878
36,810806,0.433,0.048,7.547,0.192,0.336,3.461,0.481,0.0,12.498
37,810401,0.298,0.083,9.029,0.107,0.25,3.085,1.31,0.0,14.163
38,810405,0.138,0.035,2.514,0.035,0.207,1.806,1.02,0.009,5.763
39,810403,0.493,0.032,1.554,0.032,0.168,1.43,0.52,0.005,4.235
40,810304,0.237,0.016,6.732,0.111,0.158,1.549,0.395,0.016,9.213
41,810303,0.189,0.011,2.531,0.044,0.089,1.054,0.455,0.011,4.384
42,810404,0.547,0.018,3.822,0.101,0.053,1.593,0.458,0.012,6.604
43,810305,0.49,0.229,8.203,0.327,0.229,5.621,1.013,0.0,16.113
44,810603,0.104,0.021,3.593,0.062,0.124,1.563,0.518,0.01,5.994
45,810601,0.472,0.023,2.8,0.037,0.204,1.749,0.338,0.019,5.641
46,810602,0.375,0.02,2.667,0.01,0.346,1.373,0.237,0.0,5.027
