,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,810503,0.647,0.02,6.211,0.202,0.182,2.104,0.769,0.02,10.156
1,810507,1.842,0.046,5.824,0.069,0.368,3.361,1.266,0.0,12.776
2,810604,1.482,0.017,2.725,0.085,0.596,2.98,0.528,0.034,8.447
3,810205,0.352,0.011,2.802,0.021,0.224,1.193,0.298,0.0,4.901
4,810508,1.229,0.026,5.479,0.051,0.461,3.661,0.922,0.0,11.828
5,810506,1.826,0.013,4.926,0.161,0.483,3.168,1.383,0.027,11.987
6,810501,1.542,0.06,5.719,0.099,0.328,4.366,1.074,0.02,13.207
7,810509,0.357,0.04,4.426,0.02,0.198,1.687,1.211,0.0,7.94
8,810202,1.12,0.023,6.471,0.091,0.526,3.464,0.915,0.0,12.61
9,810504,1.092,0.043,5.663,0.057,0.374,2.731,1.509,0.014,11.485
10,810505,0.991,0.046,5.667,0.077,0.403,2.292,0.542,0.015,10.034
11,810203,0.518,0.0,2.744,0.054,0.346,2.808,0.648,0.011,7.129
12,810204,0.268,0.011,2.799,0.033,0.156,1.84,0.758,0.0,5.866
13,810111,0.123,0.01,0.695,0.02,0.041,0.317,0.276,0.01,1.492
14,810201,0.396,0.0,1.501,0.04,0.105,0.694,0.242,0.008,2.987
15,810105,0.019,0.0,0.363,0.01,0.029,0.153,0.153,0.0,0.726
16,810103,0.189,0.047,3.298,0.041,0.13,2.016,0.408,0.012,6.142
17,810206,0.477,0.0,1.33,0.017,0.341,1.637,0.426,0.0,4.228
18,810808,0.541,0.041,3.638,0.149,0.162,2.934,1.082,0.027,8.573
19,810106,0.315,0.06,2.292,0.03,0.285,2.067,0.869,0.015,5.933
20,810407,0.541,0.048,5.586,0.032,0.127,2.053,0.987,0.0,9.373
21,810406,0.452,0.028,3.881,0.028,0.16,1.262,0.518,0.019,6.348
22,810805,0.249,0.016,9.946,0.016,0.047,2.626,0.87,0.0,13.768
23,810702,0.264,0.016,0.841,0.0,0.132,1.716,0.346,0.016,3.333
24,810701,0.994,0.022,3.594,0.022,0.164,1.988,0.601,0.011,7.396
25,810117,0.128,0.02,1.121,0.049,0.167,1.514,0.324,0.0,3.323
26,810703,1.372,0.02,5.406,0.061,0.242,2.502,0.928,0.0,10.531
27,810801,0.932,0.076,5.736,0.174,0.216,3.08,0.904,0.014,11.132
28,810115,0.117,0.007,1.248,0.015,0.073,0.708,0.299,0.007,2.474
29,810116,0.055,0.008,0.632,0.023,0.047,0.78,0.179,0.016,1.739
30,810118,0.0,0.018,0.292,0.0,0.037,0.292,0.091,0.0,0.73
31,810807,0.525,0.038,11.408,0.09,0.064,2.945,1.063,0.0,16.133
32,810804,1.336,0.139,9.299,0.104,0.278,3.869,0.92,0.0,15.944
33,810704,0.644,0.232,12.188,0.18,0.825,8.812,1.958,0.052,24.89
34,810803,0.777,0.043,6.463,0.086,0.216,1.931,0.55,0.011,10.078
35,810402,0.093,0.0,2.023,0.046,0.386,1.729,0.757,0.015,5.049
36,810806,0.15,0.017,2.613,0.067,0.117,1.198,0.166,0.0,4.328
37,810401,0.196,0.055,5.949,0.071,0.165,2.033,0.863,0.0,9.331
38,810405,0.166,0.041,3.019,0.041,0.249,2.168,1.224,0.01,6.919
39,810403,0.459,0.03,1.447,0.03,0.156,1.331,0.484,0.005,3.943
40,810304,0.246,0.016,6.994,0.115,0.164,1.609,0.41,0.016,9.571
41,810303,0.205,0.012,2.752,0.048,0.097,1.147,0.495,0.012,4.768
42,810404,0.855,0.028,5.979,0.158,0.084,2.492,0.716,0.019,10.331
43,810305,0.232,0.108,3.889,0.155,0.108,2.665,0.48,0.0,7.639
44,810603,0.131,0.026,4.558,0.079,0.158,1.983,0.657,0.013,7.605
45,810601,0.552,0.027,3.273,0.043,0.238,2.045,0.395,0.022,6.594
46,810602,0.59,0.031,4.193,0.016,0.543,2.158,0.373,0.0,7.904
