,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,800204,1.252,0.009,2.675,0.017,0.0,1.508,0.315,0.0,5.777
1,800807,0.266,0.014,1.287,0.007,0.007,1.028,0.224,0.007,2.839
2,800120,0.347,0.043,2.132,0.054,0.127,2.457,0.406,0.005,5.573
3,800501,0.633,0.0,1.936,0.036,0.0,1.303,0.145,0.0,4.054
4,800810,0.294,0.0,0.667,0.0,0.0,2.022,0.314,0.02,3.318
5,800415,2.304,0.0,3.864,0.142,0.213,2.73,0.603,0.0,9.855
6,800505,0.151,0.05,1.841,0.101,0.202,2.573,0.303,0.0,5.221
7,800406,1.917,0.049,2.936,0.097,0.097,1.577,0.485,0.0,7.158
8,800121,1.352,0.053,3.058,0.044,0.442,4.153,0.884,0.009,9.995
9,800504,0.371,0.0,3.677,0.034,0.135,2.75,0.455,0.017,7.439
10,800203,0.173,0.069,0.796,0.0,0.035,2.89,0.381,0.017,4.361
11,801802,0.069,0.023,0.416,0.0,0.092,0.601,0.208,0.0,1.409
12,800202,1.261,0.019,3.027,0.039,0.019,2.95,0.136,0.0,7.452
13,800404,0.394,0.027,3.3,0.109,0.109,1.983,0.489,0.0,6.41
14,800205,0.212,0.071,1.571,0.0,0.035,3.355,0.388,0.018,5.65
15,800201,0.64,0.022,2.45,0.033,0.066,1.567,0.353,0.0,5.131
16,801209,2.563,0.251,8.995,0.352,1.357,3.216,1.106,0.151,17.99
17,800403,0.07,0.009,1.14,0.017,0.07,1.21,0.148,0.0,2.663
18,801803,0.369,0.028,2.285,0.014,0.085,1.433,1.306,0.0,5.521
19,800116,0.423,0.009,4.807,0.047,0.094,2.615,0.517,0.009,8.522
20,800410,0.49,0.029,3.227,0.043,0.202,2.492,0.475,0.014,6.973
21,800107,3.197,0.053,2.462,0.053,0.331,4.435,0.735,0.007,11.273
22,800108,1.611,0.0,6.673,0.152,0.076,3.466,0.517,0.0,12.494
23,800304,0.35,0.022,1.608,0.011,0.066,1.291,0.12,0.011,3.479
24,800405,0.947,0.026,1.53,0.039,0.13,1.478,0.182,0.0,4.331
25,800106,0.961,0.012,2.494,0.073,0.158,2.531,0.462,0.0,6.692
26,801801,0.55,0.038,2.394,0.013,0.102,1.37,1.152,0.0,5.62
27,800115,0.387,0.021,5.887,0.127,0.085,2.042,0.31,0.0,8.859
28,801106,0.609,0.0,1.402,0.076,0.043,1.163,0.217,0.011,3.523
29,800303,0.764,0.013,2.932,0.013,0.05,1.566,0.238,0.0,5.576
30,801214,1.564,0.026,3.312,0.07,0.316,2.697,0.483,0.018,8.486
31,800102,0.821,0.093,2.881,0.116,0.121,3.783,0.538,0.012,8.364
32,802203,0.456,0.04,4.184,0.04,0.139,2.221,0.238,0.0,7.317
33,800407,0.282,0.022,1.041,0.0,0.043,0.521,0.239,0.0,2.148
34,800118,0.52,0.014,3.162,0.049,0.035,2.079,0.416,0.006,6.281
35,800103,1.065,0.094,3.221,0.069,0.1,3.565,0.545,0.019,8.678
36,800112,1.431,0.021,5.118,0.042,0.01,1.964,0.439,0.01,9.035
37,800401,0.862,0.029,2.456,0.029,0.057,1.709,0.259,0.0,5.4
38,801102,2.257,0.071,3.756,0.141,0.141,2.204,0.423,0.0,8.993
39,802201,0.0,0.0,0.082,0.0,0.0,0.006,0.006,0.0,0.095
40,800101,0.856,0.065,2.193,0.037,0.053,3.0,0.379,0.012,6.595
41,800301,0.04,0.0,0.146,0.0,0.0,0.119,0.013,0.0,0.318
42,800416,1.341,0.027,2.914,0.082,0.027,2.942,0.493,0.0,7.826
43,800119,0.455,0.056,1.533,0.019,0.353,1.803,0.39,0.009,4.618
44,801202,0.054,0.054,3.007,0.009,0.262,1.643,0.65,0.0,5.679
45,800113,0.686,0.0,6.603,0.046,0.107,2.074,0.518,0.0,10.034
46,800114,1.095,0.04,1.733,0.0,0.319,2.529,0.518,0.0,6.234
47,801103,0.313,0.03,4.162,0.03,0.04,1.01,0.636,0.0,6.222
48,800122,0.664,0.023,2.819,0.073,0.155,1.755,0.409,0.005,5.901
49,802002,0.473,0.039,4.245,0.03,0.315,1.891,0.66,0.01,7.663
50,801210,0.247,0.101,4.953,0.022,0.303,3.126,0.661,0.0,9.413
51,802202,0.195,0.039,3.845,0.078,0.078,1.273,0.403,0.0,5.91
52,802004,0.059,0.025,2.936,0.025,0.05,1.38,0.421,0.0,4.897
53,801002,0.231,0.024,9.453,0.073,0.097,1.896,0.68,0.0,12.454
54,800305,0.389,0.019,2.071,0.019,0.156,1.303,0.379,0.0,4.337
55,802001,0.638,0.025,5.065,0.049,0.184,2.882,1.104,0.012,9.958
56,801212,2.128,0.108,6.755,0.108,1.002,3.3,1.002,0.046,14.451
57,801105,0.36,0.037,5.708,0.056,0.118,1.638,0.589,0.0,8.507
58,800302,1.151,0.0,1.473,0.0,0.085,1.371,0.085,0.0,4.164
59,801003,0.744,0.07,3.327,0.042,0.042,1.909,0.94,0.0,7.075
60,801208,0.034,0.034,1.156,0.0,0.207,1.173,0.31,0.0,2.915
61,801205,0.184,0.017,4.338,0.034,0.519,2.747,1.206,0.0,9.045
