,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,810503,32,1,307,10,9,104,38,1,502
1,810507,80,2,253,3,16,146,55,0,555
2,810604,87,1,160,5,35,175,31,2,496
3,810205,33,1,263,2,21,112,28,0,460
4,810508,48,1,214,2,18,143,36,0,462
5,810506,136,1,367,12,36,236,103,2,893
6,810501,155,6,575,10,33,439,108,2,1328
7,810509,18,2,223,1,10,85,61,0,400
8,810202,98,2,566,8,46,303,80,0,1103
9,810504,76,3,394,4,26,190,105,1,799
10,810505,64,3,366,5,26,148,35,1,648
11,810203,48,0,254,5,32,260,60,1,660
12,810204,24,1,251,3,14,165,68,0,526
13,810111,12,1,68,2,4,31,27,1,146
14,810201,49,0,186,5,13,86,30,1,370
15,810105,2,0,38,1,3,16,16,0,76
16,810103,32,8,558,7,22,341,69,2,1039
17,810206,28,0,78,1,20,96,25,0,248
18,810808,40,3,269,11,12,217,80,2,634
19,810106,21,4,153,2,19,138,58,1,396
20,810407,34,3,351,2,8,129,62,0,589
21,810406,48,3,412,3,17,134,55,2,674
22,810805,16,1,640,1,3,169,56,0,886
23,810702,16,1,51,0,8,104,21,1,202
24,810701,91,2,329,2,15,182,55,1,677
25,810117,13,2,114,5,17,154,33,0,338
26,810703,68,1,268,3,12,124,46,0,522
27,810801,134,11,825,25,31,443,130,2,1601
28,810115,16,1,171,2,10,97,41,1,339
29,810116,7,1,81,3,6,100,23,2,223
30,810118,0,1,16,0,2,16,5,0,40
31,810807,41,3,891,7,5,230,83,0,1260
32,810804,77,8,536,6,16,223,53,0,919
33,810704,25,9,473,7,32,342,76,2,966
34,810803,72,4,599,8,20,179,51,1,934
35,810402,6,0,131,3,25,112,49,1,327
36,810806,9,1,157,4,7,72,10,0,260
37,810401,25,7,758,9,21,259,110,0,1189
38,810405,16,4,291,4,24,209,118,1,667
39,810403,91,6,287,6,31,264,96,1,782
40,810304,15,1,426,7,10,98,25,1,583
41,810303,17,1,228,4,8,95,41,1,395
42,810404,92,3,643,17,9,268,77,2,1111
43,810305,15,7,251,10,7,172,31,0,493
44,810603,10,2,347,6,12,151,50,1,579
45,810601,102,5,605,8,44,378,73,4,1219
46,810602,38,2,270,1,35,139,24,0,509
