,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
0,1001,49.809999999999995,69.02,0.72,167,87,509,73,22,1543,101,25,2527,120.24,62.64,366.48,52.56,15.84,1110.96,72.72,18.0,1819.44
1,1002,53.06999999999999,49.040000000000006,1.08,104,24,292,20,10,630,77,1,1158,112.32,25.92,315.36,21.6,10.8,680.4,83.16,1.08,1250.64
2,1003,2004.3999999999999,343.33000000000004,5.84,796,47,2679,30,169,3029,675,7,7432,4648.64,274.48,15645.36,175.2,986.96,17689.36,3942.0,40.88,43402.88
3,1004,37.26,63.79,0.58,126,68,474,45,16,1070,143,14,1956,73.08,39.44,274.92,26.1,9.28,620.6,82.94,8.12,1134.48
4,1005,380.53999999999996,356.6,1.07,1541,130,4342,85,262,7664,827,28,14879,1648.87,139.1,4645.94,90.95,280.34,8200.48,884.89,29.96,15920.53
5,1006,256.2,324.0,0.79,1141,156,4418,125,180,8032,749,31,14832,901.39,123.24,3490.22,98.75,142.2,6345.28,591.71,24.49,11717.28
6,1007,74.6,111.71000000000001,0.67,129,54,454,48,18,1190,209,16,2118,86.43,36.18,304.18,32.16,12.06,797.3,140.03,10.72,1419.06
7,1008,23.25,39.87,0.58,60,46,376,46,12,916,176,5,1637,34.8,26.68,218.08,26.68,6.96,531.28,102.08,2.9,949.46
8,1010,567.66,249.76,2.27,797,70,3389,56,226,4534,652,12,9736,1809.19,158.9,7693.03,127.12,513.02,10292.18,1480.04,27.24,22100.72
9,1011,1092.46,363.09999999999997,3.01,320,39,2321,47,147,1911,825,7,5617,963.2,117.39,6986.21,141.47,442.47,5752.11,2483.25,21.07,16907.17
10,1012,116.10999999999999,103.89,1.12,244,45,723,28,34,1407,213,6,2700,273.28,50.4,809.76,31.36,38.08,1575.84,238.56,6.72,3024.0
11,1013,12.93,15.530000000000001,0.83,58,25,163,20,3,358,49,7,683,48.14,20.75,135.29,16.6,2.49,297.14,40.67,5.81,566.89
12,1014,85.59,137.12,0.62,270,50,621,38,23,1672,213,17,2904,167.4,31.0,385.02,23.56,14.26,1036.64,132.06,10.54,1800.48
13,1015,78.58,81.93,0.96,142,83,841,49,46,1652,195,10,3018,136.32,79.68,807.36,47.04,44.16,1585.92,187.2,9.6,2897.28
14,1016,58.49,37.75,1.55,59,23,272,13,22,798,54,8,1249,91.45,35.65,421.6,20.15,34.1,1236.9,83.7,12.4,1935.95
15,1017,151.56,208.48000000000002,0.73,658,72,1818,62,80,3885,549,23,7147,480.34,52.56,1327.14,45.26,58.4,2836.05,400.77,16.79,5217.31
16,1018,55.400000000000006,48.2,1.15,104,53,510,21,36,1024,130,3,1881,119.6,60.95,586.5,24.15,41.4,1177.6,149.5,3.45,2163.15
17,1019,247.6,161.54,1.53,246,32,975,26,50,1848,292,4,3473,376.38,48.96,1491.75,39.78,76.5,2827.44,446.76,6.12,5313.69
18,1020,114.47,101.98000000000002,1.12,288,33,936,38,49,2241,226,8,3819,322.56,36.96,1048.32,42.56,54.88,2509.92,253.12,8.96,4277.28
19,1021,1134.33,276.44,4.1,610,71,2568,59,144,3221,574,17,7264,2501.0,291.1,10528.8,241.9,590.4,13206.1,2353.4,69.7,29782.4
20,1022,178.14,121.18,1.47,310,85,1886,43,115,3153,362,14,5968,455.7,124.95,2772.42,63.21,169.05,4634.91,532.14,20.58,8772.96
21,1023,336.18,201.76,1.67,558,77,2731,52,278,4494,543,12,8745,931.86,128.59,4560.77,86.84,464.26,7504.98,906.81,20.04,14604.15
22,1024,114.50999999999999,78.62,1.46,229,30,905,25,52,1419,195,7,2862,334.34,43.8,1321.3,36.5,75.92,2071.74,284.7,10.22,4178.52
23,1025,109.66,113.34,0.97,232,40,823,41,70,1921,222,7,3356,225.04,38.8,798.31,39.77,67.9,1863.37,215.34,6.79,3255.32
