,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
0,810103,1447.73,140.72,10.29,32,8,558,7,22,341,69,2,1039,329.28,82.32,5741.82,72.03,226.38,3508.89,710.01,20.58,10691.31
1,810105,1081.72,40.58,26.66,2,0,38,1,3,16,16,0,76,53.32,0.0,1013.08,26.66,79.98,426.56,426.56,0.0,2026.16
2,810106,1671.57,61.19,27.32,21,4,153,2,19,138,58,1,396,573.72,109.28,4179.96,54.64,519.08,3770.16,1584.56,27.32,10818.72
3,810111,1397.45,33.8,41.34,12,1,68,2,4,31,27,1,146,496.08,41.34,2811.12,82.68,165.36,1281.54,1116.18,41.34,6035.64
4,810115,648.91,46.44,13.97,16,1,171,2,10,97,41,1,339,223.52,13.97,2388.87,27.94,139.7,1355.09,572.77,13.97,4735.83
5,810116,371.15,69.8,5.32,7,1,81,3,6,100,23,2,223,37.24,5.32,430.92,15.96,31.92,532.0,122.36,10.64,1186.36
6,810117,640.17,59.07,10.84,13,2,114,5,17,154,33,0,338,140.92,21.68,1235.76,54.2,184.28,1669.36,357.72,0.0,3663.92
7,810118,730.32,2.05,356.25,0,1,16,0,2,16,5,0,40,0.0,356.25,5700.0,0.0,712.5,5700.0,1781.25,0.0,14250.0
8,810201,1068.25,65.42,16.33,49,0,186,5,13,86,30,1,370,800.17,0.0,3037.38,81.65,212.29,1404.38,489.9,16.33,6042.1
9,810202,1122.16,75.65,14.83,98,2,566,8,46,303,80,0,1103,1453.34,29.66,8393.78,118.64,682.18,4493.49,1186.4,0.0,16357.49
10,810203,1176.76,67.47,17.44,48,0,254,5,32,260,60,1,660,837.12,0.0,4429.76,87.2,558.08,4534.4,1046.4,17.44,11510.4
11,810204,1492.23,93.79,15.91,24,1,251,3,14,165,68,0,526,381.84,15.91,3993.41,47.73,222.74,2625.15,1081.88,0.0,8368.66
12,810205,1546.19,46.79,33.05,33,1,263,2,21,112,28,0,460,1090.65,33.05,8692.15,66.1,694.05,3701.6,925.4,0.0,15203.0
13,810206,1350.01,50.6,26.68,28,0,78,1,20,96,25,0,248,747.04,0.0,2081.04,26.68,533.6,2561.28,667.0,0.0,6616.64
14,810303,900.98,79.25,11.37,17,1,228,4,8,95,41,1,395,193.29,11.37,2592.36,45.48,90.96,1080.15,466.17,11.37,4491.15
15,810304,632.8,41.85,15.12,15,1,426,7,10,98,25,1,583,226.8,15.12,6441.12,105.84,151.2,1481.76,378.0,15.12,8814.96
