,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
0,800101,78.86,82.43,0.96,370,28,948,16,23,1297,164,5,2851,355.2,26.88,910.08,15.36,22.08,1245.12,157.44,4.8,2736.96
1,800102,34.35,30.35,1.13,142,16,498,20,21,654,93,2,1446,160.46,18.08,562.74,22.6,23.73,739.02,105.09,2.26,1633.98
2,800103,20.57,29.15,0.71,170,15,514,11,16,569,87,3,1385,120.7,10.65,364.94,7.81,11.36,403.99,61.77,2.13,983.35
3,800106,444.0,56.88,7.81,79,1,205,6,13,208,38,0,550,616.99,7.81,1601.05,46.86,101.53,1624.48,296.78,0.0,4295.5
4,800107,311.29,74.74,4.16,483,8,372,8,50,670,111,1,1703,2009.28,33.28,1547.52,33.28,208.0,2787.2,461.76,4.16,7084.48
5,800108,166.28,34.16,4.87,106,0,439,10,5,228,34,0,822,516.22,0.0,2137.93,48.7,24.35,1110.36,165.58,0.0,4003.14
6,800112,278.96,40.37,6.91,137,2,490,4,1,188,42,1,865,946.67,13.82,3385.9,27.64,6.91,1299.08,290.22,6.91,5977.15
7,800113,133.83,34.02,3.93,45,0,433,3,7,136,34,0,658,176.85,0.0,1701.69,11.79,27.51,534.48,133.62,0.0,2585.94
8,800114,70.99,18.91,3.75,55,2,87,0,16,127,26,0,313,206.25,7.5,326.25,0.0,60.0,476.25,97.5,0.0,1173.75
9,800115,163.53,62.1,2.63,55,3,836,18,12,290,44,0,1258,144.65,7.89,2198.68,47.34,31.56,762.7,115.72,0.0,3308.54
10,800116,601.41,62.24,9.66,45,1,511,5,10,278,55,1,906,434.7,9.66,4936.26,48.3,96.6,2685.48,531.3,9.66,8751.96
11,800118,251.08,92.52,2.71,180,5,1095,17,12,720,144,2,2175,487.8,13.55,2967.45,46.07,32.52,1951.2,390.24,5.42,5894.25
12,800119,435.23,49.61,8.77,49,6,165,2,38,194,42,1,497,429.73,52.62,1447.05,17.54,333.26,1701.38,368.34,8.77,4358.69
13,800120,856.09,151.87,5.64,128,16,787,20,47,907,150,2,2057,721.92,90.24,4438.68,112.8,265.08,5115.48,846.0,11.28,11601.48
14,800121,421.14,60.55,6.96,153,6,346,5,50,470,100,1,1131,1064.88,41.76,2408.16,34.8,348.0,3271.2,696.0,6.96,7871.76
15,800122,813.88,123.57,6.59,146,5,620,16,34,386,90,1,1298,962.14,32.95,4085.8,105.44,224.06,2543.74,593.1,6.59,8553.82
16,800201,496.59,33.87,14.66,58,2,222,3,6,142,32,0,465,850.28,29.32,3254.52,43.98,87.96,2081.72,469.12,0.0,6816.9
17,800202,271.93,16.09,16.9,65,1,156,2,1,152,7,0,384,1098.5,16.9,2636.4,33.8,16.9,2568.8,118.3,0.0,6489.6
18,800203,151.89,29.01,5.24,10,4,46,0,2,167,22,1,252,52.4,20.96,241.04,0.0,10.48,875.08,115.28,5.24,1320.48
19,800204,1070.58,52.29,20.47,147,1,314,2,0,177,37,0,678,3009.09,20.47,6427.58,40.94,0.0,3623.19,757.39,0.0,13878.66
20,800205,259.9,35.36,7.35,12,4,89,0,2,190,22,1,320,88.2,29.4,654.15,0.0,14.7,1396.5,161.7,7.35,2352.0
21,800301,778.28,10.8,72.06,3,0,11,0,0,9,1,0,24,216.18,0.0,792.66,0.0,0.0,648.54,72.06,0.0,1729.44
22,800302,713.45,24.21,29.47,68,0,87,0,5,81,5,0,246,2003.96,0.0,2563.89,0.0,147.35,2387.07,147.35,0.0,7249.62
23,800303,319.41,23.01,13.88,61,1,234,1,4,125,19,0,445,846.68,13.88,3247.92,13.88,55.52,1735.0,263.72,0.0,6176.6
24,800304,867.87,24.49,35.44,32,2,147,1,6,118,11,1,318,1134.08,70.88,5209.68,35.44,212.64,4181.92,389.84,35.44,11269.92
25,800305,466.89,54.69,8.54,40,2,213,2,16,134,39,0,446,341.6,17.08,1819.02,17.08,136.64,1144.36,333.06,0.0,3808.84
26,800401,249.23,19.34,12.89,60,2,171,2,4,119,18,0,376,773.4,25.78,2204.19,25.78,51.56,1533.91,232.02,0.0,4846.64
27,800403,958.06,39.1,24.5,8,1,131,2,8,139,17,0,306,196.0,24.5,3209.5,49.0,196.0,3405.5,416.5,0.0,7497.0
28,800404,329.45,29.08,11.33,29,2,243,8,8,146,36,0,472,328.57,22.66,2753.19,90.64,90.64,1654.18,407.88,0.0,5347.76
29,800405,277.0,27.59,10.04,73,2,118,3,10,114,14,0,334,732.92,20.08,1184.72,30.12,100.4,1144.56,140.56,0.0,3353.36
30,800406,405.52,17.43,23.27,79,2,121,4,4,65,20,0,295,1838.33,46.54,2815.67,93.08,93.08,1512.55,465.4,0.0,6864.65
31,800407,280.68,7.69,36.5,13,1,48,0,2,24,11,0,99,474.5,36.5,1752.0,0.0,73.0,876.0,401.5,0.0,3613.5
32,800409,596.78,29.08,20.52,48,1,229,6,8,114,28,0,434,984.96,20.52,4699.08,123.12,164.16,2339.28,574.56,0.0,8905.68
33,800410,443.74,36.42,12.18,34,2,224,3,14,173,33,1,484,414.12,24.36,2728.32,36.54,170.52,2107.14,401.94,12.18,5895.12
34,800415,179.5,10.44,17.19,65,0,109,4,6,77,17,0,278,1117.35,0.0,1873.71,68.76,103.14,1323.63,292.23,0.0,4778.82
35,800416,235.53,32.67,7.21,98,2,213,6,2,215,36,0,572,706.58,14.42,1535.73,43.26,14.42,1550.15,259.56,0.0,4124.12
36,800501,451.83,12.49,36.18,35,0,107,2,0,72,8,0,224,1266.3,0.0,3871.26,72.36,0.0,2604.96,289.44,0.0,8104.32
37,800502,1094.61,32.6,33.58,26,11,238,4,10,160,32,2,483,873.08,369.38,7992.04,134.32,335.8,5372.8,1074.56,67.16,16219.14
