,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
0,100101,14.11,16.16,0.87,46,7,44,11,2,145,14,12,281,40.02,6.09,38.28,9.57,1.74,126.15,12.18,10.44,244.47
1,100102,6.62,9.67,0.68,12,8,62,2,3,163,11,4,265,8.16,5.44,42.16,1.36,2.04,110.84,7.48,2.72,180.2
2,100103,1.97,3.32,0.59,12,6,28,3,2,93,5,0,149,7.08,3.54,16.52,1.77,1.18,54.87,2.95,0.0,87.91
3,100104,2.15,3.11,0.69,12,4,29,3,1,78,5,0,132,8.28,2.76,20.01,2.07,0.69,53.82,3.45,0.0,91.08
4,100105,1.39,3.46,0.4,11,11,61,11,2,156,14,2,268,4.4,4.4,24.4,4.4,0.8,62.4,5.6,0.8,107.2
5,100106,1.43,1.83,0.78,5,3,17,9,0,54,1,0,89,3.9,2.34,13.26,7.02,0.0,42.12,0.78,0.0,69.42
6,100107,4.55,7.41,0.61,19,11,51,11,4,215,10,5,326,11.59,6.71,31.11,6.71,2.44,131.15,6.1,3.05,198.86
7,100108,1.75,2.68,0.65,3,3,18,8,1,47,0,0,80,1.95,1.95,11.7,5.2,0.65,30.55,0.0,0.0,52.0
8,100109,3.15,3.81,0.83,4,2,25,1,2,60,7,0,101,3.32,1.66,20.75,0.83,1.66,49.8,5.81,0.0,83.83
9,100110,3.82,7.13,0.54,20,18,88,9,4,255,14,2,410,10.8,9.72,47.52,4.86,2.16,137.7,7.56,1.08,221.4
10,100111,4.18,5.36,0.78,14,7,38,3,1,122,10,0,195,10.92,5.46,29.64,2.34,0.78,95.16,7.8,0.0,152.1
11,100112,4.69,5.08,0.92,9,7,48,2,0,155,10,0,231,8.28,6.44,44.16,1.84,0.0,142.6,9.2,0.0,212.52
12,100201,21.97,20.11,1.09,44,7,80,4,6,195,24,1,361,47.96,7.63,87.2,4.36,6.54,212.55,26.16,1.09,393.49
13,100202,10.33,7.83,1.32,30,7,89,7,1,166,25,0,325,39.6,9.24,117.48,9.24,1.32,219.12,33.0,0.0,429.0
14,100203,17.47,16.51,1.06,21,5,62,4,2,216,19,0,329,22.26,5.3,65.72,4.24,2.12,228.96,20.14,0.0,348.74
15,100204,3.3,4.59,0.72,9,5,61,5,1,53,9,0,143,6.48,3.6,43.92,3.6,0.72,38.16,6.48,0.0,102.96
16,100301,371.49,70.22,5.29,167,8,668,9,27,753,186,2,1820,883.43,42.32,3533.72,47.61,142.83,3983.37,983.94,10.58,9627.8
17,100302,284.26,50.81,5.59,115,2,215,0,14,170,64,0,580,642.85,11.18,1201.85,0.0,78.26,950.3,357.76,0.0,3242.2
18,100303,286.75,36.91,7.77,65,3,160,2,19,134,18,0,401,505.05,23.31,1243.2,15.54,147.63,1041.18,139.86,0.0,3115.77
19,100304,383.87,63.44,6.05,131,5,488,4,31,451,72,1,1183,792.55,30.25,2952.4,24.2,187.55,2728.55,435.6,6.05,7157.15
20,100305,203.27,50.95,3.99,195,17,837,11,50,1079,215,2,2406,778.05,67.83,3339.63,43.89,199.5,4305.21,857.85,7.98,9599.94
