,addrcode,land_area,image_area,area/image,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,bin_ai,bowl_ai,bucket_ai,misc_short_ai,jar_ai,pottedplant_ai,tire_ai,misc_tall_ai,total_ai
0,8001,5081.49,1003.47,5.06,2343,114,8346,161,355,7322,1254,20,19915,11855.58,576.84,42230.76,814.66,1796.3,37049.32,6345.24,101.2,100769.9
1,8002,2250.89,166.62,13.51,292,12,827,7,11,828,120,2,2099,3944.92,162.12,11172.77,94.57,148.61,11186.28,1621.2,27.02,28357.49
2,8003,3145.9,137.2,22.93,204,5,692,4,31,467,75,1,1479,4677.72,114.65,15867.56,91.72,710.83,10708.31,1719.75,22.93,33913.47
3,8004,3955.4900000000002,248.84000000000003,15.9,507,15,1607,38,66,1186,230,1,3650,8061.3,238.5,25551.3,604.2,1049.4,18857.4,3657.0,15.9,58035.0
4,8005,4510.63,106.77,42.25,116,13,929,14,32,591,110,7,1812,4901.0,549.25,39250.25,591.5,1352.0,24969.75,4647.5,295.75,76557.0
5,8006,2934.4700000000003,295.78000000000003,9.92,233,9,888,15,106,778,245,2,2276,2311.36,89.28,8808.96,148.8,1051.52,7717.76,2430.4,19.84,22577.92
6,8007,6842.710000000001,477.06,14.34,399,47,2760,43,86,1461,533,6,5335,5721.66,673.98,39578.4,616.62,1233.24,20950.74,7643.22,86.04,76503.9
7,8008,3816.25,487.94000000000005,7.82,468,22,1845,27,56,1502,422,5,4347,3659.76,172.04,14427.9,211.14,437.92,11745.64,3300.04,39.1,33993.54
8,8009,8299.710000000001,595.21,13.94,938,43,3601,58,89,2533,872,4,8138,13075.72,599.42,50197.94,808.52,1240.66,35310.02,12155.68,55.76,113443.72
9,8010,1896.13,137.05,13.84,191,7,1164,12,19,422,171,0,1986,2643.44,96.88,16109.76,166.08,262.96,5840.48,2366.64,0.0,27486.24
10,8011,5482.73,429.78,12.76,397,24,3810,50,78,1127,294,1,5781,5065.72,306.24,48615.6,638.0,995.28,14380.52,3751.44,12.76,73765.56
11,8012,4841.2699999999995,660.3400000000001,7.33,454,49,3003,41,412,2015,564,8,6546,3327.82,359.17,22011.99,300.53,3019.96,14769.95,4134.12,58.64,47982.18
12,8013,2925.2299999999996,195.64,14.95,154,11,418,5,54,658,199,2,1501,2302.3,164.45,6249.1,74.75,807.3,9837.1,2975.05,29.9,22439.95
13,8014,6283.53,458.43,13.71,703,13,861,14,89,1035,334,3,3052,9638.13,178.23,11804.31,191.94,1220.19,14189.85,4579.14,41.13,41842.92
14,8015,2298.16,212.28,10.83,172,9,1313,8,55,636,170,1,2364,1862.76,97.47,14219.79,86.64,595.65,6887.88,1841.1,10.83,25602.12
15,8016,3986.84,398.75,10.0,124,18,1387,23,126,947,254,2,2881,1240.0,180.0,13870.0,230.0,1260.0,9470.0,2540.0,20.0,28810.0
16,8017,4283.66,267.47,16.02,63,3,730,11,136,684,243,5,1875,1009.26,48.06,11694.6,176.22,2178.72,10957.68,3892.86,80.1,30037.5
17,8018,1610.98,91.32,17.64,72,6,366,2,18,234,191,0,889,1270.08,105.84,6456.24,35.28,317.52,4127.76,3369.24,0.0,15681.96
18,8019,2102.26,145.29,14.47,268,12,834,17,24,659,417,0,2231,3877.96,173.64,12067.98,245.99,347.28,9535.73,6033.99,0.0,32282.57
19,8020,1359.5900000000001,269.59000000000003,5.04,209,10,1388,17,85,870,298,3,2880,1053.36,50.4,6995.52,85.68,428.4,4384.8,1501.92,15.12,14515.2
20,8021,6594.599999999999,168.11,39.23,245,18,427,7,28,445,122,1,1293,9611.35,706.14,16751.21,274.61,1098.44,17457.35,4786.06,39.23,50724.39
21,8022,2489.54,98.1,25.38,38,5,520,8,13,211,44,0,839,964.44,126.9,13197.6,203.04,329.94,5355.18,1116.72,0.0,21293.82
22,8023,1650.05,189.76999999999998,8.69,50,11,480,8,94,532,263,2,1440,434.5,95.59,4171.2,69.52,816.86,4623.08,2285.47,17.38,12513.6
