,addrcode,DF_0,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,800101,112.41672834937084,43232,0.977,0.07400000000000001,2.504,0.042,0.061,3.426,0.433,0.013000000000000001,7.53,1.913,0.145,4.902,0.083,0.11900000000000001,6.706,0.848,0.026000000000000002,14.741,1.103,0.083,2.826,0.048,0.069,3.867,0.489,0.015,8.5,0.517,0.039,1.325,0.022000000000000002,0.032,1.8130000000000002,0.22899999999999998,0.006999999999999999,3.986,0.648,0.049,1.66,0.027999999999999997,0.04,2.271,0.287,0.009000000000000001,4.993,0.643,0.049,1.6480000000000001,0.027999999999999997,0.04,2.254,0.285,0.009000000000000001,4.956,0.413,0.031,1.058,0.018000000000000002,0.026000000000000002,1.4480000000000002,0.183,0.006,3.1830000000000003,0.562,0.043,1.44,0.024,0.035,1.97,0.249,0.008,4.33,0.086,0.006,0.21899999999999997,0.004,0.005,0.3,0.038,0.001,0.659
1,800102,93.12818139750117,17288,0.8859999999999999,0.1,3.1069999999999998,0.125,0.131,4.08,0.58,0.012,9.021,1.828,0.20600000000000002,6.409,0.257,0.27,8.417,1.197,0.026000000000000002,18.61,1.0270000000000001,0.11599999999999999,3.603,0.145,0.152,4.732,0.6729999999999999,0.013999999999999999,10.463,0.506,0.057,1.775,0.071,0.075,2.332,0.332,0.006999999999999999,5.155,0.5710000000000001,0.064,2.003,0.08,0.084,2.6310000000000002,0.374,0.008,5.817,0.602,0.068,2.113,0.085,0.08900000000000001,2.775,0.395,0.008,6.135,0.419,0.047,1.47,0.059000000000000004,0.062,1.93,0.27399999999999997,0.006,4.268,0.57,0.064,2.0,0.08,0.084,2.627,0.373,0.008,5.807,0.08199999999999999,0.009000000000000001,0.28800000000000003,0.012,0.012,0.37799999999999995,0.054000000000000006,0.001,0.836
2,800103,94.61152882205513,15960,1.317,0.11599999999999999,3.9810000000000003,0.085,0.124,4.407,0.674,0.023,10.728,2.755,0.243,8.331,0.17800000000000002,0.259,9.222000000000001,1.41,0.049,22.447,1.494,0.132,4.5169999999999995,0.09699999999999999,0.141,5.0,0.764,0.026000000000000002,12.17,0.6809999999999999,0.06,2.0580000000000003,0.044000000000000004,0.064,2.278,0.348,0.012,5.544,0.772,0.068,2.335,0.05,0.073,2.585,0.395,0.013999999999999999,6.292999999999999,0.784,0.069,2.372,0.051,0.07400000000000001,2.6260000000000003,0.401,0.013999999999999999,6.391,0.501,0.044000000000000004,1.515,0.032,0.047,1.6769999999999998,0.256,0.009000000000000001,4.083,0.64,0.055999999999999994,1.935,0.040999999999999995,0.06,2.142,0.32799999999999996,0.011000000000000001,5.215,0.107,0.009000000000000001,0.322,0.006999999999999999,0.01,0.35700000000000004,0.055,0.002,0.868
3,800106,60.83465141744738,8219,1.208,0.015,3.135,0.092,0.19899999999999998,3.18,0.581,0.0,8.41,2.792,0.035,7.244,0.212,0.45899999999999996,7.35,1.3430000000000002,0.0,19.435,1.7169999999999999,0.022000000000000002,4.457,0.13,0.28300000000000003,4.522,0.826,0.0,11.957,0.7120000000000001,0.009000000000000001,1.847,0.054000000000000006,0.11699999999999999,1.874,0.342,0.0,4.955,0.635,0.008,1.6480000000000001,0.048,0.105,1.672,0.305,0.0,4.421,0.57,0.006999999999999999,1.4780000000000002,0.043,0.094,1.5,0.27399999999999997,0.0,3.965,0.449,0.006,1.1640000000000001,0.034,0.07400000000000001,1.181,0.21600000000000003,0.0,3.123,0.598,0.008,1.5530000000000002,0.045,0.098,1.5759999999999998,0.28800000000000003,0.0,4.167,0.096,0.001,0.249,0.006999999999999999,0.016,0.253,0.046,0.0,0.669
4,800107,87.37671278215397,15107,3.861,0.064,2.9739999999999998,0.064,0.4,5.356,0.887,0.008,13.613,8.994,0.149,6.9270000000000005,0.149,0.9309999999999999,12.477,2.0669999999999997,0.019,31.713,5.5520000000000005,0.092,4.276,0.092,0.575,7.7010000000000005,1.276,0.011000000000000001,19.575,2.301,0.038,1.7719999999999998,0.038,0.23800000000000002,3.1919999999999997,0.529,0.005,8.113,1.985,0.033,1.5290000000000001,0.033,0.20600000000000002,2.7539999999999996,0.456,0.004,7.0,1.9169999999999998,0.032,1.4769999999999999,0.032,0.198,2.66,0.441,0.004,6.761,1.436,0.024,1.1059999999999999,0.024,0.149,1.992,0.33,0.003,5.062,2.375,0.039,1.829,0.039,0.24600000000000002,3.2939999999999996,0.546,0.005,8.373,0.32,0.005,0.24600000000000002,0.005,0.033,0.444,0.073,0.001,1.127
5,800108,97.27922176622586,6579,1.8430000000000002,0.0,7.635,0.174,0.087,3.965,0.591,0.0,14.296,4.492,0.0,18.602,0.424,0.212,9.661,1.4409999999999998,0.0,34.830999999999996,2.657,0.0,11.003,0.251,0.125,5.7139999999999995,0.852,0.0,20.601999999999997,1.082,0.0,4.48,0.102,0.051,2.327,0.34700000000000003,0.0,8.388,1.054,0.0,4.364,0.099,0.05,2.266,0.33799999999999997,0.0,8.171,0.983,0.0,4.072,0.09300000000000001,0.046,2.115,0.315,0.0,7.625,0.762,0.0,3.156,0.07200000000000001,0.036000000000000004,1.639,0.244,0.0,5.909,1.16,0.0,4.803,0.109,0.055,2.495,0.37200000000000005,0.0,8.993,0.161,0.0,0.667,0.015,0.008,0.34700000000000003,0.052000000000000005,0.0,1.249
6,800112,69.98119908084395,9574,2.003,0.028999999999999998,7.164,0.057999999999999996,0.015,2.7489999999999997,0.614,0.015,12.645999999999999,4.507,0.066,16.118,0.132,0.033,6.184,1.382,0.033,28.454,2.4330000000000003,0.036000000000000004,8.703,0.071,0.018000000000000002,3.339,0.746,0.018000000000000002,15.364,1.149,0.017,4.111000000000001,0.034,0.008,1.577,0.35200000000000004,0.008,7.257000000000001,1.063,0.016,3.801,0.031,0.008,1.4580000000000002,0.326,0.008,6.711,0.8590000000000001,0.013000000000000001,3.074,0.025,0.006,1.179,0.263,0.006,5.4270000000000005,0.62,0.009000000000000001,2.2159999999999997,0.018000000000000002,0.005,0.85,0.19,0.005,3.912,0.789,0.012,2.821,0.023,0.006,1.082,0.242,0.006,4.98,0.14300000000000002,0.002,0.512,0.004,0.001,0.196,0.044000000000000004,0.001,0.903
7,800113,67.09362610551997,6558,0.888,0.0,8.54,0.059000000000000004,0.138,2.682,0.6709999999999999,0.0,12.978,2.25,0.0,21.65,0.15,0.35,6.8,1.7,0.0,32.9,1.247,0.0,11.994000000000002,0.083,0.19399999999999998,3.767,0.9420000000000001,0.0,18.227,0.462,0.0,4.446000000000001,0.031,0.07200000000000001,1.396,0.349,0.0,6.756,0.45899999999999996,0.0,4.414,0.031,0.071,1.386,0.34700000000000003,0.0,6.707000000000001,0.441,0.0,4.245,0.028999999999999998,0.069,1.3330000000000002,0.33299999999999996,0.0,6.4510000000000005,0.299,0.0,2.8810000000000002,0.02,0.047,0.905,0.226,0.0,4.378,0.445,0.0,4.279,0.03,0.069,1.344,0.336,0.0,6.502000000000001,0.069,0.0,0.66,0.005,0.011000000000000001,0.207,0.052000000000000005,0.0,1.003
8,800114,75.68213503286198,5021,1.482,0.054000000000000006,2.345,0.0,0.431,3.423,0.701,0.0,8.437000000000001,3.1430000000000002,0.114,4.971,0.0,0.914,7.257000000000001,1.486,0.0,17.886,1.858,0.068,2.9389999999999996,0.0,0.541,4.291,0.878,0.0,10.574000000000002,0.84,0.031,1.328,0.0,0.244,1.939,0.397,0.0,4.779,0.743,0.027000000000000003,1.176,0.0,0.21600000000000003,1.716,0.35100000000000003,0.0,4.23,0.637,0.023,1.0070000000000001,0.0,0.185,1.47,0.301,0.0,3.623,0.48100000000000004,0.017,0.76,0.0,0.14,1.11,0.22699999999999998,0.0,2.736,0.7090000000000001,0.026000000000000002,1.121,0.0,0.20600000000000002,1.6369999999999998,0.335,0.0,4.034,0.11,0.004,0.17300000000000001,0.0,0.032,0.253,0.052000000000000005,0.0,0.623
9,800115,128.86416449545808,14201,0.368,0.02,5.587999999999999,0.12,0.08,1.939,0.294,0.0,8.408999999999999,0.884,0.048,13.440999999999999,0.289,0.193,4.662,0.7070000000000001,0.0,20.225,0.5660000000000001,0.031,8.601,0.185,0.12300000000000001,2.984,0.45299999999999996,0.0,12.942,0.23399999999999999,0.013000000000000001,3.5639999999999996,0.077,0.051,1.236,0.188,0.0,5.362,0.231,0.013000000000000001,3.505,0.075,0.05,1.216,0.184,0.0,5.275,0.248,0.013999999999999999,3.767,0.081,0.054000000000000006,1.307,0.198,0.0,5.669,0.215,0.012,3.263,0.07,0.047,1.1320000000000001,0.172,0.0,4.91,0.344,0.019,5.228,0.113,0.075,1.814,0.275,0.0,7.867000000000001,0.039,0.002,0.589,0.013000000000000001,0.008,0.204,0.031,0.0,0.8859999999999999
