,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,100508,838,44,2069,47,125,3744,447,15,7329,6486,3085,5221,11933,12324,18041,25030,12338,94458,1.292,0.068,3.19,0.072,0.193,5.772,0.689,0.023,11.3,2.716,0.143,6.707,0.152,0.405,12.136,1.449,0.049,23.757,1.605,0.084,3.963,0.09,0.239,7.171,0.856,0.029,14.038,0.702,0.037,1.734,0.039,0.105,3.138,0.375,0.013,6.142,0.68,0.036,1.679,0.038,0.101,3.038,0.363,0.012,5.947,0.464,0.024,1.147,0.026,0.069,2.075,0.248,0.008,4.062,0.335,0.018,0.827,0.019,0.05,1.496,0.179,0.006,2.928,0.679,0.036,1.677,0.038,0.101,3.035,0.362,0.012,5.94,0.089,0.005,0.219,0.005,0.013,0.396,0.047,0.002,0.776
1,104605,82,6,314,4,43,301,63,0,813,1597,687,1222,2657,2382,2571,3574,1665,16355,0.513,0.038,1.966,0.025,0.269,1.885,0.394,0.0,5.091,1.194,0.087,4.571,0.058,0.626,4.381,0.917,0.0,11.834,0.671,0.049,2.57,0.033,0.352,2.463,0.516,0.0,6.653,0.309,0.023,1.182,0.015,0.162,1.133,0.237,0.0,3.06,0.344,0.025,1.318,0.017,0.181,1.264,0.264,0.0,3.413,0.319,0.023,1.221,0.016,0.167,1.171,0.245,0.0,3.162,0.229,0.017,0.879,0.011,0.12,0.842,0.176,0.0,2.275,0.492,0.036,1.886,0.024,0.258,1.808,0.378,0.0,4.883,0.05,0.004,0.192,0.002,0.026,0.184,0.039,0.0,0.497
2,104604,44,7,235,2,6,267,51,0,612,949,436,747,1705,1757,1985,3064,1163,11806,0.464,0.074,2.476,0.021,0.063,2.813,0.537,0.0,6.449,1.009,0.161,5.39,0.046,0.138,6.124,1.17,0.0,14.037,0.589,0.094,3.146,0.027,0.08,3.574,0.683,0.0,8.193,0.258,0.041,1.378,0.012,0.035,1.566,0.299,0.0,3.589,0.25,0.04,1.338,0.011,0.034,1.52,0.29,0.0,3.483,0.222,0.035,1.184,0.01,0.03,1.345,0.257,0.0,3.083,0.144,0.023,0.767,0.007,0.02,0.871,0.166,0.0,1.997,0.378,0.06,2.021,0.017,0.052,2.296,0.439,0.0,5.262,0.037,0.006,0.199,0.002,0.005,0.226,0.043,0.0,0.518
3,103704,63,25,189,19,6,347,80,4,733,975,487,857,2043,2114,2614,3807,3271,16168,0.646,0.256,1.938,0.195,0.062,3.559,0.821,0.041,7.518,1.294,0.513,3.881,0.39,0.123,7.125,1.643,0.082,15.051,0.735,0.292,2.205,0.222,0.07,4.049,0.933,0.047,8.553,0.308,0.122,0.925,0.093,0.029,1.698,0.392,0.02,3.588,0.298,0.118,0.894,0.09,0.028,1.641,0.378,0.019,3.467,0.241,0.096,0.723,0.073,0.023,1.327,0.306,0.015,2.804,0.165,0.066,0.496,0.05,0.016,0.911,0.21,0.011,1.925,0.193,0.076,0.578,0.058,0.018,1.061,0.245,0.012,2.241,0.039,0.015,0.117,0.012,0.004,0.215,0.049,0.002,0.453
4,100108,3,3,18,8,1,47,0,0,80,89,72,161,337,319,350,650,518,2496,0.337,0.337,2.022,0.899,0.112,5.281,0.0,0.0,8.989,0.417,0.417,2.5,1.111,0.139,6.528,0.0,0.0,11.111,0.186,0.186,1.118,0.497,0.062,2.919,0.0,0.0,4.969,0.089,0.089,0.534,0.237,0.03,1.395,0.0,0.0,2.374,0.094,0.094,0.564,0.251,0.031,1.473,0.0,0.0,2.508,0.086,0.086,0.514,0.229,0.029,1.343,0.0,0.0,2.286,0.046,0.046,0.277,0.123,0.015,0.723,0.0,0.0,1.231,0.058,0.058,0.347,0.154,0.019,0.907,0.0,0.0,1.544,0.012,0.012,0.072,0.032,0.004,0.188,0.0,0.0,0.321
5,102005,57,10,188,14,5,359,48,3,684,1486,751,1457,4292,4214,4383,8077,6760,31420,0.384,0.067,1.265,0.094,0.034,2.416,0.323,0.02,4.603,0.759,0.133,2.503,0.186,0.067,4.78,0.639,0.04,9.108,0.391,0.069,1.29,0.096,0.034,2.464,0.329,0.021,4.695,0.133,0.023,0.438,0.033,0.012,0.836,0.112,0.007,1.594,0.135,0.024,0.446,0.033,0.012,0.852,0.114,0.007,1.623,0.13,0.023,0.429,0.032,0.011,0.819,0.11,0.007,1.561,0.071,0.012,0.233,0.017,0.006,0.444,0.059,0.004,0.847,0.084,0.015,0.278,0.021,0.007,0.531,0.071,0.004,1.012,0.018,0.003,0.06,0.004,0.002,0.114,0.015,0.001,0.218
6,100101,46,7,44,11,2,145,14,12,281,129,84,131,680,441,474,895,881,3715,3.566,0.543,3.411,0.853,0.155,11.24,1.085,0.93,21.783,5.476,0.833,5.238,1.31,0.238,17.262,1.667,1.429,33.452,3.511,0.534,3.359,0.84,0.153,11.069,1.069,0.916,21.45,0.676,0.103,0.647,0.162,0.029,2.132,0.206,0.176,4.132,1.043,0.159,0.998,0.249,0.045,3.288,0.317,0.272,6.372,0.97,0.148,0.928,0.232,0.042,3.059,0.295,0.253,5.928,0.514,0.078,0.492,0.123,0.022,1.62,0.156,0.134,3.14,0.522,0.079,0.499,0.125,0.023,1.646,0.159,0.136,3.19,0.124,0.019,0.118,0.03,0.005,0.39,0.038,0.032,0.756
7,103701,24,18,94,9,2,223,34,6,410,1101,590,1135,5058,3129,2761,5292,2709,21775,0.218,0.163,0.854,0.082,0.018,2.025,0.309,0.054,3.724,0.407,0.305,1.593,0.153,0.034,3.78,0.576,0.102,6.949,0.211,0.159,0.828,0.079,0.018,1.965,0.3,0.053,3.612,0.047,0.036,0.186,0.018,0.004,0.441,0.067,0.012,0.811,0.077,0.058,0.3,0.029,0.006,0.713,0.109,0.019,1.31,0.087,0.065,0.34,0.033,0.007,0.808,0.123,0.022,1.485,0.045,0.034,0.178,0.017,0.004,0.421,0.064,0.011,0.775,0.089,0.066,0.347,0.033,0.007,0.823,0.126,0.022,1.513,0.011,0.008,0.043,0.004,0.001,0.102,0.016,0.003,0.188
8,100112,9,7,48,2,0,155,10,0,231,130,70,108,330,341,439,687,779,2884,0.692,0.538,3.692,0.154,0.0,11.923,0.769,0.0,17.769,1.286,1.0,6.857,0.286,0.0,22.143,1.429,0.0,33.0,0.833,0.648,4.444,0.185,0.0,14.352,0.926,0.0,21.389,0.273,0.212,1.455,0.061,0.0,4.697,0.303,0.0,7.0,0.264,0.205,1.408,0.059,0.0,4.545,0.293,0.0,6.774,0.205,0.159,1.093,0.046,0.0,3.531,0.228,0.0,5.262,0.131,0.102,0.699,0.029,0.0,2.256,0.146,0.0,3.362,0.116,0.09,0.616,0.026,0.0,1.99,0.128,0.0,2.965,0.031,0.024,0.166,0.007,0.0,0.537,0.035,0.0,0.801
9,100110,20,18,88,9,4,255,14,2,410,255,196,517,881,839,958,1660,1505,6811,0.784,0.706,3.451,0.353,0.157,10.0,0.549,0.078,16.078,1.02,0.918,4.49,0.459,0.204,13.01,0.714,0.102,20.918,0.387,0.348,1.702,0.174,0.077,4.932,0.271,0.039,7.93,0.227,0.204,0.999,0.102,0.045,2.894,0.159,0.023,4.654,0.238,0.215,1.049,0.107,0.048,3.039,0.167,0.024,4.887,0.209,0.188,0.919,0.094,0.042,2.662,0.146,0.021,4.28,0.12,0.108,0.53,0.054,0.024,1.536,0.084,0.012,2.47,0.133,0.12,0.585,0.06,0.027,1.694,0.093,0.013,2.724,0.029,0.026,0.129,0.013,0.006,0.374,0.021,0.003,0.602
