,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,810503,32,1,307,10,9,104,38,1,502,414,190,290,687,733,809,1110,710,4943,0.773,0.024,7.415,0.242,0.217,2.512,0.918,0.024,12.126,1.684,0.053,16.158,0.526,0.474,5.474,2.0,0.053,26.421,1.103,0.034,10.586,0.345,0.31,3.586,1.31,0.034,17.31,0.466,0.015,4.469,0.146,0.131,1.514,0.553,0.015,7.307,0.437,0.014,4.188,0.136,0.123,1.419,0.518,0.014,6.849,0.396,0.012,3.795,0.124,0.111,1.286,0.47,0.012,6.205,0.288,0.009,2.766,0.09,0.081,0.937,0.342,0.009,4.523,0.451,0.014,4.324,0.141,0.127,1.465,0.535,0.014,7.07,0.065,0.002,0.621,0.02,0.018,0.21,0.077,0.002,1.016
1,810507,80,2,253,3,16,146,55,0,555,422,170,288,606,670,679,960,549,4344,1.896,0.047,5.995,0.071,0.379,3.46,1.303,0.0,13.152,4.706,0.118,14.882,0.176,0.941,8.588,3.235,0.0,32.647,2.778,0.069,8.785,0.104,0.556,5.069,1.91,0.0,19.271,1.32,0.033,4.175,0.05,0.264,2.409,0.908,0.0,9.158,1.194,0.03,3.776,0.045,0.239,2.179,0.821,0.0,8.284,1.178,0.029,3.726,0.044,0.236,2.15,0.81,0.0,8.174,0.833,0.021,2.635,0.031,0.167,1.521,0.573,0.0,5.781,1.457,0.036,4.608,0.055,0.291,2.659,1.002,0.0,10.109,0.184,0.005,0.582,0.007,0.037,0.336,0.127,0.0,1.278
2,810604,87,1,160,5,35,175,31,2,496,552,245,367,809,1021,1001,1189,688,5872,1.576,0.018,2.899,0.091,0.634,3.17,0.562,0.036,8.986,3.551,0.041,6.531,0.204,1.429,7.143,1.265,0.082,20.245,2.371,0.027,4.36,0.136,0.954,4.768,0.845,0.054,13.515,1.075,0.012,1.978,0.062,0.433,2.163,0.383,0.025,6.131,0.852,0.01,1.567,0.049,0.343,1.714,0.304,0.02,4.858,0.869,0.01,1.598,0.05,0.35,1.748,0.31,0.02,4.955,0.732,0.008,1.346,0.042,0.294,1.472,0.261,0.017,4.172,1.265,0.015,2.326,0.073,0.509,2.544,0.451,0.029,7.209,0.148,0.002,0.272,0.009,0.06,0.298,0.053,0.003,0.845
3,810205,33,1,263,2,21,112,28,0,460,1098,489,741,1591,1542,1472,1628,825,9386,0.301,0.009,2.395,0.018,0.191,1.02,0.255,0.0,4.189,0.675,0.02,5.378,0.041,0.429,2.29,0.573,0.0,9.407,0.445,0.013,3.549,0.027,0.283,1.511,0.378,0.0,6.208,0.207,0.006,1.653,0.013,0.132,0.704,0.176,0.0,2.891,0.214,0.006,1.706,0.013,0.136,0.726,0.182,0.0,2.983,0.224,0.007,1.787,0.014,0.143,0.761,0.19,0.0,3.125,0.203,0.006,1.615,0.012,0.129,0.688,0.172,0.0,2.826,0.4,0.012,3.188,0.024,0.255,1.358,0.339,0.0,5.576,0.035,0.001,0.28,0.002,0.022,0.119,0.03,0.0,0.49
4,810508,48,1,214,2,18,143,36,0,462,413,203,285,547,666,653,696,443,3906,1.162,0.024,5.182,0.048,0.436,3.462,0.872,0.0,11.186,2.365,0.049,10.542,0.099,0.887,7.044,1.773,0.0,22.759,1.684,0.035,7.509,0.07,0.632,5.018,1.263,0.0,16.211,0.878,0.018,3.912,0.037,0.329,2.614,0.658,0.0,8.446,0.721,0.015,3.213,0.03,0.27,2.147,0.541,0.0,6.937,0.735,0.015,3.277,0.031,0.276,2.19,0.551,0.0,7.075,0.69,0.014,3.075,0.029,0.259,2.055,0.517,0.0,6.638,1.084,0.023,4.831,0.045,0.406,3.228,0.813,0.0,10.429,0.123,0.003,0.548,0.005,0.046,0.366,0.092,0.0,1.183
5,810506,136,1,367,12,36,236,103,2,893,632,320,491,1193,1165,1238,1539,872,7450,2.152,0.016,5.807,0.19,0.57,3.734,1.63,0.032,14.13,4.25,0.031,11.469,0.375,1.125,7.375,3.219,0.062,27.906,2.77,0.02,7.475,0.244,0.733,4.807,2.098,0.041,18.187,1.14,0.008,3.076,0.101,0.302,1.978,0.863,0.017,7.485,1.167,0.009,3.15,0.103,0.309,2.026,0.884,0.017,7.665,1.099,0.008,2.964,0.097,0.291,1.906,0.832,0.016,7.213,0.884,0.006,2.385,0.078,0.234,1.533,0.669,0.013,5.802,1.56,0.011,4.209,0.138,0.413,2.706,1.181,0.023,10.241,0.183,0.001,0.493,0.016,0.048,0.317,0.138,0.003,1.199
6,810501,155,6,575,10,33,439,108,2,1328,891,407,743,1461,1464,1627,2205,1257,10055,1.74,0.067,6.453,0.112,0.37,4.927,1.212,0.022,14.905,3.808,0.147,14.128,0.246,0.811,10.786,2.654,0.049,32.629,2.086,0.081,7.739,0.135,0.444,5.908,1.454,0.027,17.873,1.061,0.041,3.936,0.068,0.226,3.005,0.739,0.014,9.09,1.059,0.041,3.928,0.068,0.225,2.999,0.738,0.014,9.071,0.953,0.037,3.534,0.061,0.203,2.698,0.664,0.012,8.162,0.703,0.027,2.608,0.045,0.15,1.991,0.49,0.009,6.023,1.233,0.048,4.574,0.08,0.263,3.492,0.859,0.016,10.565,0.154,0.006,0.572,0.01,0.033,0.437,0.107,0.002,1.321
7,810509,18,2,223,1,10,85,61,0,400,605,279,401,799,851,741,895,467,5038,0.298,0.033,3.686,0.017,0.165,1.405,1.008,0.0,6.612,0.645,0.072,7.993,0.036,0.358,3.047,2.186,0.0,14.337,0.449,0.05,5.561,0.025,0.249,2.12,1.521,0.0,9.975,0.225,0.025,2.791,0.013,0.125,1.064,0.763,0.0,5.006,0.212,0.024,2.62,0.012,0.118,0.999,0.717,0.0,4.7,0.243,0.027,3.009,0.013,0.135,1.147,0.823,0.0,5.398,0.201,0.022,2.492,0.011,0.112,0.95,0.682,0.0,4.469,0.385,0.043,4.775,0.021,0.214,1.82,1.306,0.0,8.565,0.036,0.004,0.443,0.002,0.02,0.169,0.121,0.0,0.794
8,810202,98,2,566,8,46,303,80,0,1103,874,454,632,1314,1465,1459,1684,865,8747,1.121,0.023,6.476,0.092,0.526,3.467,0.915,0.0,12.62,2.159,0.044,12.467,0.176,1.013,6.674,1.762,0.0,24.295,1.551,0.032,8.956,0.127,0.728,4.794,1.266,0.0,17.453,0.746,0.015,4.307,0.061,0.35,2.306,0.609,0.0,8.394,0.669,0.014,3.863,0.055,0.314,2.068,0.546,0.0,7.529,0.672,0.014,3.879,0.055,0.315,2.077,0.548,0.0,7.56,0.582,0.012,3.361,0.048,0.273,1.799,0.475,0.0,6.55,1.133,0.023,6.543,0.092,0.532,3.503,0.925,0.0,12.751,0.112,0.002,0.647,0.009,0.053,0.346,0.091,0.0,1.261
9,810504,76,3,394,4,26,190,105,1,799,887,415,581,1015,1169,1061,1178,651,6957,0.857,0.034,4.442,0.045,0.293,2.142,1.184,0.011,9.008,1.831,0.072,9.494,0.096,0.627,4.578,2.53,0.024,19.253,1.308,0.052,6.781,0.069,0.448,3.27,1.807,0.017,13.752,0.749,0.03,3.882,0.039,0.256,1.872,1.034,0.01,7.872,0.65,0.026,3.37,0.034,0.222,1.625,0.898,0.009,6.835,0.716,0.028,3.713,0.038,0.245,1.791,0.99,0.009,7.531,0.645,0.025,3.345,0.034,0.221,1.613,0.891,0.008,6.783,1.167,0.046,6.052,0.061,0.399,2.919,1.613,0.015,12.273,0.109,0.004,0.566,0.006,0.037,0.273,0.151,0.001,1.148
