,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,800204,147,1,314,2,0,177,37,0,678,1038,496,711,1526,1719,1843,2696,1708,11737,1.416,0.01,3.025,0.019,0.0,1.705,0.356,0.0,6.532,2.964,0.02,6.331,0.04,0.0,3.569,0.746,0.0,13.669,2.068,0.014,4.416,0.028,0.0,2.489,0.52,0.0,9.536,0.963,0.007,2.058,0.013,0.0,1.16,0.242,0.0,4.443,0.855,0.006,1.827,0.012,0.0,1.03,0.215,0.0,3.944,0.798,0.005,1.704,0.011,0.0,0.96,0.201,0.0,3.679,0.545,0.004,1.165,0.007,0.0,0.657,0.137,0.0,2.515,0.861,0.006,1.838,0.012,0.0,1.036,0.217,0.0,3.97,0.125,0.001,0.268,0.002,0.0,0.151,0.032,0.0,0.578
1,800807,38,2,184,1,1,147,32,1,406,1569,658,1152,2339,2250,2092,2457,1785,14302,0.242,0.013,1.173,0.006,0.006,0.937,0.204,0.006,2.588,0.578,0.03,2.796,0.015,0.015,2.234,0.486,0.015,6.17,0.33,0.017,1.597,0.009,0.009,1.276,0.278,0.009,3.524,0.162,0.009,0.787,0.004,0.004,0.628,0.137,0.004,1.736,0.169,0.009,0.818,0.004,0.004,0.653,0.142,0.004,1.804,0.182,0.01,0.88,0.005,0.005,0.703,0.153,0.005,1.941,0.155,0.008,0.749,0.004,0.004,0.598,0.13,0.004,1.652,0.213,0.011,1.031,0.006,0.006,0.824,0.179,0.006,2.275,0.027,0.001,0.129,0.001,0.001,0.103,0.022,0.001,0.284
2,800120,128,16,787,20,47,907,150,2,2057,2860,1176,2027,6304,6058,5300,7977,5206,36908,0.448,0.056,2.752,0.07,0.164,3.171,0.524,0.007,7.192,1.088,0.136,6.692,0.17,0.4,7.713,1.276,0.017,17.491,0.631,0.079,3.883,0.099,0.232,4.475,0.74,0.01,10.148,0.203,0.025,1.248,0.032,0.075,1.439,0.238,0.003,3.263,0.211,0.026,1.299,0.033,0.078,1.497,0.248,0.003,3.396,0.242,0.03,1.485,0.038,0.089,1.711,0.283,0.004,3.881,0.16,0.02,0.987,0.025,0.059,1.137,0.188,0.003,2.579,0.246,0.031,1.512,0.038,0.09,1.742,0.288,0.004,3.951,0.035,0.004,0.213,0.005,0.013,0.246,0.041,0.001,0.557
3,800501,35,0,107,2,0,72,8,0,224,457,221,305,649,824,857,1320,893,5526,0.766,0.0,2.341,0.044,0.0,1.575,0.175,0.0,4.902,1.584,0.0,4.842,0.09,0.0,3.258,0.362,0.0,10.136,1.148,0.0,3.508,0.066,0.0,2.361,0.262,0.0,7.344,0.539,0.0,1.649,0.031,0.0,1.109,0.123,0.0,3.451,0.425,0.0,1.299,0.024,0.0,0.874,0.097,0.0,2.718,0.408,0.0,1.249,0.023,0.0,0.84,0.093,0.0,2.614,0.265,0.0,0.811,0.015,0.0,0.545,0.061,0.0,1.697,0.392,0.0,1.198,0.022,0.0,0.806,0.09,0.0,2.508,0.063,0.0,0.194,0.004,0.0,0.13,0.014,0.0,0.405
4,800810,15,0,34,0,0,103,16,1,169,435,158,287,712,750,794,1110,848,5094,0.345,0.0,0.782,0.0,0.0,2.368,0.368,0.023,3.885,0.949,0.0,2.152,0.0,0.0,6.519,1.013,0.063,10.696,0.523,0.0,1.185,0.0,0.0,3.589,0.557,0.035,5.889,0.211,0.0,0.478,0.0,0.0,1.447,0.225,0.014,2.374,0.2,0.0,0.453,0.0,0.0,1.373,0.213,0.013,2.253,0.189,0.0,0.428,0.0,0.0,1.297,0.202,0.013,2.128,0.135,0.0,0.306,0.0,0.0,0.928,0.144,0.009,1.523,0.177,0.0,0.401,0.0,0.0,1.215,0.189,0.012,1.993,0.029,0.0,0.067,0.0,0.0,0.202,0.031,0.002,0.332
5,800415,65,0,109,4,6,77,17,0,278,200,90,155,313,381,448,657,577,2821,3.25,0.0,5.45,0.2,0.3,3.85,0.85,0.0,13.9,7.222,0.0,12.111,0.444,0.667,8.556,1.889,0.0,30.889,4.194,0.0,7.032,0.258,0.387,4.968,1.097,0.0,17.935,2.077,0.0,3.482,0.128,0.192,2.46,0.543,0.0,8.882,1.706,0.0,2.861,0.105,0.157,2.021,0.446,0.0,7.297,1.451,0.0,2.433,0.089,0.134,1.719,0.379,0.0,6.205,0.989,0.0,1.659,0.061,0.091,1.172,0.259,0.0,4.231,1.127,0.0,1.889,0.069,0.104,1.334,0.295,0.0,4.818,0.23,0.0,0.386,0.014,0.021,0.273,0.06,0.0,0.985
6,800505,6,2,73,4,8,102,12,0,207,280,140,206,462,527,638,957,755,3965,0.214,0.071,2.607,0.143,0.286,3.643,0.429,0.0,7.393,0.429,0.143,5.214,0.286,0.571,7.286,0.857,0.0,14.786,0.291,0.097,3.544,0.194,0.388,4.951,0.583,0.0,10.049,0.13,0.043,1.58,0.087,0.173,2.208,0.26,0.0,4.481,0.114,0.038,1.385,0.076,0.152,1.935,0.228,0.0,3.928,0.094,0.031,1.144,0.063,0.125,1.599,0.188,0.0,3.245,0.063,0.021,0.763,0.042,0.084,1.066,0.125,0.0,2.163,0.079,0.026,0.967,0.053,0.106,1.351,0.159,0.0,2.742,0.015,0.005,0.184,0.01,0.02,0.257,0.03,0.0,0.522
7,800406,79,2,121,4,4,65,20,0,295,325,147,247,510,559,603,962,768,4121,2.431,0.062,3.723,0.123,0.123,2.0,0.615,0.0,9.077,5.374,0.136,8.231,0.272,0.272,4.422,1.361,0.0,20.068,3.198,0.081,4.899,0.162,0.162,2.632,0.81,0.0,11.943,1.549,0.039,2.373,0.078,0.078,1.275,0.392,0.0,5.784,1.413,0.036,2.165,0.072,0.072,1.163,0.358,0.0,5.277,1.31,0.033,2.007,0.066,0.066,1.078,0.332,0.0,4.892,0.821,0.021,1.258,0.042,0.042,0.676,0.208,0.0,3.067,1.029,0.026,1.576,0.052,0.052,0.846,0.26,0.0,3.841,0.192,0.005,0.294,0.01,0.01,0.158,0.049,0.0,0.716
8,800121,153,6,346,5,50,470,100,1,1131,906,420,710,1661,1814,1772,2591,1442,11316,1.689,0.066,3.819,0.055,0.552,5.188,1.104,0.011,12.483,3.643,0.143,8.238,0.119,1.19,11.19,2.381,0.024,26.929,2.155,0.085,4.873,0.07,0.704,6.62,1.408,0.014,15.93,0.921,0.036,2.083,0.03,0.301,2.83,0.602,0.006,6.809,0.843,0.033,1.907,0.028,0.276,2.591,0.551,0.006,6.235,0.863,0.034,1.953,0.028,0.282,2.652,0.564,0.006,6.383,0.591,0.023,1.335,0.019,0.193,1.814,0.386,0.004,4.365,1.061,0.042,2.399,0.035,0.347,3.259,0.693,0.007,7.843,0.135,0.005,0.306,0.004,0.044,0.415,0.088,0.001,0.999
9,800504,22,0,218,2,8,163,27,1,441,444,246,343,695,788,939,1407,1066,5928,0.495,0.0,4.91,0.045,0.18,3.671,0.608,0.023,9.932,0.894,0.0,8.862,0.081,0.325,6.626,1.098,0.041,17.927,0.641,0.0,6.356,0.058,0.233,4.752,0.787,0.029,12.857,0.317,0.0,3.137,0.029,0.115,2.345,0.388,0.014,6.345,0.279,0.0,2.766,0.025,0.102,2.069,0.343,0.013,5.596,0.234,0.0,2.322,0.021,0.085,1.736,0.288,0.011,4.696,0.156,0.0,1.549,0.014,0.057,1.158,0.192,0.007,3.134,0.206,0.0,2.045,0.019,0.075,1.529,0.253,0.009,4.137,0.037,0.0,0.368,0.003,0.013,0.275,0.046,0.002,0.744
