,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
0,8001,2343,114,8346,161,355,7322,1254,20,19915,22194,10025,17169,40738,39564,40158,57796,40340,267984,1.056,0.051,3.76,0.073,0.16,3.299,0.565,0.009,8.973,2.337,0.114,8.325,0.161,0.354,7.304,1.251,0.02,19.865,1.365,0.066,4.861,0.094,0.207,4.265,0.73,0.012,11.599,0.575,0.028,2.049,0.04,0.087,1.797,0.308,0.005,4.889,0.592,0.029,2.109,0.041,0.09,1.851,0.317,0.005,5.034,0.583,0.028,2.078,0.04,0.088,1.823,0.312,0.005,4.959,0.405,0.02,1.444,0.028,0.061,1.267,0.217,0.003,3.446,0.581,0.028,2.069,0.04,0.088,1.815,0.311,0.005,4.937,0.087,0.004,0.311,0.006,0.013,0.273,0.047,0.001,0.743
1,8002,292,12,827,7,11,828,120,2,2099,3041,1381,2187,4915,5516,6013,8494,5848,37395,0.96,0.039,2.72,0.023,0.036,2.723,0.395,0.007,6.902,2.114,0.087,5.988,0.051,0.08,5.996,0.869,0.014,15.199,1.335,0.055,3.781,0.032,0.05,3.786,0.549,0.009,9.598,0.594,0.024,1.683,0.014,0.022,1.685,0.244,0.004,4.271,0.529,0.022,1.499,0.013,0.02,1.501,0.218,0.004,3.805,0.486,0.02,1.375,0.012,0.018,1.377,0.2,0.003,3.491,0.344,0.014,0.974,0.008,0.013,0.975,0.141,0.002,2.471,0.499,0.021,1.414,0.012,0.019,1.416,0.205,0.003,3.589,0.078,0.003,0.221,0.002,0.003,0.221,0.032,0.001,0.561
2,8003,204,5,692,4,31,467,75,1,1479,3104,1352,2260,5040,5898,6449,9877,6878,40858,0.657,0.016,2.229,0.013,0.1,1.505,0.242,0.003,4.765,1.509,0.037,5.118,0.03,0.229,3.454,0.555,0.007,10.939,0.903,0.022,3.062,0.018,0.137,2.066,0.332,0.004,6.544,0.405,0.01,1.373,0.008,0.062,0.927,0.149,0.002,2.935,0.346,0.008,1.173,0.007,0.053,0.792,0.127,0.002,2.508,0.316,0.008,1.073,0.006,0.048,0.724,0.116,0.002,2.293,0.207,0.005,0.701,0.004,0.031,0.473,0.076,0.001,1.497,0.297,0.007,1.006,0.006,0.045,0.679,0.109,0.001,2.15,0.05,0.001,0.169,0.001,0.008,0.114,0.018,0.0,0.362
3,8004,507,15,1607,38,66,1186,230,1,3650,5274,2426,3922,8179,9318,10376,14854,11461,65810,0.961,0.028,3.047,0.072,0.125,2.249,0.436,0.002,6.921,2.09,0.062,6.624,0.157,0.272,4.889,0.948,0.004,15.045,1.293,0.038,4.097,0.097,0.168,3.024,0.586,0.003,9.306,0.62,0.018,1.965,0.046,0.081,1.45,0.281,0.001,4.463,0.544,0.016,1.725,0.041,0.071,1.273,0.247,0.001,3.917,0.489,0.014,1.549,0.037,0.064,1.143,0.222,0.001,3.518,0.341,0.01,1.082,0.026,0.044,0.798,0.155,0.001,2.457,0.442,0.013,1.402,0.033,0.058,1.035,0.201,0.001,3.185,0.077,0.002,0.244,0.006,0.01,0.18,0.035,0.0,0.555
4,8005,116,13,929,14,32,591,110,7,1812,2271,1098,1678,3500,3983,4642,6745,5165,29082,0.511,0.057,4.091,0.062,0.141,2.602,0.484,0.031,7.979,1.056,0.118,8.461,0.128,0.291,5.383,1.002,0.064,16.503,0.691,0.077,5.536,0.083,0.191,3.522,0.656,0.042,10.799,0.331,0.037,2.654,0.04,0.091,1.689,0.314,0.02,5.177,0.291,0.033,2.332,0.035,0.08,1.484,0.276,0.018,4.549,0.25,0.028,2.001,0.03,0.069,1.273,0.237,0.015,3.903,0.172,0.019,1.377,0.021,0.047,0.876,0.163,0.01,2.686,0.225,0.025,1.799,0.027,0.062,1.144,0.213,0.014,3.508,0.04,0.004,0.319,0.005,0.011,0.203,0.038,0.002,0.623
5,8006,233,9,888,15,106,778,245,2,2276,2986,1373,2432,5547,5929,6960,8998,8094,42319,0.78,0.03,2.974,0.05,0.355,2.605,0.82,0.007,7.622,1.697,0.066,6.468,0.109,0.772,5.666,1.784,0.015,16.577,0.958,0.037,3.651,0.062,0.436,3.199,1.007,0.008,9.359,0.42,0.016,1.601,0.027,0.191,1.403,0.442,0.004,4.103,0.393,0.015,1.498,0.025,0.179,1.312,0.413,0.003,3.839,0.335,0.013,1.276,0.022,0.152,1.118,0.352,0.003,3.27,0.259,0.01,0.987,0.017,0.118,0.865,0.272,0.002,2.529,0.288,0.011,1.097,0.019,0.131,0.961,0.303,0.002,2.812,0.055,0.002,0.21,0.004,0.025,0.184,0.058,0.0,0.538
6,8007,399,47,2760,43,86,1461,533,6,5335,6853,3350,5638,12080,13377,13984,18325,12738,86345,0.582,0.069,4.027,0.063,0.125,2.132,0.778,0.009,7.785,1.191,0.14,8.239,0.128,0.257,4.361,1.591,0.018,15.925,0.708,0.083,4.895,0.076,0.153,2.591,0.945,0.011,9.463,0.33,0.039,2.285,0.036,0.071,1.209,0.441,0.005,4.416,0.298,0.035,2.063,0.032,0.064,1.092,0.398,0.004,3.988,0.285,0.034,1.974,0.031,0.061,1.045,0.381,0.004,3.815,0.218,0.026,1.506,0.023,0.047,0.797,0.291,0.003,2.911,0.313,0.037,2.167,0.034,0.068,1.147,0.418,0.005,4.188,0.046,0.005,0.32,0.005,0.01,0.169,0.062,0.001,0.618
7,8008,468,22,1845,27,56,1502,422,5,4347,10247,4553,7691,16285,16935,17169,22585,16618,112083,0.457,0.021,1.801,0.026,0.055,1.466,0.412,0.005,4.242,1.028,0.048,4.052,0.059,0.123,3.299,0.927,0.011,9.548,0.609,0.029,2.399,0.035,0.073,1.953,0.549,0.007,5.652,0.287,0.014,1.133,0.017,0.034,0.922,0.259,0.003,2.669,0.276,0.013,1.089,0.016,0.033,0.887,0.249,0.003,2.567,0.273,0.013,1.075,0.016,0.033,0.875,0.246,0.003,2.532,0.207,0.01,0.817,0.012,0.025,0.665,0.187,0.002,1.925,0.282,0.013,1.11,0.016,0.034,0.904,0.254,0.003,2.616,0.042,0.002,0.165,0.002,0.005,0.134,0.038,0.0,0.388
8,8009,938,43,3601,58,89,2533,872,4,8138,14554,6637,10936,24775,24334,24594,33480,20263,159573,0.644,0.03,2.474,0.04,0.061,1.74,0.599,0.003,5.592,1.413,0.065,5.426,0.087,0.134,3.816,1.314,0.006,12.262,0.858,0.039,3.293,0.053,0.081,2.316,0.797,0.004,7.441,0.379,0.017,1.453,0.023,0.036,1.022,0.352,0.002,3.285,0.385,0.018,1.48,0.024,0.037,1.041,0.358,0.002,3.344,0.381,0.017,1.464,0.024,0.036,1.03,0.355,0.002,3.309,0.28,0.013,1.076,0.017,0.027,0.757,0.26,0.001,2.431,0.463,0.021,1.777,0.029,0.044,1.25,0.43,0.002,4.016,0.059,0.003,0.226,0.004,0.006,0.159,0.055,0.0,0.51
9,8010,191,7,1164,12,19,422,171,0,1986,2347,1068,1594,3469,4087,4266,5538,4167,26536,0.814,0.03,4.96,0.051,0.081,1.798,0.729,0.0,8.462,1.788,0.066,10.899,0.112,0.178,3.951,1.601,0.0,18.596,1.198,0.044,7.302,0.075,0.119,2.647,1.073,0.0,12.459,0.551,0.02,3.355,0.035,0.055,1.216,0.493,0.0,5.725,0.467,0.017,2.848,0.029,0.046,1.033,0.418,0.0,4.859,0.448,0.016,2.729,0.028,0.045,0.989,0.401,0.0,4.655,0.345,0.013,2.102,0.022,0.034,0.762,0.309,0.0,3.586,0.458,0.017,2.793,0.029,0.046,1.013,0.41,0.0,4.766,0.072,0.003,0.439,0.005,0.007,0.159,0.064,0.0,0.748
