,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
0,100101,14.11,16.16,1.0,129,84,131,680,441,474,895,881,129.0,84.0,131.0,680.0,441.0,474.0,895.0,881.0
1,100102,6.62,9.67,1.0,461,397,1117,1411,1373,1636,2641,2190,461.0,397.0,1117.0,1411.0,1373.0,1636.0,2641.0,2190.0
2,100103,1.97,3.32,1.0,119,80,187,427,438,448,831,798,119.0,80.0,187.0,427.0,438.0,448.0,831.0,798.0
3,100104,2.15,3.11,1.0,140,96,247,426,391,498,802,709,140.0,96.0,247.0,426.0,391.0,498.0,802.0,709.0
4,100105,1.39,3.46,1.0,131,84,209,375,418,464,779,754,131.0,84.0,209.0,375.0,418.0,464.0,779.0,754.0
5,100106,1.43,1.83,1.0,90,59,94,285,322,316,526,589,90.0,59.0,94.0,285.0,322.0,316.0,526.0,589.0
6,100107,4.55,7.41,1.0,185,129,381,627,572,681,1194,1116,185.0,129.0,381.0,627.0,572.0,681.0,1194.0,1116.0
7,100108,1.75,2.68,1.0,89,72,161,337,319,350,650,518,89.0,72.0,161.0,337.0,319.0,350.0,650.0,518.0
8,100109,3.15,3.81,1.0,74,31,77,226,245,254,494,558,74.0,31.0,77.0,226.0,245.0,254.0,494.0,558.0
9,100110,3.82,7.13,1.0,255,196,517,881,839,958,1660,1505,255.0,196.0,517.0,881.0,839.0,958.0,1660.0,1505.0
10,100111,4.18,5.36,1.0,172,107,192,763,611,671,1104,980,172.0,107.0,192.0,763.0,611.0,671.0,1104.0,980.0
11,100112,4.69,5.08,1.0,130,70,108,330,341,439,687,779,130.0,70.0,108.0,330.0,341.0,439.0,687.0,779.0
12,100201,21.97,20.11,0.92,396,235,447,1493,1062,1196,2193,2104,364.32,216.2,411.24,1373.56,977.04,1100.32,2017.56,1935.68
13,100202,10.33,7.83,0.76,488,220,471,2101,1624,1418,2727,2382,370.88,167.2,357.96,1596.76,1234.24,1077.68,2072.52,1810.32
14,100203,17.47,16.51,0.95,440,233,449,1133,1064,1308,2336,2411,418.0,221.35,426.55,1076.35,1010.8,1242.6,2219.2,2290.45
15,100204,3.3,4.59,1.0,449,230,374,939,986,984,1711,1729,449.0,230.0,374.0,939.0,986.0,984.0,1711.0,1729.0
16,100301,371.49,70.22,0.19,3453,1650,2820,5463,5086,7001,8148,3156,656.07,313.5,535.8,1037.97,966.34,1330.19,1548.12,599.64
17,100302,284.26,50.81,0.18,1990,918,1541,3142,3027,3486,4339,2022,358.2,165.24,277.38,565.56,544.86,627.48,781.02,363.96
18,100303,286.75,36.91,0.13,793,382,596,1287,1274,1384,1934,1144,103.09,49.66,77.48,167.31,165.62,179.92,251.42,148.72
19,100304,383.87,63.44,0.17,825,388,728,1639,1493,1713,2757,1293,140.25,65.96,123.76,278.63,253.81,291.21,468.69,219.81
20,100305,203.27,50.95,0.25,3064,1529,2678,5216,4548,5990,7713,2647,766.0,382.25,669.5,1304.0,1137.0,1497.5,1928.25,661.75
21,100306,165.7,34.16,0.21,1753,833,1278,2689,2316,2985,3933,1606,368.13,174.93,268.38,564.69,486.36,626.85,825.93,337.26
22,100307,309.06,36.84,0.12,2364,1228,2113,4469,3682,5430,7626,2917,283.68,147.36,253.56,536.28,441.84,651.6,915.12,350.04
23,100401,5.95,11.5,1.0,496,263,486,1399,1733,1627,2816,2549,496.0,263.0,486.0,1399.0,1733.0,1627.0,2816.0,2549.0
24,100402,14.07,23.43,1.0,445,249,423,1097,1282,1470,2339,2313,445.0,249.0,423.0,1097.0,1282.0,1470.0,2339.0,2313.0
25,100403,5.62,12.21,1.0,176,77,168,457,527,615,905,1056,176.0,77.0,168.0,457.0,527.0,615.0,905.0,1056.0
26,100404,4.47,5.22,1.0,132,60,124,330,343,367,638,729,132.0,60.0,124.0,330.0,343.0,367.0,638.0,729.0
27,100405,7.15,11.43,1.0,464,238,426,1103,1371,1487,2446,2449,464.0,238.0,426.0,1103.0,1371.0,1487.0,2446.0,2449.0
28,100502,167.57,161.75,0.97,5416,2404,4460,13105,13542,15481,24196,14404,5253.52,2331.88,4326.2,12711.85,13135.74,15016.57,23470.12,13971.88
29,100508,212.97,194.85,0.91,6486,3085,5221,11933,12324,18041,25030,12338,5902.26,2807.35,4751.11,10859.03,11214.84,16417.31,22777.3,11227.58
30,100601,109.29,154.06,1.0,4855,2567,4376,9769,10368,14322,20012,12205,4855.0,2567.0,4376.0,9769.0,10368.0,14322.0,20012.0,12205.0
31,100608,146.91,169.94,1.0,4733,2195,3822,8327,9747,12943,16091,9544,4733.0,2195.0,3822.0,8327.0,9747.0,12943.0,16091.0,9544.0
32,100701,11.5,19.62,1.0,854,450,824,2167,2410,2488,4216,3695,854.0,450.0,824.0,2167.0,2410.0,2488.0,4216.0,3695.0
33,100702,12.41,20.18,1.0,278,117,408,945,799,810,1326,960,278.0,117.0,408.0,945.0,799.0,810.0,1326.0,960.0
34,100703,19.53,25.12,1.0,106,71,139,1386,849,743,619,474,106.0,71.0,139.0,1386.0,849.0,743.0,619.0,474.0
35,100704,31.16,46.79,1.0,930,441,846,2154,2328,2551,4431,3443,930.0,441.0,846.0,2154.0,2328.0,2551.0,4431.0,3443.0
36,100801,5.76,10.16,1.0,586,334,631,1830,1939,2019,3393,3178,586.0,334.0,631.0,1830.0,1939.0,2019.0,3393.0,3178.0
37,100802,4.1,7.48,1.0,326,154,326,893,902,1000,1791,1648,326.0,154.0,326.0,893.0,902.0,1000.0,1791.0,1648.0
38,100803,5.41,8.54,1.0,490,221,424,1130,1270,1256,2340,2085,490.0,221.0,424.0,1130.0,1270.0,1256.0,2340.0,2085.0
39,100804,3.74,6.07,1.0,289,145,306,788,849,1079,1659,1679,289.0,145.0,306.0,788.0,849.0,1079.0,1659.0,1679.0
40,100805,4.24,7.62,1.0,351,141,301,893,914,946,1718,1735,351.0,141.0,301.0,893.0,914.0,946.0,1718.0,1735.0
41,101001,230.98,180.1,0.78,7378,3743,6575,13251,12449,16854,23718,10726,5754.84,2919.54,5128.5,10335.78,9710.22,13146.12,18500.04,8366.28
42,101002,336.68,69.66,0.21,3831,1865,3232,7035,5900,6911,10911,4482,804.51,391.65,678.72,1477.35,1239.0,1451.31,2291.31,941.22
43,101102,149.9,16.66,0.11,5531,2634,4504,9460,9350,12365,16602,5928,608.41,289.74,495.44,1040.6,1028.5,1360.15,1826.22,652.08
44,101103,163.3,88.07,0.54,1062,557,1023,2325,2042,2469,4297,1584,573.48,300.78,552.42,1255.5,1102.68,1333.26,2320.38,855.36
45,101104,305.59,141.85,0.46,2111,952,1720,3332,3439,4240,5531,2224,971.06,437.92,791.2,1532.72,1581.94,1950.4,2544.26,1023.04
46,101105,258.47,87.09,0.34,2662,1106,1918,4026,4319,5414,6328,2381,905.08,376.04,652.12,1368.84,1468.46,1840.76,2151.52,809.54
47,101106,215.2,29.43,0.14,701,373,597,1158,1096,1239,1759,1020,98.14,52.22,83.58,162.12,153.44,173.46,246.26,142.8
48,101203,67.96,74.88,1.0,2894,1403,2538,5890,6882,7856,11476,8389,2894.0,1403.0,2538.0,5890.0,6882.0,7856.0,11476.0,8389.0
49,101204,48.15,29.01,0.6,1899,969,1649,4061,4359,4586,6985,5200,1139.4,581.4,989.4,2436.6,2615.4,2751.6,4191.0,3120.0
50,101301,4.62,5.65,1.0,273,143,282,838,925,1065,1823,1906,273.0,143.0,282.0,838.0,925.0,1065.0,1823.0,1906.0
51,101302,4.62,6.07,1.0,290,174,366,966,1167,1259,2165,2315,290.0,174.0,366.0,966.0,1167.0,1259.0,2165.0,2315.0
52,101303,3.69,3.81,1.0,313,161,365,972,1080,1042,1924,1629,313.0,161.0,365.0,972.0,1080.0,1042.0,1924.0,1629.0
53,101401,85.59,137.12,1.0,3674,1984,4090,10617,9655,10829,16478,11427,3674.0,1984.0,4090.0,10617.0,9655.0,10829.0,16478.0,11427.0
54,101501,6.97,8.33,1.0,476,248,513,1204,1314,1220,2329,1849,476.0,248.0,513.0,1204.0,1314.0,1220.0,2329.0,1849.0
55,101502,6.04,4.45,0.74,648,331,636,1726,1724,1807,2988,2512,479.52,244.94,470.64,1277.24,1275.76,1337.18,2211.12,1858.88
56,101503,9.53,9.1,0.95,1245,603,1180,2927,3052,3195,5307,3961,1182.75,572.85,1121.0,2780.65,2899.4,3035.25,5041.65,3762.95
57,101504,12.85,17.78,1.0,897,448,739,2353,2348,2775,4023,2458,897.0,448.0,739.0,2353.0,2348.0,2775.0,4023.0,2458.0
58,101505,13.94,13.83,0.99,827,381,775,2063,2206,2383,4134,3314,818.73,377.19,767.25,2042.37,2183.94,2359.17,4092.66,3280.86
59,101506,15.98,18.35,1.0,973,474,816,2181,2538,2789,4174,3449,973.0,474.0,816.0,2181.0,2538.0,2789.0,4174.0,3449.0
60,101507,13.27,10.09,0.76,752,388,666,1960,2141,2391,4125,3330,571.52,294.88,506.16,1489.6,1627.16,1817.16,3135.0,2530.8
61,101601,8.15,5.29,0.65,576,300,576,1711,1671,1704,3096,2811,374.4,195.0,374.4,1112.15,1086.15,1107.6,2012.4,1827.15
62,101602,50.34,32.46,0.64,2786,1319,2590,7059,7499,8268,13156,10729,1783.04,844.16,1657.6,4517.76,4799.36,5291.52,8419.84,6866.56
63,101701,44.92,48.91,1.0,1334,548,1007,2457,4141,4703,5009,3592,1334.0,548.0,1007.0,2457.0,4141.0,4703.0,5009.0,3592.0
64,101702,56.76,92.31,1.0,1186,525,884,1905,2636,3115,3832,2663,1186.0,525.0,884.0,1905.0,2636.0,3115.0,3832.0,2663.0
65,101704,49.88,67.26,1.0,2408,1086,1908,4494,6300,7239,8472,6676,2408.0,1086.0,1908.0,4494.0,6300.0,7239.0,8472.0,6676.0
66,101801,8.48,9.17,1.0,610,350,626,1535,1783,1858,3222,2911,610.0,350.0,626.0,1535.0,1783.0,1858.0,3222.0,2911.0
67,101802,9.72,7.97,0.82,646,335,671,1787,1749,1821,3079,2493,529.72,274.7,550.22,1465.34,1434.18,1493.22,2524.78,2044.26
68,101803,21.21,14.4,0.68,1293,679,1013,3026,3387,3767,5962,5199,879.24,461.72,688.84,2057.68,2303.16,2561.56,4054.16,3535.32
69,101804,15.99,16.66,1.0,942,458,909,2337,2795,3012,4518,3463,942.0,458.0,909.0,2337.0,2795.0,3012.0,4518.0,3463.0
70,101901,11.54,4.66,0.4,564,272,460,1235,1354,1654,2652,1764,225.6,108.8,184.0,494.0,541.6,661.6,1060.8,705.6
71,101902,58.03,68.95,1.0,1438,739,1198,3210,3448,3964,6179,4823,1438.0,739.0,1198.0,3210.0,3448.0,3964.0,6179.0,4823.0
72,101904,47.51,33.8,0.71,834,409,727,1772,1929,1954,3572,2618,592.14,290.39,516.17,1258.12,1369.59,1387.34,2536.12,1858.78
73,101905,91.4,35.92,0.39,1158,567,1042,2565,2678,2825,5135,3379,451.62,221.13,406.38,1000.35,1044.42,1101.75,2002.65,1317.81
74,101907,39.12,18.21,0.47,788,378,689,1550,1540,1963,2984,1697,370.36,177.66,323.83,728.5,723.8,922.61,1402.48,797.59
75,102004,13.08,11.15,0.85,644,303,515,2059,1722,1628,3076,2799,547.4,257.55,437.75,1750.15,1463.7,1383.8,2614.6,2379.15
76,102005,21.41,17.64,0.82,1486,751,1457,4292,4214,4383,8077,6760,1218.52,615.82,1194.74,3519.44,3455.48,3594.06,6623.14,5543.2
77,102006,15.24,6.92,0.45,455,230,445,1085,1336,1390,2444,1983,204.75,103.5,200.25,488.25,601.2,625.5,1099.8,892.35
78,102007,36.72,29.5,0.8,1517,721,1371,4072,4562,4912,8621,7061,1213.6,576.8,1096.8,3257.6,3649.6,3929.6,6896.8,5648.8
79,102009,28.02,36.77,1.0,983,513,893,2462,2793,3247,5090,4309,983.0,513.0,893.0,2462.0,2793.0,3247.0,5090.0,4309.0
80,102105,677.63,93.23,0.14,4536,2049,3887,8070,7720,10516,13835,5924,635.04,286.86,544.18,1129.8,1080.8,1472.24,1936.9,829.36
81,102107,456.7,183.21,0.4,10126,4926,8469,17269,17645,21023,27817,13826,4050.4,1970.4,3387.6,6907.6,7058.0,8409.2,11126.8,5530.4
82,102201,57.8,38.96,0.67,2262,1066,1822,4504,5556,6060,8549,5587,1515.54,714.22,1220.74,3017.68,3722.52,4060.2,5727.83,3743.29
83,102202,30.9,18.42,0.6,2067,942,1745,4101,4132,4741,6860,4803,1240.2,565.2,1047.0,2460.6,2479.2,2844.6,4116.0,2881.8
84,102206,13.57,7.48,0.55,606,250,449,1137,1102,1325,2042,1246,333.3,137.5,246.95,625.35,606.1,728.75,1123.1,685.3
85,102207,27.1,20.04,0.74,1149,537,911,2435,2670,3092,4809,3300,850.26,397.38,674.14,1801.9,1975.8,2288.08,3558.66,2442.0
86,102208,25.04,17.08,0.68,761,374,611,1469,1543,1822,2841,1762,517.48,254.32,415.48,998.92,1049.24,1238.96,1931.88,1198.16
87,102209,16.62,14.54,0.87,676,360,663,1852,2029,2192,3886,3313,588.12,313.2,576.81,1611.24,1765.23,1907.04,3380.82,2882.31
88,102210,7.11,4.66,0.66,349,157,326,873,814,933,1698,1335,230.34,103.62,215.16,576.18,537.24,615.78,1120.68,881.1
89,102302,179.83,101.62,0.57,6020,2928,4878,10893,10984,14179,19278,9357,3431.4,1668.96,2780.46,6209.01,6260.88,8082.03,10988.46,5333.49
90,102303,156.35,100.14,0.64,5196,2657,4689,10590,10474,12240,18902,10034,3325.44,1700.48,3000.96,6777.6,6703.36,7833.6,12097.28,6421.76
91,102401,47.44,32.11,0.68,2103,933,1864,4446,4504,5144,8100,5819,1430.04,634.44,1267.52,3023.28,3062.72,3497.92,5508.0,3956.92
92,102402,67.07,46.51,0.69,3200,1679,2999,6706,6666,7884,11912,7497,2208.0,1158.51,2069.31,4627.14,4599.54,5439.96,8219.28,5172.93
93,102501,30.91,48.77,1.0,1102,543,962,2852,3100,3638,5829,5732,1102.0,543.0,962.0,2852.0,3100.0,3638.0,5829.0,5732.0
94,102502,28.77,15.24,0.53,1493,606,1152,3123,3590,3829,6203,4783,791.29,321.18,610.56,1655.19,1902.7,2029.37,3287.59,2534.99
95,102503,22.1,23.01,1.0,960,403,735,2101,2738,3157,4781,3928,960.0,403.0,735.0,2101.0,2738.0,3157.0,4781.0,3928.0
96,102504,27.88,26.32,0.94,1224,587,1042,3071,3384,3881,6304,5356,1150.56,551.78,979.48,2886.74,3180.96,3648.14,5925.76,5034.64
97,102601,78.63,131.55,1.0,6599,3430,6445,16290,16606,18542,30287,22450,6599.0,3430.0,6445.0,16290.0,16606.0,18542.0,30287.0,22450.0
98,102701,94.09,100.0,1.0,4378,2186,3759,8642,9471,12370,16704,10719,4378.0,2186.0,3759.0,8642.0,9471.0,12370.0,16704.0,10719.0
99,102801,23.05,33.73,1.0,1922,1017,1933,4894,5394,5721,9448,8013,1922.0,1017.0,1933.0,4894.0,5394.0,5721.0,9448.0,8013.0
100,102802,16.72,18.42,1.0,924,479,920,2338,2629,2680,4899,4507,924.0,479.0,920.0,2338.0,2629.0,2680.0,4899.0,4507.0
101,102803,27.64,31.9,1.0,1092,532,1035,2305,2429,2886,4471,3700,1092.0,532.0,1035.0,2305.0,2429.0,2886.0,4471.0,3700.0
102,102902,59.84,77.98,1.0,2152,1022,1975,5076,6332,6945,11214,9364,2152.0,1022.0,1975.0,5076.0,6332.0,6945.0,11214.0,9364.0
103,103001,99.22,161.89,1.0,2241,1258,2253,5215,5709,6955,10890,9143,2241.0,1258.0,2253.0,5215.0,5709.0,6955.0,10890.0,9143.0
104,103002,26.3,29.64,1.0,1114,537,967,2582,3164,3432,4752,3309,1114.0,537.0,967.0,2582.0,3164.0,3432.0,4752.0,3309.0
105,103003,54.48,93.51,1.0,2065,1012,1994,5193,5710,6665,9198,6855,2065.0,1012.0,1994.0,5193.0,5710.0,6665.0,9198.0,6855.0
106,103004,51.6,57.94,1.0,1513,650,1292,3107,4932,5696,7275,6482,1513.0,650.0,1292.0,3107.0,4932.0,5696.0,7275.0,6482.0
107,103005,71.79,112.0,1.0,1293,700,1268,2800,2975,3698,5517,3333,1293.0,700.0,1268.0,2800.0,2975.0,3698.0,5517.0,3333.0
108,103101,19.43,12.35,0.64,1361,643,1142,2950,3135,3279,5474,4253,871.04,411.52,730.88,1888.0,2006.4,2098.56,3503.36,2721.92
109,103102,15.42,8.82,0.57,1476,701,1377,3458,3556,3676,6255,5236,841.32,399.57,784.89,1971.06,2026.92,2095.32,3565.35,2984.52
110,103103,42.33,40.86,0.97,2336,1240,2197,5167,5112,5455,8623,6914,2265.92,1202.8,2131.09,5011.99,4958.64,5291.35,8364.31,6706.58
111,103201,227.55,182.99,0.8,6875,3220,5462,11364,11519,14527,17583,10370,5500.0,2576.0,4369.6,9091.2,9215.2,11621.6,14066.4,8296.0
112,103203,151.65,103.46,0.68,4237,1898,3000,6211,6418,9054,11090,4579,2881.16,1290.64,2040.0,4223.48,4364.24,6156.72,7541.2,3113.72
113,103301,69.55,44.53,0.64,4477,2162,3647,8917,9484,10174,15409,9315,2865.28,1383.68,2334.08,5706.88,6069.76,6511.36,9861.76,5961.6
114,103302,18.05,22.37,1.0,517,248,452,1156,1397,1668,2497,2301,517.0,248.0,452.0,1156.0,1397.0,1668.0,2497.0,2301.0
115,103303,35.34,36.91,1.0,1200,522,943,2390,3375,3784,5167,3844,1200.0,522.0,943.0,2390.0,3375.0,3784.0,5167.0,3844.0
