,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
0,1001,49.809999999999995,69.02,1.39,1975,1405,3421,6768,6310,7189,12263,11377,2745.25,1952.95,4755.19,9407.52,8770.9,9992.71,17045.57,15814.03
1,1002,53.06999999999999,49.040000000000006,0.92,1773,918,1741,5666,4736,4906,8967,8626,1631.16,844.56,1601.72,5212.72,4357.12,4513.52,8249.64,7935.92
2,1003,2004.3999999999999,343.33000000000004,0.17,14242,6928,11754,23905,21426,27989,36450,14785,2421.14,1177.76,1998.18,4063.85,3642.42,4758.13,6196.5,2513.45
3,1004,37.26,63.79,1.71,1713,887,1627,4386,5256,5566,9144,9096,2929.23,1516.77,2782.17,7500.06,8987.76,9517.86,15636.24,15554.16
4,1005,380.53999999999996,356.6,0.94,11902,5489,9681,25038,25866,33522,49226,26742,11187.88,5159.66,9100.14,23535.72,24314.04,31510.68,46272.44,25137.48
5,1006,256.2,324.0,1.26,9588,4762,8198,18096,20115,27265,36103,21749,12080.88,6000.12,10329.48,22800.96,25344.9,34353.9,45489.78,27403.74
6,1007,74.6,111.71000000000001,1.5,2168,1079,2217,6652,6386,6592,10592,8572,3252.0,1618.5,3325.5,9978.0,9579.0,9888.0,15888.0,12858.0
7,1008,23.25,39.87,1.71,2042,995,1988,5534,5874,6300,10901,10325,3491.82,1701.45,3399.48,9463.14,10044.54,10773.0,18640.71,17655.75
8,1010,567.66,249.76,0.44,11209,5608,9807,20286,18349,23765,34629,15208,4931.96,2467.52,4315.08,8925.84,8073.56,10456.6,15236.76,6691.52
9,1011,1092.46,363.09999999999997,0.33,12067,5622,9762,20301,20246,25727,34517,13137,3982.11,1855.26,3221.46,6699.33,6681.18,8489.91,11390.61,4335.21
10,1012,116.10999999999999,103.89,0.89,4793,2372,4187,9951,11241,12442,18461,13589,4265.77,2111.08,3726.43,8856.39,10004.49,11073.38,16430.29,12094.21
11,1013,12.93,15.530000000000001,1.2,876,478,1013,2776,3172,3366,5912,5850,1051.2,573.6,1215.6,3331.2,3806.4,4039.2,7094.4,7020.0
12,1014,85.59,137.12,1.6,3674,1984,4090,10617,9655,10829,16478,11427,5878.4,3174.4,6544.0,16987.2,15448.0,17326.4,26364.8,18283.2
13,1015,78.58,81.93,1.04,5818,2873,5325,14414,15323,16560,27080,20873,6050.72,2987.92,5538.0,14990.56,15935.92,17222.4,28163.2,21707.92
14,1016,58.49,37.75,0.65,3362,1619,3166,8770,9170,9972,16252,13540,2185.3,1052.35,2057.9,5700.5,5960.5,6481.8,10563.8,8801.0
15,1017,151.56,208.48000000000002,1.38,4928,2159,3799,8856,13077,15057,17313,12931,6800.64,2979.42,5242.62,12221.28,18046.26,20778.66,23891.94,17844.78
16,1018,55.400000000000006,48.2,0.87,3491,1822,3219,8685,9714,10458,16781,14066,3037.17,1585.14,2800.53,7555.95,8451.18,9098.46,14599.47,12237.42
17,1019,247.6,161.54,0.65,4782,2365,4116,10332,10949,12360,20522,14281,3108.3,1537.25,2675.4,6715.8,7116.85,8034.0,13339.3,9282.65
18,1020,114.47,101.98000000000002,0.89,5085,2518,4681,13970,14627,15560,27308,22912,4525.65,2241.02,4166.09,12433.3,13018.03,13848.4,24304.12,20391.68
19,1021,1134.33,276.44,0.24,14662,6975,12356,25339,25365,31539,41652,19750,3518.88,1674.0,2965.44,6081.36,6087.6,7569.36,9996.48,4740.0
20,1022,178.14,121.18,0.68,7870,3686,6527,16371,17846,20165,30685,21346,5351.6,2506.48,4438.36,11132.28,12135.28,13712.2,20865.8,14515.28
21,1023,336.18,201.76,0.6,11216,5585,9567,21483,21458,26419,38180,19391,6729.6,3351.0,5740.2,12889.8,12874.8,15851.4,22908.0,11634.6
22,1024,114.50999999999999,78.62,0.69,5303,2612,4863,11152,11170,13028,20012,13316,3659.07,1802.28,3355.47,7694.88,7707.3,8989.32,13808.28,9188.04
23,1025,109.66,113.34,1.03,4779,2139,3891,11147,12812,14505,23117,19799,4922.37,2203.17,4007.73,11481.41,13196.36,14940.15,23810.51,20392.97
24,1026,78.63,131.55,1.67,6599,3430,6445,16290,16606,18542,30287,22450,11020.33,5728.1,10763.15,27204.3,27732.02,30965.14,50579.29,37491.5
25,1027,94.09,100.0,1.06,4378,2186,3759,8642,9471,12370,16704,10719,4640.68,2317.16,3984.54,9160.52,10039.26,13112.2,17706.24,11362.14
26,1028,67.41,84.05,1.25,3938,2028,3888,9537,10452,11287,18818,16220,4922.5,2535.0,4860.0,11921.25,13065.0,14108.75,23522.5,20275.0
27,1029,59.84,77.98,1.3,2152,1022,1975,5076,6332,6945,11214,9364,2797.6,1328.6,2567.5,6598.8,8231.6,9028.5,14578.2,12173.2
28,1030,303.39,454.97999999999996,1.5,8226,4157,7774,18897,22490,26446,37632,29122,12339.0,6235.5,11661.0,28345.5,33735.0,39669.0,56448.0,43683.0
29,1031,77.18,62.03,0.8,5173,2584,4716,11575,11803,12410,20352,16403,4138.4,2067.2,3772.8,9260.0,9442.4,9928.0,16281.6,13122.4
