,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
0,810103,1447.73,140.72,0.1,1912,773,1175,2509,2783,2714,3364,1687,191.2,77.3,117.5,250.9,278.3,271.4,336.4,168.7
1,810105,1081.72,40.58,0.04,1141,540,805,1558,1842,1598,1986,992,45.64,21.6,32.2,62.32,73.68,63.92,79.44,39.68
2,810106,1671.57,61.19,0.04,734,332,581,1073,1111,1040,1197,607,29.36,13.28,23.24,42.92,44.44,41.6,47.88,24.28
3,810111,1397.45,33.8,0.02,954,373,690,1455,1584,1759,2017,954,19.08,7.46,13.8,29.1,31.68,35.18,40.34,19.08
4,810115,648.91,46.44,0.07,1601,695,1171,2262,2124,2187,2624,1039,112.07,48.65,81.97,158.34,148.68,153.09,183.68,72.73
5,810116,371.15,69.8,0.19,1758,802,981,1635,2228,2270,2271,877,334.02,152.38,186.39,310.65,423.32,431.3,431.49,166.63
6,810117,640.17,59.07,0.09,1045,459,840,1654,1716,1648,1882,927,94.05,41.31,75.6,148.86,154.44,148.32,169.38,83.43
7,810118,730.32,2.05,0.0,707,307,478,903,965,775,859,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,810201,1068.25,65.42,0.06,1418,601,853,1769,2038,2078,2429,1203,85.08,36.06,51.18,106.14,122.28,124.68,145.74,72.18
9,810202,1122.16,75.65,0.07,874,454,632,1314,1465,1459,1684,865,61.18,31.78,44.24,91.98,102.55,102.13,117.88,60.55
10,810203,1176.76,67.47,0.06,1015,466,675,1475,1614,1545,1644,824,60.9,27.96,40.5,88.5,96.84,92.7,98.64,49.44
11,810204,1492.23,93.79,0.06,907,430,671,1358,1580,1506,1686,829,54.42,25.8,40.26,81.48,94.8,90.36,101.16,49.74
12,810205,1546.19,46.79,0.03,1098,489,741,1591,1542,1472,1628,825,32.94,14.67,22.23,47.73,46.26,44.16,48.84,24.75
13,810206,1350.01,50.6,0.04,607,265,411,973,986,1004,1104,516,24.28,10.6,16.44,38.92,39.44,40.16,44.16,20.64
14,810303,900.98,79.25,0.09,918,427,654,1229,1485,1274,1465,833,82.62,38.43,58.86,110.61,133.65,114.66,131.85,74.97
15,810304,632.8,41.85,0.07,656,330,515,943,1117,916,1022,592,45.92,23.1,36.05,66.01,78.19,64.12,71.54,41.44
16,810305,305.97,45.24,0.15,845,397,521,864,1153,1187,1039,448,126.75,59.55,78.15,129.6,172.95,178.05,155.85,67.2
17,810401,839.51,93.65,0.11,1464,737,1061,2097,2020,1796,2368,1199,161.04,81.07,116.71,230.67,222.2,197.56,260.48,131.89
18,810402,1741.57,86.52,0.05,750,308,467,995,1144,1098,1178,537,37.5,15.4,23.35,49.75,57.2,54.9,58.9,26.85
19,810403,1846.31,135.36,0.07,2137,1008,1656,3131,3321,3016,3669,1895,149.59,70.56,115.92,219.17,232.47,211.12,256.83,132.65
20,810404,1682.42,82.64,0.05,1192,541,887,1797,1827,1532,1992,986,59.6,27.05,44.35,89.85,91.35,76.6,99.6,49.3
21,810405,1157.39,87.51,0.08,1065,518,790,1476,1607,1490,1764,930,85.2,41.44,63.2,118.08,128.56,119.2,141.12,74.4
22,810406,1577.04,75.58,0.05,1057,483,758,1643,1857,1656,2088,1075,52.85,24.15,37.9,82.15,92.85,82.8,104.4,53.75
23,810407,1346.69,74.67,0.06,589,271,426,964,1126,1120,1169,619,35.34,16.26,25.56,57.84,67.56,67.2,70.14,37.14
24,810501,796.77,77.98,0.1,891,407,743,1461,1464,1627,2205,1257,89.1,40.7,74.3,146.1,146.4,162.7,220.5,125.7
25,810503,695.7,75.72,0.11,414,190,290,687,733,809,1110,710,45.54,20.9,31.9,75.57,80.63,88.99,122.1,78.1
26,810504,969.48,74.52,0.08,887,415,581,1015,1169,1061,1178,651,70.96,33.2,46.48,81.2,93.52,84.88,94.24,52.08
27,810505,1007.23,30.2,0.03,769,352,544,1070,1053,981,1112,577,23.07,10.56,16.32,32.1,31.59,29.43,33.36,17.31
28,810506,655.04,91.67,0.14,632,320,491,1193,1165,1238,1539,872,88.48,44.8,68.74,167.02,163.1,173.32,215.46,122.08
29,810507,651.0,69.94,0.11,422,170,288,606,670,679,960,549,46.42,18.7,31.68,66.66,73.7,74.69,105.6,60.39
30,810508,780.69,43.4,0.06,413,203,285,547,666,653,696,443,24.78,12.18,17.1,32.82,39.96,39.18,41.76,26.58
31,810509,413.63,54.62,0.13,605,279,401,799,851,741,895,467,78.65,36.27,52.13,103.87,110.63,96.33,116.35,60.71
32,810601,2161.03,160.76,0.07,1856,821,1345,2727,3115,3012,3695,1916,129.92,57.47,94.15,190.89,218.05,210.84,258.65,134.12
33,810602,1012.55,66.41,0.07,604,270,391,938,1183,976,1340,738,42.28,18.9,27.37,65.66,82.81,68.32,93.8,51.66
34,810603,965.9,70.71,0.07,736,346,582,1120,1157,1215,1573,884,51.52,24.22,40.74,78.4,80.99,85.05,110.11,61.88
35,810604,692.87,86.87,0.13,552,245,367,809,1021,1001,1189,688,71.76,31.85,47.71,105.17,132.73,130.13,154.57,89.44
36,810701,678.57,39.8,0.06,1136,425,641,1273,1626,1462,1809,782,68.16,25.5,38.46,76.38,97.56,87.72,108.54,46.92
37,810702,514.84,50.32,0.1,656,312,476,875,1020,1041,1027,654,65.6,31.2,47.6,87.5,102.0,104.1,102.7,65.4
38,810703,686.52,26.89,0.04,581,253,335,762,875,802,899,450,23.24,10.12,13.4,30.48,35.0,32.08,35.96,18.0
39,810704,688.63,60.76,0.09,427,184,270,585,685,606,787,337,38.43,16.56,24.3,52.65,61.65,54.54,70.83,30.33
40,810801,426.0,83.77,0.2,1634,699,1118,2105,2094,2320,2897,1515,326.8,139.8,223.6,421.0,418.8,464.0,579.4,303.0
41,810803,971.2,74.95,0.08,1062,492,761,1419,1554,1401,1637,942,84.96,39.36,60.88,113.52,124.32,112.08,130.96,75.36
42,810804,253.49,33.95,0.13,695,296,499,892,975,810,967,630,90.35,38.48,64.87,115.96,126.75,105.3,125.71,81.9
43,810805,624.97,74.74,0.12,651,284,410,863,1047,1058,1234,888,78.12,34.08,49.2,103.56,125.64,126.96,148.08,106.56
44,810806,208.03,44.74,0.22,631,316,441,885,1024,942,1063,706,138.82,69.52,97.02,194.7,225.28,207.24,233.86,155.32
45,810807,573.0,93.23,0.16,691,360,563,1059,1191,1223,1697,1026,110.56,57.6,90.08,169.44,190.56,195.68,271.52,164.16
46,810808,1078.45,85.39,0.08,747,323,548,1078,1177,1240,1423,859,59.76,25.84,43.84,86.24,94.16,99.2,113.84,68.72
