,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
0,800101,78.86,82.43,1.0,3786,1934,3354,7153,5710,5753,8958,6584,3786.0,1934.0,3354.0,7153.0,5710.0,5753.0,8958.0,6584.0
1,800102,34.35,30.35,0.88,1603,777,1382,2805,2486,2357,3388,2490,1410.64,683.76,1216.16,2468.4,2187.68,2074.16,2981.44,2191.2
2,800103,20.57,29.15,1.0,1291,617,1138,2498,2201,2167,3392,2656,1291.0,617.0,1138.0,2498.0,2201.0,2167.0,3392.0,2656.0
3,800106,444.0,56.88,0.13,654,283,460,1110,1244,1387,1761,1320,85.02,36.79,59.8,144.3,161.72,180.31,228.93,171.6
4,800107,311.29,74.74,0.24,1251,537,870,2099,2433,2519,3364,2034,300.24,128.88,208.8,503.76,583.92,604.56,807.36,488.16
5,800108,166.28,34.16,0.21,575,236,399,980,1006,1078,1391,914,120.75,49.56,83.79,205.8,211.26,226.38,292.11,191.94
6,800112,278.96,40.37,0.14,684,304,563,1192,1289,1594,2211,1737,95.76,42.56,78.82,166.88,180.46,223.16,309.54,243.18
7,800113,133.83,34.02,0.25,507,200,361,974,981,1020,1503,1012,126.75,50.0,90.25,243.5,245.25,255.0,375.75,253.0
8,800114,70.99,18.91,0.27,371,175,296,655,740,864,1144,776,100.17,47.25,79.92,176.85,199.8,233.28,308.88,209.52
9,800115,163.53,62.1,0.38,1496,622,972,2346,2385,2219,2562,1599,568.48,236.36,369.36,891.48,906.3,843.22,973.56,607.62
10,800116,601.41,62.24,0.1,860,360,628,1458,1594,1688,2362,1681,86.0,36.0,62.8,145.8,159.4,168.8,236.2,168.1
11,800118,251.08,92.52,0.37,3030,1377,2302,5058,4826,5364,7551,5123,1121.1,509.49,851.74,1871.46,1785.62,1984.68,2793.87,1895.51
12,800119,435.23,49.61,0.11,821,334,541,1503,1610,1653,2387,1913,90.31,36.74,59.51,165.33,177.1,181.83,262.57,210.43
13,800120,856.09,151.87,0.18,2860,1176,2027,6304,6058,5300,7977,5206,514.8,211.68,364.86,1134.72,1090.44,954.0,1435.86,937.08
14,800121,421.14,60.55,0.14,906,420,710,1661,1814,1772,2591,1442,126.84,58.8,99.4,232.54,253.96,248.08,362.74,201.88
15,800122,813.88,123.57,0.15,1499,673,1166,2942,3187,3423,5254,3853,224.85,100.95,174.9,441.3,478.05,513.45,788.1,577.95
16,800201,496.59,33.87,0.07,699,293,499,1208,1340,1438,2187,1398,48.93,20.51,34.93,84.56,93.8,100.66,153.09,97.86
17,800202,271.93,16.09,0.06,376,174,255,654,718,851,1180,945,22.56,10.44,15.3,39.24,43.08,51.06,70.8,56.7
18,800203,151.89,29.01,0.19,457,230,372,773,869,969,1224,885,86.83,43.7,70.68,146.87,165.11,184.11,232.56,168.15
19,800204,1070.58,52.29,0.05,1038,496,711,1526,1719,1843,2696,1708,51.9,24.8,35.55,76.3,85.95,92.15,134.8,85.4
20,800205,259.9,35.36,0.14,471,188,350,754,870,912,1207,912,65.94,26.32,49.0,105.56,121.8,127.68,168.98,127.68
21,800301,778.28,10.8,0.01,595,248,446,922,1096,1240,1847,1150,5.95,2.48,4.46,9.22,10.96,12.4,18.47,11.5
22,800302,713.45,24.21,0.03,442,180,340,754,830,970,1425,967,13.26,5.4,10.2,22.62,24.9,29.1,42.75,29.01
23,800303,319.41,23.01,0.07,505,238,406,910,1129,1167,1992,1634,35.35,16.66,28.42,63.7,79.03,81.69,139.44,114.38
24,800304,867.87,24.49,0.03,739,318,526,1128,1275,1493,2159,1503,22.17,9.54,15.78,33.84,38.25,44.79,64.77,45.09
25,800305,466.89,54.69,0.12,823,368,542,1326,1568,1579,2454,1624,98.76,44.16,65.04,159.12,188.16,189.48,294.48,194.88
26,800401,249.23,19.34,0.08,585,240,376,913,1021,1086,1565,1177,46.8,19.2,30.08,73.04,81.68,86.88,125.2,94.16
27,800403,958.06,39.1,0.04,974,430,689,1366,1771,1846,2625,1789,38.96,17.2,27.56,54.64,70.84,73.84,105.0,71.56
28,800404,329.45,29.08,0.09,602,302,450,971,982,1186,1658,1213,54.18,27.18,40.5,87.39,88.38,106.74,149.22,109.17
29,800405,277.0,27.59,0.1,585,278,449,934,1036,1269,1737,1423,58.5,27.8,44.9,93.4,103.6,126.9,173.7,142.3
30,800406,405.52,17.43,0.04,325,147,247,510,559,603,962,768,13.0,5.88,9.88,20.4,22.36,24.12,38.48,30.72
31,800407,280.68,7.69,0.03,358,163,239,527,693,657,1016,956,10.74,4.89,7.17,15.81,20.79,19.71,30.48,28.68
32,800409,596.78,29.08,0.05,547,252,441,863,878,1040,1448,1012,27.35,12.6,22.05,43.15,43.9,52.0,72.4,50.6
33,800410,443.74,36.42,0.08,541,265,435,844,967,1074,1561,1254,43.28,21.2,34.8,67.52,77.36,85.92,124.88,100.32
