,Year,Month,addrcode,NumDist,NumSubdist,NumberCases
0,2014,1,10,49,111,405
1,2014,1,80,22,68,118
2,2014,1,81,7,16,31
3,2014,2,10,49,110,313
4,2014,2,80,20,52,74
5,2014,2,81,5,14,19
6,2014,3,10,47,98,251
7,2014,3,80,19,60,98
8,2014,3,81,6,16,36
9,2014,4,10,46,85,168
10,2014,4,80,17,42,67
11,2014,4,81,6,19,40
12,2014,5,10,44,84,170
13,2014,5,80,21,61,149
14,2014,5,81,8,32,115
15,2014,6,10,47,93,212
16,2014,6,80,22,95,256
17,2014,6,81,8,38,205
18,2014,7,10,48,110,348
19,2014,7,80,23,121,492
20,2014,7,81,8,43,162
21,2014,8,10,49,115,408
22,2014,8,80,22,116,521
23,2014,8,81,8,33,105
24,2014,9,10,49,117,533
25,2014,9,80,21,111,466
26,2014,9,81,8,33,88
27,2014,10,10,51,126,625
28,2014,10,80,22,117,443
29,2014,10,81,7,25,78
30,2014,11,10,51,142,809
31,2014,11,80,21,99,339
32,2014,11,81,7,27,71
33,2014,12,10,51,130,476
34,2014,12,80,17,75,180
35,2014,12,81,4,22,53
36,2015,1,10,50,134,614
37,2015,1,80,22,83,179
38,2015,1,81,8,27,72
39,2015,2,10,50,116,444
40,2015,2,80,19,63,115
41,2015,2,81,8,26,53
42,2015,3,10,50,112,418
43,2015,3,80,21,52,88
44,2015,3,81,7,19,39
45,2015,4,10,50,111,414
46,2015,4,80,19,47,76
47,2015,4,81,7,23,63
48,2015,5,10,50,144,1001
49,2015,5,80,20,51,77
50,2015,5,81,8,35,111
51,2015,6,10,50,147,1099
52,2015,6,80,23,88,192
53,2015,6,81,8,37,234
54,2015,7,10,49,155,1590
55,2015,7,80,23,109,268
56,2015,7,81,8,49,306
57,2015,8,10,50,160,2390
58,2015,8,80,21,99,249
59,2015,8,81,8,46,277
60,2015,9,10,50,167,2814
61,2015,9,80,22,91,207
62,2015,9,81,8,40,216
63,2015,10,10,50,165,3955
64,2015,10,80,23,93,205
65,2015,10,81,8,34,139
66,2015,11,10,50,169,8324
67,2015,11,80,22,102,301
68,2015,11,81,8,41,125
69,2015,12,10,50,169,3177
70,2015,12,80,23,98,242
71,2015,12,81,7,23,56
72,2016,1,10,50,160,1911
73,2016,1,80,22,112,265
74,2016,1,81,7,25,39
75,2016,2,10,50,140,823
76,2016,2,80,23,91,173
77,2016,2,81,8,20,29
78,2016,3,10,50,132,535
79,2016,3,80,19,58,104
80,2016,3,81,6,15,38
81,2016,4,10,50,102,251
82,2016,4,80,15,29,40
83,2016,4,81,6,13,23
84,2016,5,10,43,72,124
85,2016,5,80,15,29,40
86,2016,5,81,5,11,18
87,2016,6,10,39,69,123
88,2016,6,80,20,49,67
89,2016,6,81,8,21,44
90,2016,7,10,50,110,361
91,2016,7,80,22,70,159
92,2016,7,81,7,32,81
93,2016,8,10,50,124,607
94,2016,8,80,23,113,307
95,2016,8,81,8,36,95
96,2016,9,10,50,131,623
97,2016,9,80,23,110,346
98,2016,9,81,7,23,59
99,2016,10,10,50,135,724
100,2016,10,80,23,111,301
101,2016,10,81,8,25,52
102,2016,11,10,50,130,780
103,2016,11,80,23,117,318
104,2016,11,81,6,23,49
105,2016,12,10,50,125,604
106,2016,12,80,20,73,163
107,2016,12,81,5,20,37
108,2017,1,10,50,136,537
109,2017,1,80,23,100,268
110,2017,1,81,5,11,17
111,2017,2,10,49,99,250
112,2017,2,80,22,96,268
113,2017,2,81,5,16,26
114,2017,3,10,47,87,215
115,2017,3,80,22,86,216
116,2017,3,81,7,22,42
117,2017,4,10,47,93,220
118,2017,4,80,23,91,207
119,2017,4,81,5,16,36
120,2017,5,10,49,104,275
121,2017,5,80,22,98,278
122,2017,5,81,5,17,56
123,2017,6,10,50,135,679
124,2017,6,80,23,110,297
125,2017,6,81,7,28,59
126,2017,7,10,50,150,1253
127,2017,7,80,23,100,265
128,2017,7,81,7,28,63
129,2017,8,10,50,155,1458
130,2017,8,80,22,106,284
131,2017,8,81,6,24,59
132,2017,9,10,50,147,1116
133,2017,9,80,21,89,213
134,2017,9,81,6,22,56
135,2017,10,10,50,149,1141
136,2017,10,80,21,96,247
137,2017,10,81,5,16,31
138,2017,11,10,50,149,1359
139,2017,11,80,23,103,274
140,2017,11,81,7,19,49
141,2017,12,10,50,137,858
142,2017,12,80,22,86,199
143,2017,12,81,7,17,34
144,2018,1,10,48,122,441
145,2018,1,80,23,82,180
146,2018,1,81,4,14,35
147,2018,2,10,50,117,388
148,2018,2,80,21,87,224
149,2018,2,81,6,18,41
150,2018,3,10,49,121,619
151,2018,3,80,22,75,205
152,2018,3,81,7,22,56
153,2018,4,10,49,132,614
154,2018,4,80,18,64,170
155,2018,4,81,8,34,83
156,2018,5,10,46,98,223
157,2018,5,80,20,76,218
158,2018,5,81,7,37,139
