Subdistrict_Code,Subdistrict_Name,District_Code,District_Name,Province_Code,Province_Name
100101,พระบรมมหาราชวัง,1001,เขตพระนคร,10,กรุงเทพมหานคร
100102,วังบูรพาภิรมย์,1001,เขตพระนคร,10,กรุงเทพมหานคร
100103,วัดราชบพิธ,1001,เขตพระนคร,10,กรุงเทพมหานคร
100104,สำราญราษฎร์,1001,เขตพระนคร,10,กรุงเทพมหานคร
100105,ศาลเจ้าพ่อเสือ,1001,เขตพระนคร,10,กรุงเทพมหานคร
100106,เสาชิงช้า,1001,เขตพระนคร,10,กรุงเทพมหานคร
100107,บวรนิเวศ,1001,เขตพระนคร,10,กรุงเทพมหานคร
100108,ตลาดยอด,1001,เขตพระนคร,10,กรุงเทพมหานคร
100109,ชนะสงคราม,1001,เขตพระนคร,10,กรุงเทพมหานคร
100110,บ้านพานถม,1001,เขตพระนคร,10,กรุงเทพมหานคร
100111,บางขุนพรหม,1001,เขตพระนคร,10,กรุงเทพมหานคร
100112,วัดสามพระยา,1001,เขตพระนคร,10,กรุงเทพมหานคร
100201,ดุสิต,1002,เขตดุสิต,10,กรุงเทพมหานคร
100202,วชิรพยาบาล,1002,เขตดุสิต,10,กรุงเทพมหานคร
100203,สวนจิตรลดา,1002,เขตดุสิต,10,กรุงเทพมหานคร
100204,สี่แยกมหานาค,1002,เขตดุสิต,10,กรุงเทพมหานคร
100206,ถนนนครไชยศรี,1002,เขตดุสิต,10,กรุงเทพมหานคร
100301,กระทุ่มราย,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100302,หนองจอก,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100303,คลองสิบ,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100304,คลองสิบสอง,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100305,โคกแฝด,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100306,คู้ฝั่งเหนือ,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100307,ลำผักชี,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100308,ลำต้อยติ่ง,1003,เขตหนองจอก,10,กรุงเทพมหานคร
100401,มหาพฤฒาราม,1004,เขตบางรัก,10,กรุงเทพมหานคร
100402,สีลม,1004,เขตบางรัก,10,กรุงเทพมหานคร
100403,สุริยวงศ์,1004,เขตบางรัก,10,กรุงเทพมหานคร
100404,บางรัก,1004,เขตบางรัก,10,กรุงเทพมหานคร
100405,สี่พระยา,1004,เขตบางรัก,10,กรุงเทพมหานคร
100502,อนุสาวรีย์,1005,เขตบางเขน,10,กรุงเทพมหานคร
100508,ท่าแร้ง,1005,เขตบางเขน,10,กรุงเทพมหานคร
100601,คลองจั่น,1006,เขตบางกะปิ,10,กรุงเทพมหานคร
100608,หัวหมาก,1006,เขตบางกะปิ,10,กรุงเทพมหานคร
100701,รองเมือง,1007,เขตปทุมวัน,10,กรุงเทพมหานคร
100702,วังใหม่,1007,เขตปทุมวัน,10,กรุงเทพมหานคร
100703,ปทุมวัน,1007,เขตปทุมวัน,10,กรุงเทพมหานคร
100704,ลุมพินี,1007,เขตปทุมวัน,10,กรุงเทพมหานคร
100801,ป้อมปราบ,1008,เขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร
100802,วัดเทพศิรินทร์,1008,เขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร
100803,คลองมหานาค,1008,เขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร
100804,บ้านบาตร,1008,เขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร
100805,วัดโสมนัส,1008,เขตป้อมปราบศัตรูพ่าย,10,กรุงเทพมหานคร
100905,บางจาก,1009,เขตพระโขนง,10,กรุงเทพมหานคร
101001,มีนบุรี,1010,เขตมีนบุรี,10,กรุงเทพมหานคร
101002,แสนแสบ,1010,เขตมีนบุรี,10,กรุงเทพมหานคร
101101,ลาดกระบัง,1011,เขตลาดกระบัง,10,กรุงเทพมหานคร
