,addrcode,Year,Month,Cases
0,1001,2014,1,1
1,1001,2014,2,2
2,1001,2014,3,2
3,1001,2014,4,2
4,1001,2014,5,5
5,1001,2014,6,2
6,1001,2014,7,0
7,1001,2014,8,3
8,1001,2014,9,2
9,1001,2014,10,2
10,1001,2014,11,11
11,1001,2014,12,6
12,1001,2015,1,3
13,1001,2015,2,4
14,1001,2015,3,1
15,1001,2015,4,2
16,1001,2015,5,14
17,1001,2015,6,12
18,1001,2015,7,19
19,1001,2015,8,18
20,1001,2015,9,13
21,1001,2015,10,25
22,1001,2015,11,49
23,1001,2015,12,25
24,1001,2016,1,20
25,1001,2016,2,9
26,1001,2016,3,3
27,1001,2016,4,1
28,1001,2016,5,1
29,1001,2016,6,1
30,1001,2016,7,7
31,1001,2016,8,8
32,1001,2016,9,6
33,1001,2016,10,6
34,1001,2016,11,7
35,1001,2016,12,5
36,1001,2017,1,4
37,1001,2017,2,1
38,1001,2017,3,1
39,1001,2017,4,2
40,1001,2017,5,1
41,1001,2017,6,3
42,1001,2017,7,10
43,1001,2017,8,11
44,1001,2017,9,6
45,1001,2017,10,4
46,1001,2017,11,7
47,1001,2017,12,2
48,1001,2018,1,2
49,1001,2018,2,2
50,1001,2018,3,0
51,1001,2018,4,2
52,1001,2018,5,8
53,1001,2018,6,0
54,1002,2014,1,7
55,1002,2014,2,6
56,1002,2014,3,4
57,1002,2014,4,2
58,1002,2014,5,7
59,1002,2014,6,4
60,1002,2014,7,3
61,1002,2014,8,7
62,1002,2014,9,4
63,1002,2014,10,4
64,1002,2014,11,15
65,1002,2014,12,2
66,1002,2015,1,4
67,1002,2015,2,0
68,1002,2015,3,1
69,1002,2015,4,3
70,1002,2015,5,4
71,1002,2015,6,8
72,1002,2015,7,13
73,1002,2015,8,21
74,1002,2015,9,26
75,1002,2015,10,48
76,1002,2015,11,71
77,1002,2015,12,34
78,1002,2016,1,31
79,1002,2016,2,5
80,1002,2016,3,3
81,1002,2016,4,2
82,1002,2016,5,1
83,1002,2016,6,0
84,1002,2016,7,0
85,1002,2016,8,6
86,1002,2016,9,4
87,1002,2016,10,5
88,1002,2016,11,5
89,1002,2016,12,3
90,1002,2017,1,2
91,1002,2017,2,0
92,1002,2017,3,0
93,1002,2017,4,1
94,1002,2017,5,2
95,1002,2017,6,10
96,1002,2017,7,24
97,1002,2017,8,13
98,1002,2017,9,15
99,1002,2017,10,9
100,1002,2017,11,8
101,1002,2017,12,4
102,1002,2018,1,3
103,1002,2018,2,2
104,1002,2018,3,5
105,1002,2018,4,1
106,1002,2018,5,0
107,1002,2018,6,0
108,1003,2014,1,8
109,1003,2014,2,11
110,1003,2014,3,8
111,1003,2014,4,3
112,1003,2014,5,7
113,1003,2014,6,6
114,1003,2014,7,9
115,1003,2014,8,15
116,1003,2014,9,7
117,1003,2014,10,17
118,1003,2014,11,26
119,1003,2014,12,13
120,1003,2015,1,9
121,1003,2015,2,6
122,1003,2015,3,5
123,1003,2015,4,5
124,1003,2015,5,20
125,1003,2015,6,43
126,1003,2015,7,56
127,1003,2015,8,91
128,1003,2015,9,66
129,1003,2015,10,97
130,1003,2015,11,115
131,1003,2015,12,46
132,1003,2016,1,28
133,1003,2016,2,21
134,1003,2016,3,13
135,1003,2016,4,7
136,1003,2016,5,5
137,1003,2016,6,12
138,1003,2016,7,21
139,1003,2016,8,27
