,addrcode,DFp10000Pop
0,100101,63.585
1,100102,42.292
2,100103,79.365
3,100104,84.523
4,100105,54.878
5,100106,63.559
6,100107,80.725
7,100108,96.974
8,100109,133.597
9,100110,68.768
10,100111,76.078
11,100112,73.727
12,100201,128.995
13,100202,73.276
14,100203,113.371
15,100204,118.655
16,100301,85.137
17,100302,112.042
18,100303,54.403
19,100304,58.91
20,100305,77.417
21,100306,61.374
22,100307,67.866
23,100401,73.677
24,100402,46.784
25,100403,69.224
26,100404,141.282
27,100405,91.06
28,100502,80.175
29,100508,51.837
30,100601,112.635
31,100608,154.955
32,100701,70.235
33,100702,99.698
34,100703,171.645
35,100704,71.753
36,100801,94.138
37,100802,74.033
38,100803,90.752
39,100804,66.769
40,100805,83.033
41,101001,83.386
42,101002,96.581
43,101102,68.367
44,101103,66.525
45,101104,79.76
46,101105,39.901
47,101106,56.469
48,101203,90.822
49,101204,114.138
50,101301,52.083
51,101302,73.905
52,101303,63.259
53,101401,107.764
54,101501,77.088
55,101502,53.573
56,101503,85.376
57,101504,253.046
58,101505,74.354
59,101506,70.834
60,101507,53.245
61,101601,104.159
62,101602,86.907
63,101701,177.097
64,101702,81.496
65,101704,104.75
66,101801,76.096
67,101802,106.197
68,101803,82.776
69,101804,68.701
70,101901,62.852
71,101902,105.045
72,101904,93.897
73,101905,73.575
74,101907,60.616
75,102004,90.079
76,102005,95.623
77,102006,128.273
78,102007,86.81
79,102009,116.38
80,102105,85.569
81,102107,75.934
82,102201,73.729
83,102202,66.989
84,102206,75.619
85,102207,110.474
86,102208,82.74
87,102209,88.842
88,102210,76.722
89,102302,64.56
90,102303,62.052
91,102401,122.083
92,102402,88.504
93,102501,145.0
94,102502,108.889
95,102503,111.409
96,102504,124.265
97,102601,118.016
98,102701,118.251
99,102801,56.585
100,102802,74.035
101,102803,83.914
102,102902,33.184
103,103001,160.978
104,103002,70.272
105,103003,111.676
106,103004,130.532
107,103005,109.103
108,103101,104.273
109,103102,73.176
110,103103,97.331
111,103201,106.775
112,103203,70.113
113,103301,101.207
114,103302,90.098
115,103303,65.606
116,103401,122.885
117,103501,80.478
118,103502,67.18
119,103503,90.142
120,103504,127.065
121,103602,87.368
122,103604,44.254
123,103605,25.383
124,103701,84.031
125,103702,117.166
126,103703,83.535
127,103704,112.099
128,103801,132.636
129,103802,83.87
130,103901,169.531
131,103902,97.049
132,103903,192.987
133,104001,157.482
134,104003,62.838
135,104004,76.177
136,104101,78.845
137,104102,79.732
138,104201,41.595
139,104202,43.762
140,104203,50.085
141,104301,97.829
142,104302,28.038
143,104401,114.127
144,104501,266.567
145,104502,69.187
146,104503,80.467
147,104504,87.099
148,104601,60.911
149,104602,53.789
150,104603,56.332
151,104604,73.492
152,104605,63.438
153,104701,83.24
154,104801,83.138
155,104802,52.825
156,104901,71.316
157,104902,62.171
158,105001,100.993
