,addrcode,DFp10000Pop
0,1001,918.071
1,1002,434.297
2,1003,517.149
3,1004,422.027
4,1005,132.012
5,1006,267.59000000000003
6,1007,413.33099999999996
7,1008,408.725
8,1010,179.96699999999998
9,1011,311.022
10,1012,204.96
11,1013,189.247
12,1014,107.764
13,1015,667.516
14,1016,191.066
15,1017,363.343
16,1018,333.77
17,1019,395.98499999999996
18,1020,517.165
19,1021,161.503
20,1022,575.115
21,1023,126.612
22,1024,210.587
23,1025,489.563
24,1026,118.016
25,1027,118.251
26,1028,214.534
27,1029,33.184
28,1030,582.5609999999999
29,1031,274.78000000000003
30,1032,176.888
31,1033,256.911
32,1034,122.885
33,1035,364.865
34,1036,157.005
35,1037,396.83099999999996
36,1038,216.506
37,1039,459.567
38,1040,296.497
39,1041,158.577
40,1042,135.442
41,1043,125.86699999999999
42,1044,114.127
43,1045,503.32
44,1046,307.962
45,1047,83.24
46,1048,135.96300000000002
47,1049,133.487
48,1050,100.993
