,addrcode,DFp10000Pop
326,810103,151.488
327,810105,209.109
328,810106,236.032
329,810111,202.751
330,810115,203.017
331,810116,274.015
332,810117,152.911
333,810118,185.928
334,810201,154.193
335,810202,23.948
336,810203,22.664
337,810204,53.44
338,810205,18.052
339,810206,17.007
340,810303,108.434
341,810304,98.361
342,810305,66.286
343,810401,332.698
344,810402,100.262
345,810403,771.971
346,810404,74.267
347,810405,137.71
348,810406,63.958
349,810407,92.122
350,810501,186.799
351,810503,52.546
352,810504,107.681
353,810505,117.556
354,810506,868.483
355,810507,55.172
356,810508,48.556
357,810509,69.252
358,810601,94.756
359,810602,17.046
360,810603,52.507
361,810604,44.27
362,810701,180.567
363,810702,56.078
364,810703,1169.877
365,810704,25.747
366,810801,193.985
367,810803,34.468
368,810804,34.644
369,810805,31.032
370,810806,16.631
371,810807,33.248
372,810808,28.317
