,addrcode,DFp10000Pop
159,800101,111.269
160,800102,92.635
161,800103,84.665
162,800106,61.147
163,800107,88.686
164,800108,98.19
165,800112,70.091
166,800113,67.237
167,800114,75.803
168,800115,130.705
169,800116,109.156
170,800118,87.892
171,800119,21.233
172,800120,78.944
173,800121,78.712
174,800122,84.118
175,800201,152.722
176,800202,148.649
177,800203,127.784
178,800204,129.285
179,800205,204.699
180,800301,99.738
181,800302,105.353
182,800303,102.834
183,800304,81.096
184,800305,94.211
185,800401,96.106
186,800403,99.87
187,800404,123.44
188,800405,80.552
189,800406,79.518
190,800407,68.847
191,800409,104.423
192,800410,94.882
193,800415,38.664
194,800416,77.727
195,800501,144.102
196,800502,146.209
197,800503,151.441
198,800504,113.598
199,800505,95.501
200,800601,68.539
201,800603,61.538
202,800604,67.797
203,800605,57.824
204,800606,49.955
205,800607,82.35
206,800610,75.54
207,800611,58.131
208,800612,72.112
209,800613,66.024
210,800701,38.634
211,800702,47.957
212,800703,45.662
213,800704,36.32
214,800705,26.203
215,800706,51.872
216,800707,47.393
217,800708,21.137
218,800709,60.052
219,800710,44.161
220,800711,30.516
221,800801,44.384
222,800802,56.445
223,800803,71.47
224,800804,84.303
225,800806,88.278
226,800807,61.181
227,800809,119.098
228,800810,92.922
229,800811,76.593
230,800813,65.169
231,800901,51.311
232,800902,66.988
233,800903,72.661
234,800904,50.549
235,800905,44.444
236,800906,52.744
237,800907,53.901
238,800908,41.237
239,800909,63.255
240,800910,42.232
241,800911,82.469
242,800912,77.728
243,800913,60.838
244,801001,128.16
245,801002,104.55
246,801003,129.123
247,801101,51.674
248,801102,23.132
249,801103,40.494
250,801104,54.041
251,801105,66.592
252,801106,19.726
253,801107,38.741
254,801202,8.927
255,801203,55.042
256,801204,22.599
257,801205,59.123
258,801206,17.489
259,801207,39.36
260,801208,41.258
261,801209,69.617
262,801210,56.673
263,801211,69.849
264,801212,45.851
265,801213,18.815
266,801214,67.402
267,801215,32.637
268,801216,62.827
269,801217,3.222
270,801218,42.347
271,801301,49.962
272,801303,51.528
273,801304,38.065
274,801305,58.553
275,801306,50.197
276,801401,72.305
277,801402,67.968
278,801403,87.048
279,801404,67.89
280,801405,86.387
281,801406,78.958
282,801407,64.814
283,801408,77.917
284,801409,69.849
285,801501,115.343
286,801502,73.677
287,801601,59.524
288,801602,86.447
289,801603,85.93
290,801604,74.7
291,801605,73.004
292,801606,16.634
293,801607,10.081
294,801608,43.712
295,801609,54.13
296,801610,22.8
297,801611,94.477
298,801701,79.439
299,801702,93.343
300,801703,52.211
301,801704,56.172
302,801801,33.193
303,801802,41.647
304,801803,38.451
305,801901,80.796
306,801902,66.445
307,801903,63.425
308,801904,57.283
309,801905,61.573
310,801906,79.625
311,802001,125.418
312,802002,87.884
313,802003,92.377
314,802004,90.878
315,802101,189.417
316,802102,164.514
317,802103,103.641
318,802104,163.573
319,802201,84.464
320,802202,75.511
321,802203,86.939
322,802301,55.348
323,802302,106.402
324,802303,71.056
325,802304,48.432
