"","addrcode","date","hi","ci","bi"
"1","810405","2017-06-01",22.5,6.47,22.5
"2","810405","2017-06-01",15,4.52,17.5
"3","800409","2017-06-01",17,3.18,17
"4","800904","2017-06-01",25,4.51,27.5
"5","800912","2017-06-01",15,8.95,42.5
"6","800903","2017-06-01",17.5,3.93,22.5
"7","801104","2017-06-01",26,4.28,26
"8","801104","2017-06-01",22.5,3.79,22.5
"9","801003","2017-06-01",20,6.22,30
"10","801701","2017-06-01",10,1.61,10
"11","801704","2017-06-01",10,1.14,10
"12","801702","2017-06-01",7.5,0.83,7.5
"13","801302","2017-06-01",8.75,4.15,35
"14","801302","2017-06-01",11.25,4.45,41.25
"15","801302","2017-06-01",10,4.33,37.5
"16","801302","2017-06-01",11.25,4.99,45
"17","801302","2017-06-01",10,3.98,36.25
"18","810115","2017-05-01",25,7.19,25
"19","800907","2017-05-01",17.5,2.68,17.5
"20","800910","2017-05-01",17.5,3.05,20
"21","800910","2017-05-01",17.5,6.15,27.5
"22","801107","2017-05-01",15.5,2.47,15.5
"23","801001","2017-05-01",15,7.32,22.5
"24","810205","2017-04-01",12.5,9.6,72.5
"25","810115","2017-04-01",17.5,12.85,57.5
"26","810504","2017-04-01",12.5,11.06,55
"27","801503","2017-04-01",15,8.63,60
"28","800801","2017-04-01",12.5,8.11,45
"29","802101","2017-04-01",15,7.52,60
"30","801003","2017-04-01",20,10.3,85
"31","800203","2017-04-01",10,6.51,47.5
"32","802002","2017-04-01",10,8.17,42.5
"33","800305","2017-04-01",22.5,13.48,107.5
"34","801402","2017-04-01",10,6.21,45
"35","810115","2017-03-01",7.5,6.52,22.5
"36","800706","2017-03-01",8.75,3.27,30
"37","800706","2017-03-01",8.75,3.75,36.25
"38","800904","2017-03-01",17.5,8.78,45
"39","800909","2017-03-01",20,2.67,12.5
"40","800912","2017-03-01",22.5,5.65,32.5
"41","800912","2017-03-01",32.5,6.93,35
"42","800910","2017-03-01",15,4.48,22.5
"43","801003","2017-03-01",20,4.74,22.5
"44","801701","2017-03-01",7.5,0.82,7.5
"45","801702","2017-03-01",7.5,0.86,7.5
"46","801302","2017-03-01",11.25,4.69,42.5
"47","810304","2017-02-01",20,8.2,25
"48","810205","2017-02-01",15,10.65,77.5
"49","810407","2017-02-01",22.5,5.5,15
"50","810407","2017-02-01",17.5,6.67,17.5
"51","810405","2017-02-01",5,1.71,5
"52","810115","2017-02-01",12.5,8.21,27.5
"53","810702","2017-02-01",15,3.19,15
"54","810504","2017-02-01",7.5,5.81,25
"55","801503","2017-02-01",20,10.21,72.5
"56","800409","2017-02-01",23.33,2.98,23.33
"57","800710","2017-02-01",11.67,6.48,49.17
"58","800913","2017-02-01",15,3.1,20
"59","800909","2017-02-01",25,4.01,27.5
"60","800912","2017-02-01",60,11.18,92.5
"61","800910","2017-02-01",17.5,4.64,27.5
"62","802101","2017-02-01",20,8.28,67.5
"63","801003","2017-02-01",22.5,12.38,100
"64","801701","2017-02-01",7.5,0.79,7.5
"65","801704","2017-02-01",7.5,0.8,7.5
"66","801702","2017-02-01",5,0.5,5
"67","800203","2017-02-01",12.5,7.02,52.5
"68","800502","2017-02-01",18.75,2.53,18.75
"69","801302","2017-02-01",10,4.76,42.5
"70","801402","2017-02-01",12.5,7.51,55
"71","810115","2017-01-01",22.5,13.01,40
"72","800409","2017-01-01",17.5,2.16,17.5
"73","800708","2017-01-01",10,8.11,60
"74","800710","2017-01-01",10,4.95,46.25
"75","800709","2017-01-01",13.75,4.85,47.5
"76","800711","2017-01-01",7.5,4.44,40
"77","800705","2017-01-01",12.5,4.96,47.5
"78","800913","2017-01-01",50,23.18,135
"79","800907","2017-01-01",27.5,10.33,62.5
"80","800904","2017-01-01",75,28.57,195
"81","800909","2017-01-01",30,10.6,57.5
"82","800912","2017-01-01",42.5,7.98,52.5
"83","800912","2017-01-01",42.5,13.38,52.5
"84","801104","2017-01-01",36.25,3.62,36.25
"85","801104","2017-01-01",28.75,2.85,28.75
"86","801701","2017-01-01",7.5,0.85,7.5
"87","801702","2017-01-01",5,0.61,5
"88","801703","2017-01-01",7.5,0.79,7.5
"89","800502","2017-01-01",20,2.11,20
"90","801904","2016-12-01",12.5,4.89,42.5
"91","103005","2016-12-01",0,0,0
"92","800409","2016-12-01",15.19,2.2,15.19
"93","801107","2016-12-01",16,2.48,16
"94","801701","2016-12-01",7.5,0.82,7.5
"95","801704","2016-12-01",5,0.63,5
"96","801702","2016-12-01",5,0.59,5
"97","800502","2016-12-01",20.83,2.38,20.83
"98","800705","2016-11-01",5,2.32,20
"99","801104","2016-11-01",14.17,2.14,14.17
"100","800710","2016-10-01",12.5,6.3,42.5
"101","800710","2016-10-01",10,6.28,37.5
"102","800703","2016-10-01",7.5,2.58,22.5
"103","800705","2016-10-01",5,2.01,17.5
"104","801107","2016-10-01",12.5,1.97,12.5
"105","801107","2016-10-01",15,2.08,15
"106","801107","2016-10-01",17.5,2.67,17.5
"107","801104","2016-10-01",20,3.01,20
"108","800409","2016-09-01",11.67,1.2,11.67
"109","800703","2016-09-01",15,4.4,38.75
"110","800705","2016-09-01",12.5,7.54,47.5
"111","801107","2016-09-01",10,1.15,10
"112","801701","2016-09-01",7.5,0.68,7.5
"113","801704","2016-09-01",7.5,0.72,7.5
"114","801702","2016-09-01",5,0.66,5
"115","801703","2016-09-01",10,1.09,10
"116","800502","2016-09-01",8.75,0.81,8.75
"117","810402","2016-08-01",15,6.06,25
"118","810403","2016-08-01",20,6.34,22.5
"119","810403","2016-08-01",17.5,4.76,17.5
"120","810803","2016-08-01",6.67,3.02,20
"121","810803","2016-08-01",10,2.7,13.33
"122","801904","2016-08-01",10,3.47,28.75
"123","801904","2016-08-01",8.75,2.77,22.5
"124","801904","2016-08-01",10,3.59,28.75
"125","800409","2016-08-01",10.83,1.76,10.83
"126","800708","2016-08-01",7.5,1.88,17.5
"127","800707","2016-08-01",12.5,4.4,37.5
"128","800709","2016-08-01",8.75,2.67,23.75
"129","800709","2016-08-01",11.25,3.29,28.75
"130","800703","2016-08-01",10,3.39,32.5
"131","800703","2016-08-01",15,8.7,55
"132","801107","2016-08-01",10,1.72,10
"133","801107","2016-08-01",15,2.7,15
"134","801107","2016-08-01",23.81,3.92,23.81
"135","801107","2016-08-01",13.89,2.09,13.89
"136","801003","2016-08-01",20,9.05,73.33
"137","801701","2016-08-01",2.5,0.23,2.5
"138","801701","2016-08-01",5,0.61,5
"139","801701","2016-08-01",5,0.56,5
"140","801702","2016-08-01",5,0.55,5
"141","801702","2016-08-01",7.5,0.96,7.5
"142","800502","2016-08-01",11.25,1.66,11.25
"143","810115","2016-07-01",20,8.91,30
"144","810115","2016-07-01",33.33,12.55,96.67
"145","800415","2016-07-01",12.5,1.92,12.5
"146","800404","2016-07-01",10,1.47,10
"147","800404","2016-07-01",12.5,1.92,12.5
"148","800404","2016-07-01",15,2.51,15
"149","800409","2016-07-01",21.25,3.28,21.25
"150","800705","2016-07-01",10,2.91,26.25
"151","800705","2016-07-01",7.5,1.86,15
"152","800705","2016-07-01",7.5,2.69,20
"153","800705","2016-07-01",8.75,2.88,22.5
"154","800705","2016-07-01",5,1.7,11.25
"155","801701","2016-07-01",5,0.48,5
"156","801701","2016-07-01",7.5,0.74,7.5
"157","801701","2016-07-01",5,0.48,5
"158","801704","2016-07-01",5,0.48,5
"159","801702","2016-07-01",5,0.5,5
"160","801302","2016-07-01",12.5,2.77,27.5
"161","810115","2016-06-01",36.67,13.39,150
"162","810115","2016-06-01",16.67,8,73.33
"163","730616","2016-06-01",0,0,0
"164","800409","2016-06-01",15.83,3.12,15.83
"165","800708","2016-06-01",7.5,1.57,17.5
"166","800708","2016-06-01",7.5,2.46,22.5
"167","800710","2016-06-01",15,3.24,30
"168","800710","2016-06-01",8.75,2.47,20
"169","800710","2016-06-01",11.25,3.63,30
"170","800710","2016-06-01",7.5,1.86,12.5
"171","800710","2016-06-01",10,2.31,18.75
"172","801107","2016-06-01",11.25,1.97,11.25
"173","801107","2016-06-01",9.01,1.45,9.01
"174","801104","2016-06-01",12.5,1.83,12.5
"175","801104","2016-06-01",15,2.18,15
"176","801105","2016-06-01",10,1.43,10
"177","801105","2016-06-01",17.5,2.43,17.5
"178","801105","2016-06-01",15,2.26,15
"179","801701","2016-06-01",5,0.57,5
"180","801701","2016-06-01",5,0.57,5
"181","801701","2016-06-01",7.5,0.84,7.5
"182","801704","2016-06-01",5,0.53,5
"183","801703","2016-06-01",7.5,0.84,7.5
"184","800502","2016-06-01",15,2.31,15
"185","800113","2016-06-01",16.67,7.51,53.33
"186","800409","2016-05-01",22.5,3.49,22.5
"187","800709","2016-05-01",11.25,3.36,23.75
"188","800709","2016-05-01",7.5,2.3,16.25
"189","800709","2016-05-01",5,1.64,12.5
"190","800709","2016-05-01",6.25,2.01,15
"191","800709","2016-05-01",10,2.56,21.25
"192","801107","2016-05-01",31.25,4.84,31.25
"193","801107","2016-05-01",12.2,1.76,12.2
"194","801107","2016-05-01",15,2.31,15
"195","801107","2016-05-01",17.5,2.4,17.5
"196","801107","2016-05-01",15,2.7,15
"197","801104","2016-05-01",30,4.27,30
"198","801104","2016-05-01",22.5,3.67,22.5
"199","801104","2016-05-01",20,3.19,20
"200","801701","2016-05-01",7.5,0.81,7.5
"201","801701","2016-05-01",5,0.58,5
"202","801704","2016-05-01",5,0.47,5
"203","801702","2016-05-01",7.5,0.86,7.5
"204","801703","2016-05-01",7.5,0.81,7.5
"205","760208","2016-05-01",3,0.59,3
"206","750209","2016-05-01",7,1.7,10
"207","810304","2016-04-01",10,5,23.33
"208","810406","2016-04-01",7.5,2.45,10
"209","810407","2016-04-01",7.5,1.75,7.5
"210","800706","2016-04-01",12.5,4.11,28.75
"211","800706","2016-04-01",10,3.37,27.5
"212","800706","2016-04-01",13.75,4.15,32.5
"213","800706","2016-04-01",8.75,2.17,13.75
"214","800706","2016-04-01",11.25,3.42,22.5
"215","800705","2016-04-01",5,2.24,17.5
"216","800705","2016-04-01",7.5,1.59,11.25
"217","800705","2016-04-01",7.5,2.96,15
"218","800705","2016-04-01",7.5,4.41,22.5
