"","addrcode","date","hi","ci","bi"
"1",810111,"2016-02-01",7.5,3,20
"2",810115,"2016-07-01",26.665,10.73,63.335
"3",810115,"2016-02-01",15,5.05,25
"4",810115,"2017-05-01",25,7.19,25
"5",810115,"2017-03-01",7.5,6.52,22.5
"6",810115,"2017-02-01",12.5,8.21,27.5
"7",810115,"2017-01-01",22.5,13.01,40
"8",810116,"2015-11-01",20,5.37,20
"9",810116,"2015-08-01",12.5,5.125,25
"10",810116,"2016-01-01",14,6.14,37
"11",810205,"2017-04-01",12.5,9.6,72.5
"12",810205,"2017-02-01",15,10.65,77.5
"13",810302,"2016-03-01",50,14.64,87.5
"14",810304,"2015-06-01",12.5,2.87,12.5
"15",810304,"2016-04-01",10,5,23.33
"16",810304,"2016-03-01",27.5,8.46,42.5
"17",810304,"2017-02-01",20,8.2,25
"18",810305,"2015-05-01",15,5.04,17
"19",810305,"2015-01-01",13,5.39,22
"20",810401,"2015-07-01",7.5,2.1,7.5
"21",810401,"2015-03-01",10,2.44,10
"22",810402,"2015-04-01",45,10.21,60
"23",810402,"2016-08-01",15,6.06,25
"24",810403,"2015-12-01",22.5,5.52,22.5
"25",810403,"2016-08-01",18.75,5.55,20
"26",810403,"2016-01-01",15,8.18,32.5
"27",810405,"2015-09-01",15,6.25,25
"28",810405,"2015-02-01",18,3.68,24
"29",810405,"2017-06-01",18.75,5.495,20
"30",810405,"2017-02-01",5,1.71,5
"31",810406,"2016-04-01",7.5,2.45,10
"32",810407,"2016-04-01",7.5,1.75,7.5
"33",810407,"2017-02-01",20,6.085,16.25
"34",810501,"2015-05-01",0,0,0
"35",810501,"2015-02-01",23,1.46,37
"36",810504,"2016-02-01",15,2.47,20
"37",810504,"2017-04-01",12.5,11.06,55
"38",810504,"2017-02-01",7.5,5.81,25
"39",810701,"2015-08-01",40,12.7,80
"40",810702,"2017-02-01",15,3.19,15
"41",810704,"2015-07-01",73.33,28.67,236.67
"42",810704,"2015-06-01",57.05,31.7133333333333,248.643333333333
"43",810803,"2016-08-01",8.335,2.86,16.665
