"","addrcode","date","hi","ci","bi"
"1",800106,"2016-01-01",15,7.68,68
"2",800112,"2015-11-01",27.5,5.79,57.5
"3",800113,"2016-06-01",16.67,7.51,53.33
"4",800114,"2015-11-01",32.5,5.2,57.5
"5",800115,"2015-05-01",9,5.85,38
"6",800115,"2015-02-01",16,6.84,42
"7",800118,"2016-02-01",7.5,2.57,17.5
"8",800201,"2016-03-01",17.5,4.18,30
"9",800203,"2017-04-01",10,6.51,47.5
"10",800203,"2017-02-01",12.5,7.02,52.5
"11",800204,"2015-05-01",9,5.49,32
"12",800204,"2015-02-01",13,6.36,35
"13",800303,"2016-03-01",13.33,4.64,30
"14",800304,"2015-05-01",7,5.68,34
"15",800304,"2015-02-01",8,5.92,33
"16",800305,"2016-02-01",17.5,4.09,32.5
"17",800305,"2017-04-01",22.5,13.48,107.5
"18",800404,"2015-04-01",16.25,2.4325,16.25
"19",800404,"2015-03-01",15.625,2.73,15.625
"20",800404,"2015-02-01",15,1.87,18
"21",800404,"2016-07-01",12.5,1.96666666666667,12.5
"22",800409,"2016-12-01",15.19,2.2,15.19
"23",800409,"2016-06-01",15.83,3.12,15.83
"24",800409,"2016-03-01",15.835,2.155,15.835
"25",800409,"2017-06-01",17,3.18,17
"26",800409,"2017-01-01",17.5,2.16,17.5
"27",800415,"2015-03-01",17.5,2.88,17.5
"28",800415,"2016-07-01",12.5,1.92,12.5
"29",800502,"2016-12-01",20.83,2.38,20.83
"30",800502,"2016-06-01",15,2.31,15
"31",800502,"2016-04-01",18.125,2.85,18.125
"32",800502,"2016-03-01",20.835,2.655,20.415
"33",800502,"2017-02-01",18.75,2.53,18.75
"34",800502,"2017-01-01",20,2.11,20
"35",800503,"2015-04-01",22.5,7.97,27.5
"36",800503,"2015-02-01",12,2.21,23
"37",800503,"2016-01-01",21.25,3.08,21.25
"38",800607,"2015-05-01",13,1.24,15
"39",800611,"2016-03-01",12.5,3.07,32.5
"40",800701,"2015-08-01",12.5,3.84,42.5
"41",800703,"2015-08-01",15,4.41,55
"42",800703,"2016-10-01",7.5,2.58,22.5
"43",800703,"2016-09-01",15,4.4,38.75
"44",800703,"2016-02-01",13.125,3.54,31.25
"45",800705,"2015-12-01",8.75,2.485,25
"46",800705,"2015-05-01",10,2.57,25
"47",800705,"2016-11-01",5,2.32,20
"48",800705,"2016-10-01",5,2.01,17.5
"49",800705,"2016-07-01",7.75,2.408,19
"50",800705,"2016-04-01",6.875,2.8,16.5625
"51",800705,"2016-03-01",12.5,3.46,32.5
"52",800705,"2016-02-01",8.125,3.275,26.875
"53",800705,"2017-01-01",12.5,4.96,47.5
"54",800706,"2015-06-01",10,3.734,31.5
"55",800706,"2015-02-01",19,3.42,31
"56",800706,"2016-04-01",11.25,3.444,25
"57",800706,"2016-01-01",11.25,3.39,31.25
"58",800706,"2017-03-01",8.75,3.51,33.125
"59",800707,"2016-08-01",12.5,4.4,37.5
"60",800708,"2015-09-01",7.5,2.355,21.25
"61",800708,"2016-08-01",7.5,1.88,17.5
"62",800708,"2016-06-01",7.5,2.015,20
"63",800708,"2017-01-01",10,8.11,60
"64",800709,"2015-12-01",8.5,3.888,29
"65",800709,"2015-09-01",11,4.076,33.5
"66",800709,"2015-08-01",10,3.69666666666667,30.8333333333333
"67",800709,"2016-08-01",10,2.98,26.25
"68",800709,"2016-05-01",8,2.374,17.75
"69",800709,"2016-03-01",9.375,2.245,18.75
"70",800709,"2017-01-01",13.75,4.85,47.5
"71",800710,"2015-08-01",10,3.69,30
"72",800710,"2015-04-01",11,3.948,30
"73",800710,"2016-10-01",11.25,6.29,40
"74",800710,"2016-06-01",10.5,2.702,22.25
"75",800710,"2017-02-01",11.67,6.48,49.17
"76",800710,"2017-01-01",10,4.95,46.25
"77",800711,"2017-01-01",7.5,4.44,40
"78",800801,"2016-02-01",20,8.46,67.5
"79",800801,"2017-04-01",12.5,8.11,45
"80",800806,"2015-05-01",9,1.86,9
"81",800806,"2015-02-01",21,3.95,21
"82",800809,"2016-03-01",10,4.37,33.33
"83",800902,"2015-07-01",33.82,6.6,30.88
"84",800902,"2016-03-01",6.67,1.4,6.67
"85",800903,"2017-06-01",17.5,3.93,22.5
"86",800904,"2017-06-01",25,4.51,27.5
"87",800904,"2017-03-01",17.5,8.78,45
"88",800907,"2015-11-01",17.5,8.97,65
"89",800907,"2016-01-01",14,5.13,36
"90",800907,"2017-05-01",17.5,2.68,17.5
"91",800907,"2017-01-01",27.5,10.33,62.5
"92",800909,"2015-06-01",17.5,7.50333333333333,45.8333333333333
"93",800909,"2015-03-01",7.5,2.63,15
"94",800909,"2017-03-01",20,2.67,12.5
"95",800909,"2017-02-01",25,4.01,27.5
"96",800910,"2017-05-01",17.5,4.6,23.75
"97",800910,"2017-03-01",15,4.48,22.5
"98",800911,"2015-04-01",12.5,6.75,40
"99",800912,"2017-06-01",15,8.95,42.5
"100",800912,"2017-03-01",27.5,6.29,33.75
"101",800912,"2017-01-01",42.5,10.68,52.5
"102",800913,"2015-05-01",23,4.36,29
"103",800913,"2015-04-01",15,4.875,41.25
"104",800913,"2015-02-01",29,7.81,41
"105",800913,"2017-02-01",15,3.1,20
"106",800913,"2017-01-01",50,23.18,135
"107",801001,"2017-05-01",15,7.32,22.5
"108",801003,"2016-08-01",20,9.05,73.33
"109",801003,"2017-06-01",20,6.22,30
"110",801003,"2017-04-01",20,10.3,85
"111",801003,"2017-03-01",20,4.74,22.5
"112",801101,"2015-11-01",15,2.17,15
"113",801101,"2016-03-01",12.5,1.995,12.5
"114",801101,"2016-01-01",13.75,2.14,13.75
"115",801102,"2015-11-01",12.5,1.84,12.5
"116",801104,"2015-11-01",12.5,1.81,12.5
"117",801104,"2015-07-01",15,2.37,15
"118",801104,"2015-06-01",15,2.43,15
"119",801104,"2015-04-01",14.1666666666667,2.16333333333333,14.1666666666667
"120",801104,"2016-11-01",14.17,2.14,14.17
"121",801104,"2016-10-01",20,3.01,20
"122",801104,"2016-06-01",13.75,2.005,13.75
"123",801104,"2016-03-01",15.625,2.5575,15.625
"124",801104,"2016-01-01",15,1.91,15
"125",801104,"2017-06-01",24.25,4.035,24.25
"126",801104,"2017-01-01",32.5,3.235,32.5
"127",801105,"2015-11-01",16.25,2.575,16.25
"128",801105,"2015-10-01",15,2.425,15
"129",801105,"2015-07-01",15,2.39,15
"130",801105,"2016-06-01",14.1666666666667,2.04,14.1666666666667
"131",801105,"2016-01-01",20,2.915,20
"132",801107,"2015-09-01",13.08,1.992,12.58
"133",801107,"2015-08-01",12.98,2.202,12.98
"134",801107,"2015-07-01",12.1875,1.84875,12.1875
"135",801107,"2015-06-01",11.5625,1.7525,11.5625
"136",801107,"2015-04-01",13.75,2.07333333333333,13.75
"137",801107,"2016-12-01",16,2.48,16
"138",801107,"2016-10-01",15,2.24,15
"139",801107,"2016-08-01",15.675,2.6075,15.675
"140",801107,"2016-04-01",16.925,2.91,16.925
"141",801107,"2016-03-01",14.1666666666667,2.26333333333333,14.1666666666667
"142",801107,"2016-02-01",17.5,2.77,17.5
"143",801107,"2016-01-01",12.5,1.6525,12.5
"144",801107,"2017-05-01",15.5,2.47,15.5
"145",801302,"2015-05-01",2,0.59,6
"146",801302,"2015-02-01",24,6.32,62
"147",801302,"2016-07-01",12.5,2.77,27.5
"148",801302,"2016-03-01",8.33333333333333,2.73666666666667,22.0833333333333
"149",801302,"2017-03-01",11.25,4.69,42.5
"150",801302,"2017-02-01",10,4.76,42.5
"151",801402,"2015-05-01",7,1.28,7
"152",801402,"2015-02-01",26,4.41,26
"153",801402,"2017-04-01",10,6.21,45
"154",801402,"2017-02-01",12.5,7.51,55
"155",801404,"2016-03-01",16.67,6.44,50
"156",801501,"2015-05-01",5,0.93,5
"157",801501,"2015-02-01",16,2.44,15
"158",801503,"2016-03-01",10,2.4,16.67
"159",801503,"2017-04-01",15,8.63,60
"160",801503,"2017-02-01",20,10.21,72.5
"161",801602,"2015-05-01",4,0.58,8
"162",801602,"2015-02-01",34,9.91,136
"163",801604,"2016-03-01",7.5,1.46,12.5
"164",801701,"2015-12-01",5.83333333333333,0.63,5.83333333333333
"165",801701,"2015-08-01",6.25,0.53,5
"166",801701,"2015-07-01",5,0.465,5
"167",801701,"2015-06-01",5.83333333333333,0.596666666666667,5.83333333333333
"168",801701,"2015-04-01",5,0.41,5
"169",801701,"2016-12-01",7.5,0.82,7.5
"170",801701,"2016-09-01",7.5,0.68,7.5
"171",801701,"2016-08-01",4.16666666666667,0.466666666666667,4.16666666666667
"172",801701,"2016-07-01",5.83333333333333,0.566666666666667,5.83333333333333
"173",801701,"2016-06-01",5.83333333333333,0.66,5.83333333333333
"174",801701,"2016-05-01",6.25,0.695,6.25
"175",801701,"2016-04-01",5,0.65,5
"176",801701,"2016-02-01",6.25,0.55,6.25
"177",801701,"2016-01-01",6.25,0.63,6.25
"178",801701,"2017-03-01",7.5,0.82,7.5
"179",801701,"2017-02-01",7.5,0.79,7.5
"180",801701,"2017-01-01",7.5,0.85,7.5
"181",801702,"2015-08-01",5,0.495,5
"182",801702,"2015-07-01",5,0.475,5
"183",801702,"2015-06-01",3.75,0.41,3.75
"184",801702,"2015-04-01",5,0.525,5
"185",801702,"2016-12-01",5,0.59,5
"186",801702,"2016-09-01",5,0.66,5
"187",801702,"2016-08-01",6.25,0.755,6.25
"188",801702,"2016-07-01",5,0.5,5
"189",801702,"2016-05-01",7.5,0.86,7.5
"190",801702,"2016-04-01",6.66666666666667,0.69,6.66666666666667
"191",801702,"2016-02-01",7.5,0.685,7.5
"192",801702,"2016-01-01",5,0.49,5
"193",801702,"2017-06-01",7.5,0.83,7.5
"194",801702,"2017-03-01",7.5,0.86,7.5
"195",801702,"2017-02-01",5,0.5,5
"196",801702,"2017-01-01",5,0.61,5
"197",801703,"2015-07-01",2.5,0.24,2.5
"198",801703,"2016-09-01",10,1.09,10
"199",801703,"2016-06-01",7.5,0.84,7.5
"200",801703,"2016-05-01",7.5,0.81,7.5
"201",801703,"2017-01-01",7.5,0.79,7.5
"202",801704,"2015-12-01",5,0.59,5
"203",801704,"2015-04-01",3.75,0.285,3.75
"204",801704,"2015-03-01",5,0.5,5
"205",801704,"2016-12-01",5,0.63,5
"206",801704,"2016-09-01",7.5,0.72,7.5
"207",801704,"2016-07-01",5,0.48,5
"208",801704,"2016-06-01",5,0.53,5
"209",801704,"2016-05-01",5,0.47,5
"210",801704,"2016-02-01",5,0.36,5
"211",801704,"2016-01-01",5,0.395,5
"212",801704,"2017-06-01",10,1.14,10
"213",801704,"2017-02-01",7.5,0.8,7.5
"214",801801,"2015-05-01",15,2.96,27
"215",801801,"2015-02-01",20,3.01,27
"216",801904,"2015-12-01",10.5,4.882,37.5
"217",801904,"2016-08-01",9.58333333333333,3.27666666666667,26.6666666666667
"218",801904,"2016-02-01",10.4166666666667,3.25333333333333,27.5
"219",801904,"2016-01-01",11.6666666666667,3.79,38.3333333333333
"220",801905,"2015-08-01",10,3.99,32.5
"221",802001,"2015-05-01",6,1.74,6
