,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,1001,15,2014,0,0,0,0,0.197207541,0.197207541,0,0,0.098603771,0.098603771,0,0.049301885,0.098603771,0.098603771,0.098603771,0,0.010977774,4.410540847,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
1,1001,16,2014,0.394415082,0,0,0,0,0.197207541,0.197207541,0,0.098603771,0.098603771,0.098603771,0,0.049301885,0.098603771,0.098603771,0.098603771,0.07040312,4.347273658,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
2,1001,17,2014,0,0.394415082,0,0,0,0,0.197207541,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0,0.049301885,0.098603771,0.098603771,0,4.421014514,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
3,1001,18,2014,0,0,0.394415082,0,0,0,0,0.197207541,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0,0.049301885,0.098603771,0.87990115,4.620772444,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
4,1001,19,2014,0.591622624,0,0,0.394415082,0,0,0,0,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0,0.049301885,2.640455352,4.728712164,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
5,1001,20,2014,0.197207541,0.591622624,0,0,0.394415082,0,0,0,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,0,0,4.595013457,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
6,1001,21,2014,0.197207541,0.197207541,0.591622624,0,0,0.394415082,0,0,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0.098603771,1.24515023,4.398338102,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
7,1001,22,2014,0.197207541,0.197207541,0.197207541,0.591622624,0,0,0.394415082,0,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.098603771,0,4.55581161,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
8,1001,23,2014,0,0.197207541,0.197207541,0.197207541,0.591622624,0,0,0.394415082,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.098603771,0.761777297,4.655137837,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
9,1001,24,2014,0.197207541,0,0.197207541,0.197207541,0.197207541,0.591622624,0,0,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.246509427,0.21892889,4.49830919,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
10,1001,25,2014,0,0.197207541,0,0.197207541,0.197207541,0.197207541,0.591622624,0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.197207541,0.628891094,4.582130421,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
11,1001,26,2014,0,0,0.197207541,0,0.197207541,0.197207541,0.197207541,0.591622624,0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.246509427,0.315097196,4.640019048,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
12,1001,27,2014,0,0,0,0.197207541,0,0.197207541,0.197207541,0.197207541,0,0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.295811312,0.176772234,4.569258014,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
13,1001,28,2014,0,0,0,0,0.197207541,0,0.197207541,0.197207541,0,0,0,0.049301885,0.049301885,0.098603771,0.147905656,0.147905656,0.247877129,4.554699049,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
14,1001,29,2014,0,0,0,0,0,0.197207541,0,0.197207541,0,0,0,0,0.049301885,0.049301885,0.098603771,0.147905656,2.143122099,4.65522996,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
15,1001,30,2014,0,0,0,0,0,0,0.197207541,0,0.049301885,0,0,0,0,0.049301885,0.049301885,0.098603771,2.252699329,4.677378437,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
16,1001,31,2014,0,0,0,0,0,0,0,0.197207541,0.147905656,0.049301885,0,0,0,0,0.049301885,0.049301885,2.262298615,4.568506857,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
17,1001,32,2014,0.197207541,0,0,0,0,0,0,0,0.147905656,0.147905656,0.049301885,0,0,0,0,0.049301885,0.297101667,4.370315018,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
18,1001,33,2014,0.394415082,0.197207541,0,0,0,0,0,0,0.147905656,0.147905656,0.147905656,0.049301885,0,0,0,0,0.008170672,4.301913747,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
19,1001,34,2014,0,0.394415082,0.197207541,0,0,0,0,0,0.098603771,0.147905656,0.147905656,0.147905656,0.049301885,0,0,0,0.163463563,4.400329375,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
20,1001,35,2014,0,0,0.394415082,0.197207541,0,0,0,0,0.049301885,0.098603771,0.147905656,0.147905656,0.147905656,0.049301885,0,0,0.952710357,4.330882864,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
21,1001,36,2014,0,0,0,0.394415082,0.197207541,0,0,0,0.098603771,0.049301885,0.098603771,0.147905656,0.147905656,0.147905656,0.049301885,0,0.247375861,4.006542853,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
22,1001,37,2014,0.197207541,0,0,0,0.394415082,0.197207541,0,0,0.098603771,0.098603771,0.049301885,0.098603771,0.147905656,0.147905656,0.147905656,0.049301885,2.850837619,3.945217332,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
23,1001,38,2014,0.197207541,0.197207541,0,0,0,0.394415082,0.197207541,0,0.098603771,0.098603771,0.098603771,0.049301885,0.098603771,0.147905656,0.147905656,0.147905656,0.059274966,4.270386449,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
24,1001,39,2014,0,0.197207541,0.197207541,0,0,0,0.394415082,0.197207541,0.049301885,0.098603771,0.098603771,0.098603771,0.049301885,0.098603771,0.147905656,0.147905656,1.04687359,4.427413514,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
25,1001,40,2014,0,0,0.197207541,0.197207541,0,0,0,0.394415082,0.098603771,0.049301885,0.098603771,0.098603771,0.098603771,0.049301885,0.098603771,0.147905656,0.424649363,4.452152062,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
26,1001,41,2014,0,0,0,0.197207541,0.197207541,0,0,0,0.098603771,0.098603771,0.049301885,0.098603771,0.098603771,0.098603771,0.049301885,0.098603771,0.792931116,4.365655724,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
27,1001,42,2014,0.394415082,0,0,0,0.197207541,0.197207541,0,0,0.147905656,0.098603771,0.098603771,0.049301885,0.098603771,0.098603771,0.098603771,0.049301885,1.56468365,4.390805282,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
28,1001,43,2014,0,0.394415082,0,0,0,0.197207541,0.197207541,0,0.345113197,0.147905656,0.098603771,0.098603771,0.049301885,0.098603771,0.098603771,0.098603771,2.103897862,4.514097642,0.032933659,0.017157056,0.100378638,0.014396151,0.004338566,0.304291236,0.019917962,0.004930189,0.498343457,33.527,17.466,102.188,14.656,4.417,309.777,20.277,5.019,507.328
