,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,8101,15,2014,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,0.930070337,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.58129396,0.58129396,0.319711678,0.523164564,0.465035168,0.0,4.8659375,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
1,8101,16,2014,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,0.232517584,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.58129396,0.58129396,0.319711678,0.523164564,0.0,4.825201613,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
2,8101,17,2014,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,0.58129396,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.58129396,0.58129396,0.319711678,0.0,4.647731855,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
3,8101,18,2014,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,0.348776376,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.58129396,0.58129396,0.000403289,4.523655914,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
4,8101,19,2014,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,0.116258792,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.58129396,0.0027078,4.420255376,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
5,8101,20,2014,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.278846713,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.639423356,0.107486202,4.277116935,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
6,8101,21,2014,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,0.58129396,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,1.104458525,0.245583982,4.257513441,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
7,8101,22,2014,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,0.58129396,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,1.075393827,0.5574994529999999,4.323071237,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
8,8101,23,2014,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.976399465,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,1.540428995,0.455179195,4.282956989,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
9,8101,24,2014,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.162587921,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,1.831075975,0.303215944,4.328195565,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
10,8101,25,2014,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,2.441434633,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.860140673,0.33106211,4.404331317,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
11,8101,26,2014,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.743881881,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,2.237981747,1.076513583,4.38469086,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
12,8101,27,2014,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,2.208917049,0.455006357,4.301895161,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
13,8101,28,2014,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,2.673952218,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,2.267046445,0.719295281,4.277745296,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
14,8101,29,2014,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,2.325175841,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,2.296111143,0.534780822,4.343874328,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
15,8101,30,2014,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.976399465,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.918270069,1.158170065,4.356780914,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
16,8101,31,2014,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,2.208917049,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,1.598558391,1.612350639,4.278951613,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
17,8101,32,2014,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,1.162587921,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,1.307911411,0.187913612,4.211616263,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
18,8101,33,2014,1.162587921,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,1.046329129,0.8138115440000001,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.017264431,0.355144243,4.223450941,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
19,8101,34,2014,0.465035168,1.162587921,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.8138115440000001,0.959135035,0.8138115440000001,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.133523223,1.4638825619999998,4.236693548,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
20,8101,35,2014,0.58129396,0.465035168,1.162587921,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,1.046329129,0.901005639,0.959135035,0.8138115440000001,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,1.046329129,1.579780227,4.210984543,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
21,8101,36,2014,1.627623089,0.58129396,0.465035168,1.162587921,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,1.627623089,0.988199733,0.901005639,0.959135035,0.8138115440000001,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,1.191652619,0.396798267,4.157133737,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
22,8101,37,2014,0.930070337,1.627623089,0.58129396,0.465035168,1.162587921,1.046329129,0.8138115440000001,1.046329129,1.395105505,0.697552752,0.930070337,0.988199733,0.901005639,0.959135035,0.8138115440000001,0.871940941,1.017264431,1.075393827,0.988199733,1.191652619,0.945137291,4.129522849,0.129,0.023,1.5019999999999998,0.027999999999999997,0.10400000000000001,1.1179999999999999,0.341,0.009000000000000001,3.253
