TB_IDN,TB_TN,TB_EN,AP_IDN,AP_TN,AP_EN,PV_IDN,PV_TN,PV_EN
100101,พระบรมมหาราชวัง, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100102,วังบูรพาภิรมย์, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100103,วัดราชบพิธ, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100104,สำราญราษฎร์, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100105,ศาลเจ้าพ่อเสือ, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100106,เสาชิงช้า, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100107,วัดบวรนิเวศน์, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100108,ตลาดยอด, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100109,ชนะสงคราม, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100110,บ้านพานถม, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100111,บางขุนพรหม, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100112,วัดสามพระยา, ,1001,พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok
100201,ป้อมปราบ, ,1002,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok
100202,วัดเทพศิรินทร์, ,1002,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok
100203,คลองมหานาค, ,1002,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok
100204,บ้านบาตร, ,1002,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok
100205,วัดโสมนัส, ,1002,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok
100301,จักรวรรดิ, ,1003,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok
100302,สัมพันธวงศ์, ,1003,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok
100303,ตลาดน้อย, ,1003,สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok
100401,รองเมือง, ,1004,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok
100402,วังใหม่, ,1004,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok
100403,ปทุมวัน, ,1004,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok
100404,ลุมพินี, ,1004,ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok
100501,มหาพฤฒาราม, ,1005,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok
100502,สี่พระยา, ,1005,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok
100503,สีลม, ,1005,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok
100504,สุรวงศ์, ,1005,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok
100505,บางรัก, ,1005,บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok
100601,ช่องนนทรี, ,1006,ยานนาวา,Yannawa,10,กรุงเทพมหานคร,Bangkok
100602,บางโพงพาง, ,1006,ยานนาวา,Yannawa,10,กรุงเทพมหานคร,Bangkok
100701,ยานนาวา, ,1007,สาธร,Sa Thon,10,กรุงเทพมหานคร,Bangkok
100702,ทุ่งวัดดอน, ,1007,สาธร,Sa Thon,10,กรุงเทพมหานคร,Bangkok
100703,ทุ่งมหาเมฆ, ,1007,สาธร,Sa Thon,10,กรุงเทพมหานคร,Bangkok
100801,บางคอแหลม, ,1008,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok
100802,บางโคล่, ,1008,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok
100803,วัดพระยาไกร, ,1008,บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok
100901,ดุสิต, ,1009,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok
100902,วชิรพยาบาล, ,1009,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok
100903,สวนจิตรลดา, ,1009,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok
100904,สี่แยกมหานาค, ,1009,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok
100905,ถนนนครไชยศรี, ,1009,ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok
101001,บางซื่อ, ,1010,บางซื่อ,Bang Su,10,กรุงเทพมหานคร,Bangkok
101101,สามเสนใน, ,1011,พญาไท,Phaya Thai,10,กรุงเทพมหานคร,Bangkok
101201,ถนนเพชรบุรี, ,1012,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok
101202,ทุ่งพญาไท, ,1012,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok
101203,ถนนพญาไท, ,1012,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok
101204,มักกะสัน, ,1012,ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok
101301,ห้วยขวาง, ,1013,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok
101302,บางกะปิ, ,1013,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok
101303,สามเสนนอก, ,1013,ห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,Bangkok
101401,ดินแดง, ,1014,ดินแดง,Din Daeng,10,กรุงเทพมหานคร,Bangkok
101501,บางจาก, ,1015,พระโขนง,Phra Khanong,10,กรุงเทพมหานคร,Bangkok
101601,คลองเตย, ,1016,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok
101602,คลองตัน, ,1016,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok
101603,พระโขนง, ,1016,คลองเตย,Khlong Toei,10,กรุงเทพมหานคร,Bangkok
101701,ประเวศ, ,1017,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok
101702,ดอกไม้, ,1017,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok
101703,หนองบอน, ,1017,ประเวศ,Prawet,10,กรุงเทพมหานคร,Bangkok
101801,สวนหลวง, ,1018,สวนหลวง,Suan Luang,10,กรุงเทพมหานคร,Bangkok
101901,อนุสาวรีย์, ,1019,บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok
101902,ท่าแร้ง, ,1019,บางเขน,Bang Khen,10,กรุงเทพมหานคร,Bangkok
102001,สีกัน, ,1020,ดอนเมือง,Don Maung,10,กรุงเทพมหานคร,Bangkok
102101,ลาดยาว, ,1021,จตุจักร,Chatuchak,10,กรุงเทพมหานคร,Bangkok
102201,คลองจั่น, ,1022,บางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,Bangkok
102202,หัวหมาก, ,1022,บางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,Bangkok
102301,ลาดพร้าว, ,1023,ลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,Bangkok
102302,จรเข้บัว, ,1023,ลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,Bangkok
102401,คลองกุ่ม, ,1024,บึงกุ่ม,Bung Kum,10,กรุงเทพมหานคร,Bangkok
102501,หนองจอก, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102502,กระทุ่มราย, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102503,คลองสิบ, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102504,คลองสิบสอง, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102505,โคกแฝด, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102506,คู้ฝั่งเหนือ, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102507,ลำต้อยติ่ง, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102508,ลำผักชี, ,1025,หนองจอก,Nong Chok,10,กรุงเทพมหานคร,Bangkok
102601,มีนบุรี, ,1026,มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok
102602,แสนแสบ, ,1026,มีนบุรี,Min Buri,10,กรุงเทพมหานคร,Bangkok
102701,ลาดกระบัง, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102702,คลองสองต้นนุ่น, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102703,คลองสามประเวศ, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102704,ลำปลาทิว, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102705,ทับยาว, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102706,ชุมทอง, ,1027,ลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,Bangkok
102801,วัดกัลยาณ์, ,1028,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok
102802,หิรัญรูจี, ,1028,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok
102803,บางยี่เรือ, ,1028,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok
102804,บุคคโล, ,1028,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok
102805,ตลาดพลู, ,1028,ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok
102901,สมเด็จเจ้าพระยา, ,1029,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok
102902,คลองสาน, ,1029,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok
102903,บางลำภูล่าง, ,1029,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok
102904,คลองต้นไทร, ,1029,คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok
103001,ศิริราช, ,1030,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok
103002,บ้านช่างหล่อ, ,1030,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok
103003,บางขุนนนท์, ,1030,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok
103004,บางขุนศรี, ,1030,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok
103005,อรุณอัมรินทร์, ,1030,บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok
103101,บางยี่ขัน, ,1031,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok
103102,บางพลัด, ,1031,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok
103103,บางบำหรุ, ,1031,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok
103104,บางอ้อ, ,1031,บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok
103201,วัดอรุณ, ,1032,บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok
103202,วัดท่าพระ, ,1032,บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok
103301,บางหว้า, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103302,บางด้วน, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103303,บากจาก, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103304,บางแวก, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103305,ปากคลองภาษีเจริญ, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103306,คลองขวาง, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103307,คูหาสวรรค์, ,1033,ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok
103401,แสมดำ, ,1034,บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok
103402,ท่าข้าม, ,1034,บางขุนเทียน,Bang Khun Thian,10,กรุงเทพมหานคร,Bangkok
103501,จอมทอง, ,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok
103502,บางขุนเทียน, ,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok
103503,บางมด, ,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok
103504,บางค้อ, ,1035,จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok
103601,คลองชักพระ, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103602,ตลิ่งชัน, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103603,ฉิมพลี, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103604,บางพรม, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103605,บางระมาด, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103606,บางเชือกหนัง, ,1036,ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok
103701,ราษฎร์บูรณะ, ,1037,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok
103702,บางประกอก, ,1037,ราษฎร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,Bangkok
103801,หนองแขม, ,1038,หนองแขม,Nong Khaem,10,กรุงเทพมหานคร,Bangkok
103802,หนองค้างพลู, ,1038,หนองแขม,Nong Khaem,10,กรุงเทพมหานคร,Bangkok
103901,คลองเตยเหนือ, ,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok
103902,คลองตันเหนือ, ,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok
103903,พระโขนงเหนือ, ,1039,วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok
104001,บางแค, ,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok
104002,บางแคเหนือ, ,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok
104003,บางไผ่, ,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok
104004,หลักสอง, ,1040,บางแค,Bang Khae,10,กรุงเทพมหานคร,Bangkok
104101,ทุ่งสองห้อง, ,1041,หลักสี่,Lak Si,10,กรุงเทพมหานคร,Bangkok
104102,ตลาดบางเขน, ,1041,หลักสี่,Lak Si,10,กรุงเทพมหานคร,Bangkok
104201,สายไหม, ,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok
104202,ออเงิน, ,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok
104203,คลองถนน, ,1042,สายไหม,Sai Mai,10,กรุงเทพมหานคร,Bangkok
104301,คันนายาว, ,1043,คันนายาว,Khanna Yao,10,กรุงเทพมหานคร,Bangkok
104401,สะพานสูง, ,1044,สะพานสูง,Saphan Sung,10,กรุงเทพมหานคร,Bangkok
104501,วังทองหลาง, ,1045,วังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,Bangkok
104601,สามวาตะวันตก, ,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok
104602,สามวาตะวันออก, ,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok
104603,บางชัน, ,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok
104604,ทรายกองดิน, ,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok
104605,ทรายกองดินใต้, ,1046,คลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,Bangkok
104801,ทวีวัฒนา, ,1048,ทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,Bangkok
104802,ศาลาธรรมสพน์, ,1048,ทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,Bangkok
104901,บางมด, ,1049,ทุ่งครุ,Thung Khu,10,กรุงเทพมหานคร,Bangkok
104902,ทุ่งครุ, ,1049,ทุ่งครุ,Thung Khu,10,กรุงเทพมหานคร,Bangkok
105001,บางบอน, ,1050,บางบอน,Bang Bon,10,กรุงเทพมหานคร,Bangkok
104701,บางนา, ,1047,บางนา,Bang Na,10,กรุงเทพมหานคร,Bangkok
810301,เกาะลันตาใหญ่,Ko Lanta Yai,8103,เกาะลันตา,Ko Lanta,81,กระบี่,Krabi
810301,เกาะลันตาใหญ่,Ko Lanta Yai,8103,เกาะลันตา,Ko Lanta,81,กระบี่,Krabi
