AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.546,99.706
4,210114,มาบตาพุด,Maptaphut,2101,เมืองระยอง,Mueang Rayong,21,ระยอง,Rayong,12.646,101.171
4,210114,มาบตาพุด,Maptaphut,2101,เมืองระยอง,Mueang Rayong,21,ระยอง,Rayong,12.645,101.170
4,210114,มาบตาพุด,Maptaphut,2101,เมืองระยอง,Mueang Rayong,21,ระยอง,Rayong,12.649,101.174
4,210114,มาบตาพุด,Maptaphut,2101,เมืองระยอง,Mueang Rayong,21,ระยอง,Rayong,12.644,101.169
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.459,99.403
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.291,99.241
4,440103,ท่าตูม,Tha Tum,4401,เมืองมหาสารคาม,Mueang Maha Sarakham,44,มหาสารคาม,Maha Sarakham,16.162,103.484
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.708,99.675
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.796,99.713
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.677,99.659
4,200901,สัตหีบ,Sattahip,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.611,100.889
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.033,99.449
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.477,99.369
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.862,99.486
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.165,99.176
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.800,99.538
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.672,99.844
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.767,99.668
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.466,99.359
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.131,99.165
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.705,99.799
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,6.984,99.473
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.197,99.221
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.118,99.216
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.067,99.398
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.782,99.530
4,220607,บางกะไชย,Bang Kachai,2206,แหลมสิงห์,Laem Sing,22,จันทบุรี,Chanthaburi,12.465,102.066
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.016,99.445
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.840,99.497
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.710,99.794
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.707,99.676
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,9.406,97.901
4,200905,แสมสาร,Samae San,2009,สัตหีบ,Sattahip,20,ชลบุรี,Chon Buri,12.616,100.918
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.075,99.451
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.817,102.397
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.551,99.694
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.582,99.719
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,9.495,97.874
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.551,99.350
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.805,102.376
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.857,102.525
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.681,99.677
4,850502,กำพวน,Kamphuan,8505,สุขสำราญ,Suk Samran,85,ระนอง,Ranong,9.401,98.392
4,920222,เกาะนก,,9202,กันตัง,Kantang,92,ตรัง,Trang,7.272,99.475
4,840301,ดอนสัก,Don Sak,8403,ดอนสัก,Don Sak,84,สุราษฎร์ธานี,Surat Thani,9.310,99.660
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.247,99.249
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.699,99.680
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.675,99.833
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.709,99.676
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.815,102.398
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.819,102.402
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.696,99.662
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.542,99.164
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.858,102.523
4,920213,เกาะลิบง,Ko Libong,9202,กันตัง,Kantang,92,ตรัง,Trang,7.303,99.394
4,830103,เกาะแก้ว,Ko Kaeo,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.924,98.455
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.222,99.243
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.524,99.269
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.706,99.675
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.661,99.659
4,820603,เกาะพระทอง,Ko Phra Thong,8206,คุระบุรี,Khura Buri,82,พังงา,Phang-nga,9.472,97.876
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.486,99.418
4,850502,กำพวน,Kamphuan,8505,สุขสำราญ,Suk Samran,85,ระนอง,Ranong,9.500,98.374
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.808,102.378
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.515,99.174
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.506,99.425
4,920504,ไม้ฝาด,Mai Fat,9205,สิเกา,Sikao,92,ตรัง,Trang,7.470,99.320
4,200701,ศรีราชา,Si Racha,2007,ศรีราชา,Si Racha,20,ชลบุรี,Chon Buri,13.174,100.920
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.681,99.667
4,860116,หาดทรายรี,Hat Sai Ri,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.349,99.295
4,810106,เขาทอง,Khao Thong,8101,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,8.049,98.676
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.485,99.366
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.655,99.876
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.676,99.664
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.208,99.249
4,840301,ดอนสัก,Don Sak,8403,ดอนสัก,Don Sak,84,สุราษฎร์ธานี,Surat Thani,9.351,99.720
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.704,99.871
4,860102,ปากน้ำ,Pak Nam,8601,เมืองชุมพร,Mueang Chumphon,86,ชุมพร,Chumphon,10.448,99.253
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.144,99.639
4,230601,เกาะหมาก,Ko Mak,2306,เกาะกูด,Ko Kut,23,ตราด,Trat,11.810,102.376
4,860801,ปากตะโก,Pak Tako,8608,ทุ่งตะโก,Thung Tako,86,ชุมพร,Chumphon,10.132,99.163
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.702,99.664
4,860706,ด่านสวี,Dan Sawi,8607,สวี,Sawi,86,ชุมพร,Chumphon,10.296,99.247
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.514,99.173
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.504,99.182
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.664,99.677
4,830108,กะรน,Karon,8301,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,7.821,98.285
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.687,99.675
4,921003,ตะเสะ,Tase,9210,หาดสำราญ,Hat Samran,92,ตรัง,Trang,7.144,99.631
4,210114,มาบตาพุด,Maptaphut,2101,เมืองระยอง,Mueang Rayong,21,ระยอง,Rayong,12.648,101.170
4,860306,ปากคลอง,Pak Khlong,8603,ปะทิว,Pathio,86,ชุมพร,Chumphon,10.865,99.489
4,910106,เกาะสาหร่าย,Ko Sarai,9101,เมืองสตูล,Mueang Satun,91,สตูล,Satun,6.508,99.173
4,920221,เกาะลูกไม้,,9202,กันตัง,Kantang,92,ตรัง,Trang,7.291,99.450
4,920501,บ่อหิน,Bo Hin,9205,สิเกา,Sikao,92,ตรัง,Trang,7.549,99.283
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.770,99.668
4,840401,อ่างทอง,Ang Thong,8404,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,9.521,99.711
