province,district,subdist,area
กรุงเทพมหานคร,เขตบางเขน,แขวงท่าแร้ง,212.97
กรุงเทพมหานคร,เขตคลองสามวา,แขวงทรายกองดินใต้,161.16
กรุงเทพมหานคร,เขตคลองสามวา,แขวงทรายกองดิน,98.9
กรุงเทพมหานคร,เขตราชเทวี,แขวงมักกะสัน,22.99
กรุงเทพมหานคร,เขตพระนคร,แขวงตลาดยอด,1.75
กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบ้านช่างหล่อ,21.41
กรุงเทพมหานคร,เขตพระนคร,แขวงพระบรมมหาราชวัง,14.11
กรุงเทพมหานคร,เขตราชเทวี,แขวงทุ่งพญาไท,23.14
กรุงเทพมหานคร,เขตพระนคร,แขวงวัดสามพระยา,4.69
กรุงเทพมหานคร,เขตพระนคร,แขวงบ้านพานถม,3.82
กรุงเทพมหานคร,เขตราชเทวี,แขวงถนนพญาไท,11.38
กรุงเทพมหานคร,เขตพระนคร,แขวงชนะสงคราม,3.15
กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงศิริราช,13.08
กรุงเทพมหานคร,เขตห้วยขวาง,แขวงบางกะปิ,56.76
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดโสมนัส,4.24
กรุงเทพมหานคร,เขตคลองสามวา,แขวงสามวาตะวันตก,268.08
กรุงเทพมหานคร,เขตสายไหม,แขวงคลองถนน,111.23
กรุงเทพมหานคร,เขตสายไหม,แขวงออเงิน,140.66
กรุงเทพมหานคร,เขตหลักสี่,แขวงทุ่งสองห้อง,155.78
กรุงเทพมหานคร,เขตหนองจอก,แขวงหนองจอก,284.26
กรุงเทพมหานคร,เขตบางเขน,แขวงอนุสาวรีย์,167.57
กรุงเทพมหานคร,เขตหนองจอก,แขวงคู้ฝั่งเหนือ,165.7
กรุงเทพมหานคร,เขตหลักสี่,แขวงตลาดบางเขน,54.86
กรุงเทพมหานคร,เขตพระนคร,แขวงบางขุนพรหม,4.18
กรุงเทพมหานคร,เขตพระนคร,แขวงบวรนิเวศ,4.55
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางพรม,47.51
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางเชือกหนัง,39.12
กรุงเทพมหานคร,เขตคลองสามวา,แขวงบางชัน,186.92
กรุงเทพมหานคร,เขตราชเทวี,แขวงถนนเพชรบุรี,9.07
กรุงเทพมหานคร,เขตหนองจอก,แขวงกระทุ่มราย,371.49
กรุงเทพมหานคร,เขตหนองจอก,แขวงโคกแฝด,203.27
กรุงเทพมหานคร,เขตจตุจักร,แขวงลาดยาว,99.22
กรุงเทพมหานคร,เขตจตุจักร,แขวงเสนานิคม,26.3
กรุงเทพมหานคร,เขตคันนายาว,แขวงรามอินทรา,117.33
กรุงเทพมหานคร,เขตมีนบุรี,แขวงแสนแสบ,336.68
กรุงเทพมหานคร,เขตลาดพร้าว,แขวงจรเข้บัว,58.87
กรุงเทพมหานคร,เขตบางซื่อ,แขวงวงศ์สว่าง,59.84
กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบ,286.75
กรุงเทพมหานคร,เขตดอนเมือง,แขวงดอนเมือง,99.34
กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดอรุณ,8.15
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงป้อมปราบ,5.76
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงคลองขวาง,25.04
กรุงเทพมหานคร,เขตวัฒนา,แขวงคลองตันเหนือ,67.6
กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงสัมพันธวงศ์,4.62
กรุงเทพมหานคร,เขตวังทองหลาง,แขวงสะพานสอง,15.9
กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,295.04
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลำปลาทิว,305.59
กรุงเทพมหานคร,เขตดินแดง,แขวงดินแดง,78.63
กรุงเทพมหานคร,เขตวังทองหลาง,แขวงคลองเจ้าคุณสิงห์,33.55
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงฉิมพลี,84.64
กรุงเทพมหานคร,เขตบางกอกใหญ่,แขวงวัดท่าพระ,50.34
กรุงเทพมหานคร,เขตหนองจอก,แขวงลำผักชี,309.06
กรุงเทพมหานคร,เขตจตุจักร,แขวงจอมพล,51.6
กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงนวมินทร์,43.67
กรุงเทพมหานคร,เขตหนองจอก,แขวงลำต้อยติ่ง,228.96
กรุงเทพมหานคร,เขตบางซื่อ,แขวงบางซื่อ,59.86
กรุงเทพมหานคร,เขตคลองสาน,แขวงสมเด็จเจ้าพระยา,8.48
กรุงเทพมหานคร,เขตประเวศ,แขวงประเวศ,227.55
กรุงเทพมหานคร,เขตบางรัก,แขวงมหาพฤฒาราม,5.95
กรุงเทพมหานคร,เขตดุสิต,แขวงสี่แยกมหานาค,3.3
กรุงเทพมหานคร,เขตดอนเมือง,แขวงสนามบิน,133.73
กรุงเทพมหานคร,เขตดอนเมือง,แขวงสีกัน,107.93
กรุงเทพมหานคร,เขตหนองจอก,แขวงคลองสิบสอง,383.87
กรุงเทพมหานคร,เขตสายไหม,แขวงสายไหม,153.38
กรุงเทพมหานคร,เขตดุสิต,แขวงสวนจิตรลดา,17.47
กรุงเทพมหานคร,เขตบางกะปิ,แขวงหัวหมาก,146.91
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงทับยาว,258.47
กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนศรี,36.72
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงขุมทอง,215.2
กรุงเทพมหานคร,เขตบางรัก,แขวงสี่พระยา,7.15
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงลาดกระบัง,101.8
กรุงเทพมหานคร,เขตบางรัก,แขวงบางรัก,4.47
กรุงเทพมหานคร,เขตบางแค,แขวงบางแคเหนือ,120.78
กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงนวลจันทร์,79.64
กรุงเทพมหานคร,เขตลาดพร้าว,แขวงลาดพร้าว,138.68
กรุงเทพมหานคร,เขตมีนบุรี,แขวงมีนบุรี,230.98
กรุงเทพมหานคร,เขตจตุจักร,แขวงจันทรเกษม,54.48
กรุงเทพมหานคร,เขตจตุจักร,แขวงจตุจักร,71.79
กรุงเทพมหานคร,เขตบางกะปิ,แขวงคลองจั่น,109.29
กรุงเทพมหานคร,เขตบึงกุ่ม,แขวงคลองกุ่ม,94.09
กรุงเทพมหานคร,เขตบางพลัด,แขวงบางอ้อ,28.77
กรุงเทพมหานคร,เขตห้วยขวาง,แขวงสามเสนนอก,49.88
กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองค้างพลู,156.35
กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองสาน,9.72
กรุงเทพมหานคร,เขตธนบุรี,แขวงหิรัญรูจี,6.04
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางจาก,13.57
กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองตัน,18.05
กรุงเทพมหานคร,เขตปทุมวัน,แขวงวังใหม่,12.41
กรุงเทพมหานคร,เขตปทุมวัน,แขวงปทุมวัน,19.53
กรุงเทพมหานคร,เขตปทุมวัน,แขวงลุมพินี,31.16
กรุงเทพมหานคร,เขตวัฒนา,แขวงคลองเตยเหนือ,20.25
กรุงเทพมหานคร,เขตพระนคร,แขวงวังบูรพาภิรมย์,6.62
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงปากคลองภาษีเจริญ,16.62
กรุงเทพมหานคร,เขตบางรัก,แขวงสุริยวงศ์,5.62
กรุงเทพมหานคร,เขตวังทองหลาง,แขวงวังทองหลาง,45.64
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางด้วน,30.9
กรุงเทพมหานคร,เขตบางรัก,แขวงสีลม,14.07
กรุงเทพมหานคร,เขตดุสิต,แขวงถนนนครไชยศรี,52.17
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงตลิ่งชัน,58.03
กรุงเทพมหานคร,เขตสะพานสูง,แขวงสะพานสูง,260.65
กรุงเทพมหานคร,เขตบางพลัด,แขวงบางพลัด,30.91
กรุงเทพมหานคร,เขตพญาไท,แขวงสามเสนใน,85.59
กรุงเทพมหานคร,เขตบางคอแหลม,แขวงวัดพระยาไกร,15.42
กรุงเทพมหานคร,เขตประเวศ,แขวงดอกไม้,151.65
กรุงเทพมหานคร,เขตห้วยขวาง,แขวงห้วยขวาง,44.92
กรุงเทพมหานคร,เขตบางพลัด,แขวงบางบำหรุ,22.1
กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงท่าข้าม,677.63
กรุงเทพมหานคร,เขตธนบุรี,แขวงดาวคะนอง,15.98
กรุงเทพมหานคร,เขตบางแค,แขวงบางแค,64.66
กรุงเทพมหานคร,เขตบางแค,แขวงหลักสอง,112.34
กรุงเทพมหานคร,เขตจอมทอง,แขวงบางขุนเทียน,58.42
กรุงเทพมหานคร,เขตพระโขนง,แขวงบางจาก,126.07
กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางโคล่,42.33
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงคูหาสวรรค์,7.11
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางแวก,27.1
กรุงเทพมหานคร,เขตพระนคร,แขวงสำราญราษฎร์,2.15
กรุงเทพมหานคร,เขตคลองเตย,แขวงคลองเตย,69.55
กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงอรุณอัมรินทร์,28.02
กรุงเทพมหานคร,เขตดุสิต,แขวงวชิรพยาบาล,10.33
กรุงเทพมหานคร,เขตบางพลัด,แขวงบางยี่ขัน,27.88
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสามประเวศ,163.3
กรุงเทพมหานคร,เขตดุสิต,แขวงดุสิต,21.97
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงคลองชักพระ,11.54
กรุงเทพมหานคร,เขตตลิ่งชัน,แขวงบางระมาด,91.4
กรุงเทพมหานคร,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,149.9
กรุงเทพมหานคร,เขตบางกอกน้อย,แขวงบางขุนนนท์,15.24
กรุงเทพมหานคร,เขตทวีวัฒนา,แขวงทวีวัฒนา,185.52
กรุงเทพมหานคร,เขตปทุมวัน,แขวงรองเมือง,11.5
กรุงเทพมหานคร,เขตบางแค,แขวงบางไผ่,146.97
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงวัดเทพศิรินทร์,4.1
กรุงเทพมหานคร,เขตพระนคร,แขวงวัดราชบพิธ,1.97
กรุงเทพมหานคร,เขตสวนหลวง,แขวงสวนหลวง,223.91
กรุงเทพมหานคร,เขตธนบุรี,แขวงวัดกัลยาณ์,6.97
กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงตลาดน้อย,3.69
กรุงเทพมหานคร,เขตบางขุนเทียน,แขวงแสมดำ,456.7
กรุงเทพมหานคร,เขตสาทร,แขวงยานนาวา,16.72
กรุงเทพมหานคร,เขตธนบุรี,แขวงสำเหร่,13.27
กรุงเทพมหานคร,เขตคลองสาน,แขวงบางลำภูล่าง,21.21
กรุงเทพมหานคร,เขตสัมพันธวงศ์,แขวงจักรวรรดิ์,4.62
กรุงเทพมหานคร,เขตสาทร,แขวงทุ่งวัดดอน,23.05
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงคลองมหานาค,5.41
กรุงเทพมหานคร,เขตพระนคร,แขวงศาลเจ้าพ่อเสือ,1.39
กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,แขวงบ้านบาตร,3.74
กรุงเทพมหานคร,เขตพระนคร,แขวงเสาชิงช้า,1.43
กรุงเทพมหานคร,เขตวัฒนา,แขวงพระโขนงเหนือ,32.84
กรุงเทพมหานคร,เขตคลองเตย,แขวงพระโขนง,35.34
กรุงเทพมหานคร,เขตภาษีเจริญ,แขวงบางหว้า,57.8
กรุงเทพมหานคร,เขตธนบุรี,แขวงตลาดพลู,13.94
กรุงเทพมหานคร,เขตบางคอแหลม,แขวงบางคอแหลม,19.43
กรุงเทพมหานคร,เขตประเวศ,แขวงหนองบอน,119.62
กรุงเทพมหานคร,เขตจอมทอง,แขวงจอมทอง,48.61
กรุงเทพมหานคร,เขตหนองแขม,แขวงหนองแขม,179.83
กรุงเทพมหานคร,เขตยานนาวา,แขวงบางโพงพาง,48.15
กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงบางปะกอก,67.07
กรุงเทพมหานคร,เขตบางบอน,แขวงบางบอน,332.92
กรุงเทพมหานคร,เขตจอมทอง,แขวงบางมด,81.88
กรุงเทพมหานคร,เขตราษฎร์บูรณะ,แขวงราษฎร์บูรณะ,47.44
กรุงเทพมหานคร,เขตบางนา,แขวงบางนา,175.9
กรุงเทพมหานคร,เขตธนบุรี,แขวงบุคคโล,12.85
กรุงเทพมหานคร,เขตยานนาวา,แขวงช่องนนทรีย์,67.96
กรุงเทพมหานคร,เขตคลองสาน,แขวงคลองต้นไทร,15.99
กรุงเทพมหานคร,เขตธนบุรี,แขวงบางยี่เรือ,9.53
กรุงเทพมหานคร,เขตสาทร,แขวงทุ่งมหาเมฆ,27.64
กรุงเทพมหานคร,เขตจอมทอง,แขวงบางค้อ,26.21
กรุงเทพมหานคร,เขตทุ่งครุ,แขวงทุ่งครุ,202.18
กรุงเทพมหานคร,เขตคันนายาว,แขวงคันนายาว,118.42
กรุงเทพมหานคร,เขตคลองสามวา,แขวงสามวาตะวันออก,401.43
กรุงเทพมหานคร,เขตวังทองหลาง,แขวงพลับพลา,63.5
กรุงเทพมหานคร,เขตทุ่งครุ,แขวงบางมด,103.69
