"","addrcode","date","NumberCases","normalized_cases","hi","ci","bi","bin","bowl","bucket","cup","jar","pottedplant","tire","vase","total"
"1",800106,"2016-01-01",1,1.22294239941299,15,7.68,68,1,0,205,38,208,79,6,13,550
"2",800118,"2016-02-01",5,1.45036839357197,7.5,2.57,17.5,5,2,1095,144,720,180,17,12,2175
"3",800201,"2016-03-01",3,3.27260826879023,17.5,4.18,30,2,0,222,32,142,58,3,6,465
"4",800409,"2016-03-01",2,3.07125307125307,16.67,1.96,16.67,1,0,229,28,114,48,6,8,434
"5",800409,"2016-03-01",2,3.07125307125307,15,2.35,15,1,0,229,28,114,48,6,8,434
"6",800409,"2016-08-01",5,7.67813267813268,10.83,1.76,10.83,1,0,229,28,114,48,6,8,434
"7",800409,"2016-09-01",3,4.60687960687961,11.67,1.2,11.67,1,0,229,28,114,48,6,8,434
"8",800502,"2016-01-01",5,9.02527075812274,29.17,3.7,29.17,11,2,238,32,160,26,4,10,483
"9",800502,"2016-02-01",3,5.41516245487365,26.67,3.63,26.67,11,2,238,32,160,26,4,10,483
"10",800502,"2016-02-01",3,5.41516245487365,26.25,3.16,26.25,11,2,238,32,160,26,4,10,483
"11",800502,"2016-03-01",3,5.41516245487365,20,2.11,20,11,2,238,32,160,26,4,10,483
"12",800502,"2016-03-01",3,5.41516245487365,21.67,3.2,20.83,11,2,238,32,160,26,4,10,483
"13",800502,"2016-06-01",1,1.80505415162455,15,2.31,15,11,2,238,32,160,26,4,10,483
"14",800502,"2016-08-01",3,5.41516245487365,11.25,1.66,11.25,11,2,238,32,160,26,4,10,483
"15",800502,"2016-09-01",4,7.22021660649819,8.75,0.81,8.75,11,2,238,32,160,26,4,10,483
"16",800503,"2016-01-01",3,3.66389838788471,21.25,3.08,21.25,0,4,293,31,94,27,2,6,457
"17",800611,"2016-03-01",1,1.41783638168155,12.5,3.07,32.5,2,0,212,25,49,29,4,4,325
"18",800703,"2016-03-01",1,1.383700013837,7.5,1.95,16.25,7,1,130,31,130,112,7,8,426
"19",800703,"2016-03-01",1,1.383700013837,7.5,1.52,12.5,7,1,130,31,130,112,7,8,426
"20",800703,"2016-08-01",1,1.383700013837,10,3.39,32.5,7,1,130,31,130,112,7,8,426
